initiating_cursor	mouse_event	resulting_cursor
#cursor_transitions_tables;0;db/cursor_transitions_tables/data__		
agent_action	RBUTTON_DOWN	agent_action_down
agent_action_down	RBUTTON_UP	agent_action
attack	RBUTTON_DOWN	attack_down
attack_building	RBUTTON_DOWN	attack_building_down
attack_building_down	RBUTTON_UP	attack_building
attack_building_oor	RBUTTON_DOWN	attack_building_oor_down
attack_building_oor_down	RBUTTON_UP	attack_building_oor
attack_deployable	RBUTTON_DOWN	attack_deployable_down
attack_deployable_down	RBUTTON_UP	attack_deployable
attack_deployable_ranged	RBUTTON_DOWN	attack_deployable_ranged_down
attack_deployable_ranged_down	RBUTTON_UP	attack_deployable_ranged
attack_down	RBUTTON_UP	attack
attack_groupselect	RBUTTON_DOWN	attack_groupselect_down
attack_groupselect_down	RBUTTON_UP	attack_groupselect
attack_multiselect	RBUTTON_DOWN	attack_multiselect_down
attack_multiselect_down	RBUTTON_UP	attack_multiselect
attack_oor	RBUTTON_DOWN	attack_oor_click
attack_oor_click	RBUTTON_UP	attack_oor
attack_oor_groupselect	RBUTTON_DOWN	attack_oor_groupselect_down
attack_oor_groupselect_down	RBUTTON_UP	attack_oor_groupselect
attack_oor_multiselect	RBUTTON_DOWN	attack_oor_multiselect_down
attack_oor_multiselect_down	RBUTTON_UP	attack_oor_multiselect
attack_unbreachable_wall	RBUTTON_DOWN	attack_unbreachable_wall_down
attack_unbreachable_wall_down	RBUTTON_UP	attack_unbreachable_wall
backwater	RBUTTON_DOWN	backwater_down
backwater_down	RBUTTON_UP	backwater
board_ship	RBUTTON_DOWN	board_ship_down
board_ship_down	RBUTTON_UP	board_ship
burn_building	RBUTTON_DOWN	burn_building_down
burn_building_down	RBUTTON_UP	burn_building
can_capture	RBUTTON_DOWN	can_capture_down
can_capture_down	RBUTTON_UP	can_capture
click_down	LBUTTON_UP	normal
climb_wall	RBUTTON_DOWN	climb_wall_down
climb_wall_down	RBUTTON_UP	climb_wall
defend_building	RBUTTON_DOWN	defend_building_click
defend_building_click	RBUTTON_UP	defend_building
disembark_ship	RBUTTON_DOWN	disembark_ship_down
disembark_ship_down	RBUTTON_UP	disembark_ship
group_script_attack	RBUTTON_DOWN	group_script_attack_down
group_script_attack_down	RBUTTON_UP	group_script_attack
group_script_defend	RBUTTON_DOWN	group_script_defend_down
group_script_defend_down	RBUTTON_UP	group_script_defend
hyperlink	LBUTTON_DOWN	hyperlink_down
hyperlink_down	LBUTTON_UP	hyperlink
inspire	LBUTTON_DOWN	inspire_click
inspire_click	LBUTTON_UP	inspire
interact_deployable	RBUTTON_DOWN	interact_deployable_down
interact_deployable_down	RBUTTON_UP	interact_deployable
melee	RBUTTON_DOWN	melee_down
melee_down	RBUTTON_UP	melee
melee_groupselect	RBUTTON_DOWN	melee_groupselect_down
melee_groupselect_down	RBUTTON_UP	melee_groupselect
melee_multiselect	RBUTTON_DOWN	melee_multiselect_down
melee_multiselect_down	RBUTTON_UP	melee_multiselect
melee_siege	RBUTTON_DOWN	melee_siege_down
melee_siege_down	RBUTTON_UP	melee_siege
move_click	RBUTTON_UP	move_to
move_to	RBUTTON_DOWN	move_click
move_waypoints	RBUTTON_DOWN	move_waypoints_down
move_waypoints_down	RBUTTON_UP	move_waypoints
normal	LBUTTON_DOWN	click_down
occupy_zone	RBUTTON_DOWN	occupy_zone_down
occupy_zone_down	RBUTTON_UP	occupy_zone
pickup_vehicle	RBUTTON_DOWN	pickup_vehicle_down
pickup_vehicle_down	RBUTTON_UP	pickup_vehicle
ping_standard	LBUTTON_DOWN	ping_standard_down
ping_standard_down	LBUTTON_UP	ping_standard
place_deployable	RBUTTON_DOWN	place_deployable_down
place_deployable_down	RBUTTON_UP	place_deployable
rally_position	LBUTTON_DOWN	rally_position_down
rally_position_down	LBUTTON_UP	rally_position
ram_ship	RBUTTON_DOWN	ram_ship_down
ram_ship_down	RBUTTON_UP	ram_ship
select	LBUTTON_DOWN	select_click
select_click	LBUTTON_UP	select
siege_tower_dock	RBUTTON_DOWN	siege_tower_dock_down
siege_tower_dock_down	RBUTTON_UP	siege_tower_dock
spellcast	LBUTTON_DOWN	spellcast_down
spellcast_down	LBUTTON_UP	spellcast
spellcast_oor	LBUTTON_DOWN	spellcast_oor_down
spellcast_overcharged	LBUTTON_DOWN	spellcast_overcharged_down
spellcast_overcharged_down	LBUTTON_UP	spellcast_overcharged
spellcast_overcharged_oor	LBUTTON_DOWN	spellcast_overcharged_oor_down
swap	RBUTTON_DOWN	swap_down
swap_down	RBUTTON_UP	swap
terrain_desert	RBUTTON_DOWN	terrain_desert_down
terrain_desert_attrition	RBUTTON_DOWN	terrain_desert_attrition_down
terrain_desert_attrition_down	RBUTTON_UP	terrain_desert_attrition
terrain_desert_down	RBUTTON_UP	terrain_desert
terrain_forest	RBUTTON_DOWN	terrain_forest_down
terrain_forest_down	RBUTTON_UP	terrain_forest
terrain_heavy	RBUTTON_DOWN	terrain_heavy_down
terrain_heavy_down	RBUTTON_UP	terrain_heavy
terrain_marsh	RBUTTON_DOWN	terrain_marsh_down
terrain_marsh_down	RBUTTON_UP	terrain_marsh
terrain_ocean	RBUTTON_DOWN	terrain_ocean_down
terrain_ocean_attrition	RBUTTON_DOWN	terrain_ocean_attrition_down
terrain_ocean_attrition_down	RBUTTON_UP	terrain_ocean_attrition
terrain_ocean_down	RBUTTON_UP	terrain_ocean
terrain_plains	RBUTTON_DOWN	terrain_plains_down
terrain_plains_down	RBUTTON_UP	terrain_plains
terrain_road	RBUTTON_DOWN	terrain_road_down
terrain_road_down	RBUTTON_UP	terrain_road
terrain_rough	RBUTTON_DOWN	terrain_rough_down
terrain_rough_down	RBUTTON_UP	terrain_rough
terrain_scrub	RBUTTON_DOWN	terrain_scrub_down
terrain_scrub_down	RBUTTON_UP	terrain_scrub
terrain_softground	RBUTTON_DOWN	terrain_softground_down
terrain_softground_down	RBUTTON_UP	terrain_softground
terrain_water	RBUTTON_DOWN	terrain_water_down
terrain_water_down	RBUTTON_UP	terrain_water
trade_route	RBUTTON_DOWN	trade_route_down
treasure_hunt	RBUTTON_DOWN	treasure_hunt_down
treasure_hunt_down	RBUTTON_UP	treasure_hunt
vortex_drag	LBUTTON_DOWN	vortex_drag_down
vortex_drag_down	LBUTTON_UP	vortex_drag
