source_type	description	is_alliance_based
#battle_secondary_currency_source_types_tables;1;db/battle_secondary_currency_source_types_tables/data__		
army_entities_in_melee	income per x ticks for all entities in melee per army	false
army_losses	income per x ticks for all entities lost difference	false
army_losses_own_army	income per x ticks for all entities lost in own army difference	false
base_income_over_time	income accrued every x ticks (kv rules: battle_secondary_currency_base_income_ticks)	false
casualties_amongst_own_lowly_infantry	per-entity casualties taken alliance-wide amongst own flagged units	true
damage_taken	per hp damage taken alliance-wide	false
experience_damage_inflicted	per experience damage taken alliance-wide	true
fate	used for calculating damage dealt in trial battles	false
first_time_captured_point	first time a capture point changes hands	true
glory	per glory earned	false
holding_key_building_a_points	income per x ticks for holding a key building A capture point (kv_rules: battle_secondary_currency_victory_point_ticks)	true
holding_key_building_b_points	income per x ticks for holding a key building B capture point (kv_rules: battle_secondary_currency_victory_point_ticks)	true
holding_major_victory_points	income per x ticks for holding a major capture point (kv_rules: battle_secondary_currency_victory_point_ticks)	true
holding_minor_victory_points	income per x ticks for holding a minor capture point (kv_rules: battle_secondary_currency_victory_point_ticks)	true
holding_score_points	income per x ticks for holding a score capture point (kv_rules: battle_secondary_currency_victory_point_ticks)	true
hp_damage_inflicted	HP damage inflicted against enemy units	true
kills	enemy entities killed	false
losing_compensation	Losing compensation	true
prisoners	per prisoner number of times executed in battle	false
settlement_level	one-off income payload per settlement level	true
starting_income	starting battle income	true
unit_within_x_of_shattered_enemy_unit	points accrued every x ticks that a friendly unit is within x metres of a routing or shattered enemy unit (x values defined in kv_rules: battle_secondary_currency_shattered_unit_ticks, battle_secondary_currency_shattered_unit_radius)	true
wom_spent	per wom point spent	false
