key	default_deal_evaluation_component
#cai_personality_deal_evaluation_profiles_tables;0;db/cai_personality_deal_evaluation_profiles_tables/data__	
wh3_deal_eval_profile_beastmen	wh3_deal_eval_beastmen
wh3_deal_eval_profile_beastmen_major	wh3_deal_eval_beastmen_major
wh3_deal_eval_profile_beastmen_minor	wh3_deal_eval_beastmen_minor
wh3_deal_eval_profile_bretonnia	wh3_deal_eval_bretonnia
wh3_deal_eval_profile_bretonnia_major	wh3_deal_eval_bretonnia_major
wh3_deal_eval_profile_bretonnia_minor	wh3_deal_eval_bretonnia_minor
wh3_deal_eval_profile_cathay	wh3_deal_eval_cathay
wh3_deal_eval_profile_cathay_minor	wh3_deal_eval_cathay_minor
wh3_deal_eval_profile_chaos	wh3_deal_eval_chaos
wh3_deal_eval_profile_chaos_dwarf	wh3_deal_eval_chaos_dwarf
wh3_deal_eval_profile_chaos_dwarf_major	wh3_deal_eval_chaos_dwarf_major
wh3_deal_eval_profile_chaos_dwarf_minor	wh3_deal_eval_chaos_dwarf_minor
wh3_deal_eval_profile_chaos_dwarf_unfriendly	wh3_deal_eval_chaos_dwarf_unfriendly
wh3_deal_eval_profile_chaos_minor	wh3_deal_eval_chaos_minor
wh3_deal_eval_profile_conclave_of_sorcerers	wh3_deal_eval_conclave_of_sorcerers
wh3_deal_eval_profile_darkelf	wh3_deal_eval_darkelf
wh3_deal_eval_profile_darkelf_major	wh3_deal_eval_darkelf_major
wh3_deal_eval_profile_darkelf_minor	wh3_deal_eval_darkelf_minor
wh3_deal_eval_profile_darkelf_unfriendly	wh3_deal_eval_darkelf_unfriendly
wh3_deal_eval_profile_default	wh3_deal_eval_default
wh3_deal_eval_profile_dwarf	wh3_deal_eval_dwarf
wh3_deal_eval_profile_dwarf_major	wh3_deal_eval_dwarf_major
wh3_deal_eval_profile_dwarf_minor	wh3_deal_eval_dwarf_minor
wh3_deal_eval_profile_dwarf_unfriendly	wh3_deal_eval_dwarf_unfriendly
wh3_deal_eval_profile_empire	wh3_deal_eval_empire
wh3_deal_eval_profile_empire_major	wh3_deal_eval_empire_major
wh3_deal_eval_profile_empire_minor	wh3_deal_eval_empire_minor
wh3_deal_eval_profile_empire_unfriendly	wh3_deal_eval_empire_unfriendly
wh3_deal_eval_profile_greenskin	wh3_deal_eval_greenskin
wh3_deal_eval_profile_greenskin_major	wh3_deal_eval_greenskin_major
wh3_deal_eval_profile_greenskin_minor	wh3_deal_eval_greenskin_minor
wh3_deal_eval_profile_greenskin_unfriendly	wh3_deal_eval_greenskin_unfriendly
wh3_deal_eval_profile_highelf	wh3_deal_eval_highelf
wh3_deal_eval_profile_highelf_major	wh3_deal_eval_highelf_major
wh3_deal_eval_profile_highelf_minor	wh3_deal_eval_highelf_minor
wh3_deal_eval_profile_highelf_unfriendly	wh3_deal_eval_highelf_unfriendly
wh3_deal_eval_profile_kislev	wh3_deal_eval_kislev
wh3_deal_eval_profile_kislev_minor	wh3_deal_eval_kislev_minor
wh3_deal_eval_profile_lizardmen	wh3_deal_eval_lizardmen
wh3_deal_eval_profile_lizardmen_major	wh3_deal_eval_lizardmen_major
wh3_deal_eval_profile_lizardmen_minor	wh3_deal_eval_lizardmen_minor
wh3_deal_eval_profile_lizardmen_nakai_vassal	wh3_deal_eval_lizardmen_nakai_vassal
wh3_deal_eval_profile_lizardmen_unfriendly	wh3_deal_eval_lizardmen_unfriendly
wh3_deal_eval_profile_minor	wh3_deal_eval_minor
wh3_deal_eval_profile_norsca	wh3_deal_eval_norsca
wh3_deal_eval_profile_norsca_awoken	wh3_deal_eval_norsca_awoken
wh3_deal_eval_profile_norsca_confederated	wh3_deal_eval_norsca_confederated
wh3_deal_eval_profile_norsca_major	wh3_deal_eval_norsca_major
wh3_deal_eval_profile_norsca_minor	wh3_deal_eval_norsca_minor
wh3_deal_eval_profile_norsca_vassal	wh3_deal_eval_norsca_vassal
wh3_deal_eval_profile_ogre	wh3_deal_eval_ogre
wh3_deal_eval_profile_ogre_greedy	wh3_deal_eval_ogre_greedy
wh3_deal_eval_profile_ogre_minor	wh3_deal_eval_ogre_minor
wh3_deal_eval_profile_passive	wh3_deal_eval_passive
wh3_deal_eval_profile_prologue	wh3_deal_eval_prologue
wh3_deal_eval_profile_rogue	wh3_deal_eval_rogue
wh3_deal_eval_profile_sentinels	wh3_deal_eval_sentinels
wh3_deal_eval_profile_skaven	wh3_deal_eval_skaven
wh3_deal_eval_profile_skaven_major	wh3_deal_eval_skaven_major
wh3_deal_eval_profile_skaven_minor	wh3_deal_eval_skaven_minor
wh3_deal_eval_profile_skaven_unfriendly	wh3_deal_eval_skaven_unfriendly
wh3_deal_eval_profile_slaanesh	wh3_deal_eval_slaanesh
wh3_deal_eval_profile_slaanesh_minor	wh3_deal_eval_slaanesh_minor
wh3_deal_eval_profile_tombkings	wh3_deal_eval_tombkings
wh3_deal_eval_profile_tombkings_major	wh3_deal_eval_tombkings_major
wh3_deal_eval_profile_tombkings_minor	wh3_deal_eval_tombkings_minor
wh3_deal_eval_profile_tombkings_passive	wh3_deal_eval_tombkings_passive
wh3_deal_eval_profile_vampire	wh3_deal_eval_vampire
wh3_deal_eval_profile_vampire_major	wh3_deal_eval_vampire_major
