currency_type	item_type	modifier_type
#battle_currency_modifiers_to_army_special_abilities_tables;0;db/battle_currency_modifiers_to_army_special_abilities_tables/data__		
army_ability_bar_fill	wh2_dlc15_army_abilities_azhags_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_azhags_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_grimgors_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_grimgors_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_groms_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_groms_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_skarsniks_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_skarsniks_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_wurrzags_big_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh2_dlc15_army_abilities_wurrzags_waaagh	Ability_bar_fill_currency_type_limit_threshold
army_ability_bar_fill	wh3_main_army_abilities_fascination	Unit_size_setting
army_ability_bar_fill	wh3_main_army_abilities_narcissism	Unit_size_setting
army_ability_bar_fill	wh3_main_army_abilities_sweet_sorrow	Unit_size_setting
army_ability_bar_fill	wh3_main_prisoners_butcher	Unit_size_setting
army_ability_bar_fill	wh3_main_prisoners_dismember	Unit_size_setting
army_ability_bar_fill	wh3_main_prisoners_massacre	Unit_size_setting
