key	phase	spread_radius
#special_ability_spreadings_tables;0;db/special_ability_spreadings_tables/data__		
wh3_dlc20_item_abilities_pestilent_potions	wh3_dlc20_item_abilities_pestilent_potions	30.0000
wh3_dlc20_unit_contact_corrosion	wh3_dlc20_unit_contact_corrosion	30.0000
wh3_dlc23_item_abilities_darkened_mist_valaya	wh3_dlc23_item_abilities_darkened_mist_valaya	15.0000
wh3_dlc24_active_abilities_agonys_succession	wh3_dlc24_active_abilities_agonys_succession	30.0000
wh3_dlc24_spell_hags_curse_of_the_ancient_witch	wh3_dlc24_spell_hags_curse_of_the_ancient_witch	30.0000
wh3_dlc24_spell_hags_curse_of_the_ancient_witch_upgraded	wh3_dlc24_spell_hags_curse_of_the_ancient_witch_upgraded	30.0000
wh3_dlc24_unit_abilities_maelstrom_of_change	wh3_dlc24_unit_abilities_maelstrom_of_change	30.0000
wh3_dlc25_item_abilities_necrotic_phylactry	wh3_dlc25_item_abilities_necrotic_phylactry	35.0000
wh3_dlc25_item_abilities_sands_of_sickness_ally	wh3_dlc25_character_ability_sands_of_sickness_ally	35.0000
wh3_dlc25_item_abilities_sands_of_sickness_enemy	wh3_dlc25_character_ability_sands_of_sickness_enemy	35.0000
wh3_dlc25_lord_abilities_rot_or_die	wh3_dlc25_lord_abilities_rot_or_die	35.0000
wh3_dlc25_unit_passive_tears_of_nurgle	wh3_dlc25_unit_passive_tears_of_nurgle	35.0000
wh3_dlc25_weapon_abilities_sword_of_filth	wh3_dlc25_weapon_abilities_sword_of_filth	30.0000
wh3_main_army_abilities_curse_of_the_slug	wh3_main_army_abilities_curse_of_the_slug	30.0000
wh3_main_army_abilities_fecundity	wh3_main_army_abilities_fecundity	30.0000
wh3_main_army_abilities_rot_glorious_rot	wh3_main_army_abilities_rot_glorious_rot	50.0000
wh3_main_daemon_head_abilities_pestilent_regeneration	wh3_main_daemon_head_abilities_pestilent_regeneration	30.0000
wh3_main_lord_abilities_blight_swarm	wh3_main_lord_abilities_blight_swarm	30.0000
wh3_main_lord_abilities_virulent_contagion	wh3_main_lord_abilities_virulent_contagion	30.0000
wh3_main_lord_abilities_virulent_contagion_upgraded	wh3_main_lord_abilities_virulent_contagion_upgraded	30.0000
wh3_main_spell_nurgle_miasma_of_pestilence_upgraded	wh3_main_spell_nurgle_miasma_of_pestilence_upgraded	30.0000
