key	plague	effect
#plague_setups_tables;0;db/plague_setups_tables/data__		
wh2_dlc14_feature_skaven_skrolk	wh2_main_plague_skaven	wh2_dlc14_feature_skaven_skrolk
wh2_dlc17_plague_beastmen	wh2_dlc17_plague_beastmen	wh2_dlc17_plague_beastmen
wh2_main_plague_skaven	wh2_main_plague_skaven	wh2_main_plague_skaven
wh3_main_nur_base_Ague	wh3_main_nur_base_Ague	wh3_main_nur_base_Ague
wh3_main_nur_base_Ague_festus	wh3_main_nur_base_Ague	wh3_main_nur_base_Ague_festus
wh3_main_nur_base_Buboes	wh3_main_nur_base_Buboes	wh3_main_nur_base_Buboes
wh3_main_nur_base_Buboes_festus	wh3_main_nur_base_Buboes	wh3_main_nur_base_Buboes_festus
wh3_main_nur_base_Pox	wh3_main_nur_base_Pox	wh3_main_nur_base_Pox
wh3_main_nur_base_Pox_festus	wh3_main_nur_base_Pox	wh3_main_nur_base_Pox_festus
wh3_main_nur_base_Rot	wh3_main_nur_base_Rot	wh3_main_nur_base_Rot
wh3_main_nur_base_Rot_festus	wh3_main_nur_base_Rot	wh3_main_nur_base_Rot_festus
wh3_main_nur_base_Shakes	wh3_main_nur_base_Shakes	wh3_main_nur_base_Shakes
wh3_main_nur_base_Shakes_festus	wh3_main_nur_base_Shakes	wh3_main_nur_base_Shakes_festus
wh3_main_plague_daemon_prince_bowelsteep	wh3_main_plague_daemon_prince_bowelsteep	wh3_main_plague_daemon_prince_bowelsteep
wh3_main_plague_daemon_prince_grey_fever	wh3_main_plague_daemon_prince_grey_fever	wh3_main_plague_daemon_prince_grey_fever
wh3_main_plague_daemon_prince_ochre_pox	wh3_main_plague_daemon_prince_ochre_pox	wh3_main_plague_daemon_prince_ochre_pox
wh3_main_plague_daemon_prince_the_red_ague	wh3_main_plague_daemon_prince_the_red_ague	wh3_main_plague_daemon_prince_the_red_ague
