payload	cooking_recipe	pay_cooking_cost
#ritual_payload_cooking_recipes_tables;2;db/ritual_payload_cooking_recipes_tables/data__		
wh3_dlc27_sla_dechala_marks_of_cruelty_coy_denial_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_denial	false
wh3_dlc27_sla_dechala_marks_of_cruelty_coy_denial_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_denial_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_coy_denial_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_denial_iii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_ecstasy_of_pain_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_pain	false
wh3_dlc27_sla_dechala_marks_of_cruelty_ecstasy_of_pain_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_pain_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_ecstasy_of_pain_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_pain_iii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_heed_the_lash_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_lash	false
wh3_dlc27_sla_dechala_marks_of_cruelty_heed_the_lash_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_lash_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_heed_the_lash_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_lash_iii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_scent_of_supremacy_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_despair	false
wh3_dlc27_sla_dechala_marks_of_cruelty_scent_of_supremacy_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_despair_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_scent_of_supremacy_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_despair_iii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_slothful_indolence_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_indolence	false
wh3_dlc27_sla_dechala_marks_of_cruelty_slothful_indolence_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_indolence_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_slothful_indolence_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_indolence_iii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_supreme_ascendancy_i_payload	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy	false
wh3_dlc27_sla_dechala_marks_of_cruelty_supreme_ascendancy_ii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_ii	false
wh3_dlc27_sla_dechala_marks_of_cruelty_supreme_ascendancy_iii_payload	wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_iii	false
