issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/data__	
CLAN_ELDERS	wh2_dlc09_books_of_nagash
CLAN_ELDERS	wh2_dlc09_books_of_nagash_1
CLAN_ELDERS	wh2_dlc09_books_of_nagash_2
CLAN_ELDERS	wh2_dlc09_books_of_nagash_3
CLAN_ELDERS	wh2_dlc09_books_of_nagash_4
CLAN_ELDERS	wh2_dlc09_books_of_nagash_5
CLAN_ELDERS	wh2_dlc09_books_of_nagash_6
CLAN_ELDERS	wh2_dlc09_books_of_nagash_7
CLAN_ELDERS	wh2_dlc09_books_of_nagash_8
CLAN_ELDERS	wh2_dlc09_books_of_nagash_9
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_assassinate_character_agent_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_capture_regions_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_declare_war_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_assassinate_character
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_capture_region
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_eliminate_character_in_battle
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_engage_force
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_raid_region
CLAN_ELDERS	wh2_dlc09_mis_tmb_diplomatic_raze_sack_settlement
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_def
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_dwf
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_emp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_grn
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_hef
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_lzd
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_skv
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_tmb
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_vmp
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_faction_leader_wef
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_brt
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_bst
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_chs
CLAN_ELDERS	wh2_dlc09_mis_tmb_eliminate_character_in_battle_high_rank_def
