key	description_text	faction	header_text	image_path	priority_index
#campaign_ui_cheatsheet_items_tables;0;db/campaign_ui_cheatsheet_items_tables/data__					
wh2_dlc09_skv_clan_rictus_1	cheatsheet_skv_underempire_text	wh2_dlc09_skv_clan_rictus	war.camp.hp.skaven_underworld.001		1
wh2_dlc09_skv_clan_rictus_2	cheatsheet_skv_food_text	wh2_dlc09_skv_clan_rictus	war.camp.hp.food.001		2
wh2_dlc09_skv_clan_rictus_3	cheatsheet_skv_menace_below_text	wh2_dlc09_skv_clan_rictus	war.camp.hp.the_menace_below.001		3
wh2_dlc09_skv_clan_rictus_4	cheatsheet_underway_text	wh2_dlc09_skv_clan_rictus	war.camp.hp.underway.001		4
wh2_dlc09_tmb_exiles_of_nehek_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_exiles_of_nehek_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_exiles_of_nehek_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_exiles_of_nehek_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_exiles_of_nehek	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_exiles_of_nehek_5	war.camp.hp.nehekhara_decrees.002	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	war.camp.hp.nehekhara_decrees.001		5
wh2_dlc09_tmb_followers_of_nagash_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_followers_of_nagash_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_followers_of_nagash_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_followers_of_nagash_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_followers_of_nagash_5	war.camp.hp.nehekhara_decrees.002	wh2_dlc09_tmb_followers_of_nagash	war.camp.hp.nehekhara_decrees.001		5
wh2_dlc09_tmb_khemri_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_khemri	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_khemri_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_khemri	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_khemri_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_khemri	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_khemri_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_khemri	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_khemri_5	war.camp.hp.nehekhara_decrees.002	wh2_dlc09_tmb_khemri	war.camp.hp.nehekhara_decrees.001		5
wh2_dlc09_tmb_lybaras_1	war.camp.hp.books_of_nagash.002	wh2_dlc09_tmb_lybaras	war.camp.hp.books_of_nagash.001		1
wh2_dlc09_tmb_lybaras_2	war.camp.hp.day_of_awakening.002	wh2_dlc09_tmb_lybaras	war.camp.hp.day_of_awakening.001		2
wh2_dlc09_tmb_lybaras_3	war.camp.hp.dynasties.002	wh2_dlc09_tmb_lybaras	war.camp.hp.dynasties.001		3
wh2_dlc09_tmb_lybaras_4	war.camp.hp.mortuary_cult.002	wh2_dlc09_tmb_lybaras	war.camp.hp.mortuary_cult.001		4
wh2_dlc09_tmb_lybaras_5	war.camp.hp.nehekhara_decrees.002	wh2_dlc09_tmb_lybaras	war.camp.hp.nehekhara_decrees.001		5
wh2_dlc11_cst_noctilus_1	war.camp.hp.ship_building.002	wh2_dlc11_cst_noctilus	war.camp.hp.ship_building.001		1
wh2_dlc11_cst_noctilus_2	war.camp.hp.infamy.002	wh2_dlc11_cst_noctilus	war.camp.hp.infamy.001		2
wh2_dlc11_cst_noctilus_3	war.camp.hp.pirate_coves.002	wh2_dlc11_cst_noctilus	war.camp.hp.pirate_coves.001		3
wh2_dlc11_cst_pirates_of_sartosa_1	war.camp.hp.ship_building.002	wh2_dlc11_cst_pirates_of_sartosa	war.camp.hp.ship_building.001		1
wh2_dlc11_cst_pirates_of_sartosa_2	war.camp.hp.infamy.002	wh2_dlc11_cst_pirates_of_sartosa	war.camp.hp.infamy.001		2
wh2_dlc11_cst_pirates_of_sartosa_3	war.camp.hp.pirate_coves.002	wh2_dlc11_cst_pirates_of_sartosa	war.camp.hp.pirate_coves.001		3
wh2_dlc11_cst_the_drowned_1	war.camp.hp.ship_building.002	wh2_dlc11_cst_the_drowned	war.camp.hp.ship_building.001		1
wh2_dlc11_cst_the_drowned_2	war.camp.hp.infamy.002	wh2_dlc11_cst_the_drowned	war.camp.hp.infamy.001		2
wh2_dlc11_cst_the_drowned_3	war.camp.hp.pirate_coves.002	wh2_dlc11_cst_the_drowned	war.camp.hp.pirate_coves.001		3
wh2_dlc11_cst_vampire_coast_1	war.camp.hp.ship_building.002	wh2_dlc11_cst_vampire_coast	war.camp.hp.ship_building.001		1
wh2_dlc11_cst_vampire_coast_2	war.camp.hp.infamy.002	wh2_dlc11_cst_vampire_coast	war.camp.hp.infamy.001		2
wh2_dlc11_cst_vampire_coast_3	war.camp.hp.pirate_coves.002	wh2_dlc11_cst_vampire_coast	war.camp.hp.pirate_coves.001		3
wh2_dlc11_def_the_blessed_dread_1	cheatsheet_def_blessed_dread_text	wh2_dlc11_def_the_blessed_dread	cheatsheet_def_blessed_dread_header		1
wh2_dlc11_def_the_blessed_dread_2	cheatsheet_def_black_arks_lokhir_text	wh2_dlc11_def_the_blessed_dread	war.camp.hp.black_arks.001		2
wh2_dlc11_def_the_blessed_dread_3	cheatsheet_def_slaves_text	wh2_dlc11_def_the_blessed_dread	war.camp.hp.slaves.001		3
wh2_dlc11_def_the_blessed_dread_4	cheatsheet_def_sword_of_khaine_text	wh2_dlc11_def_the_blessed_dread	war.camp.hp.sword_of_khaine.001		4
wh2_dlc11_vmp_the_barrow_legion_1	cheatsheet_vmp_bloodlines_text	wh2_dlc11_vmp_the_barrow_legion	war.camp.hp.bloodlines.001		1
wh2_dlc11_vmp_the_barrow_legion_2	cheatsheet_vmp_raising_dead_text	wh2_dlc11_vmp_the_barrow_legion	war.camp.hp.raising_dead.001		2
wh2_dlc11_vmp_the_barrow_legion_3	cheatsheet_vmp_vampiric_corruption_text	wh2_dlc11_vmp_the_barrow_legion	war.camp.hp.vampiric_corruption.001		3
wh2_dlc12_lzd_cult_of_sotek_1	cheatsheet_lizardmen_sacrifice_to_sotek_text	wh2_dlc12_lzd_cult_of_sotek	war.camp.hp.lizardmen_sacrifice_to_sotek.001		1
wh2_dlc12_lzd_cult_of_sotek_2	cheatsheet_lzd_lord_kroak_text	wh2_dlc12_lzd_cult_of_sotek	war.camp.hp.lizardmen_lord_kroak.001		2
wh2_dlc12_lzd_cult_of_sotek_3	cheatsheet_lzd_geomantic_web_text	wh2_dlc12_lzd_cult_of_sotek	war.camp.hp.geomantic_web.001		3
wh2_dlc12_lzd_cult_of_sotek_4	cheatsheet_lzd_blessed_spawnings_text	wh2_dlc12_lzd_cult_of_sotek	war.camp.hp.blessed_spawnings.001		4
wh2_dlc13_emp_golden_order_1	cheatsheet_emp_colleges_of_magic_text	wh2_dlc13_emp_golden_order	war.camp.hp.colleges_of_magic.001	UI/help_images/empire.png	1
wh2_dlc13_emp_golden_order_2	cheatsheet_emp_imperial_authority_text	wh2_dlc13_emp_golden_order	war.camp.hp.empire_imperial_authority.001		2
wh2_dlc13_emp_the_huntmarshals_expedition_1	cheatsheet_emp_emperors_mandate_text	wh2_dlc13_emp_the_huntmarshals_expedition	war.camp.hp.empire_emperors_mandate.001	UI/help_images/empire.png	1
wh2_dlc13_emp_the_huntmarshals_expedition_2	cheatsheet_emp_hostility_text	wh2_dlc13_emp_the_huntmarshals_expedition	war.camp.hp.empire_hostility.001		2
wh2_dlc13_emp_the_huntmarshals_expedition_3	cheatsheet_emp_wulfharts_hunters_text	wh2_dlc13_emp_the_huntmarshals_expedition	war.camp.hp.empire_wulfharts_hunters.001		3
wh2_dlc13_emp_the_huntmarshals_expedition_4	cheatsheet_emp_imperial_authority_text	wh2_dlc13_emp_the_huntmarshals_expedition	war.camp.hp.empire_imperial_authority.001		4
wh2_dlc13_lzd_spirits_of_the_jungle_1	cheatsheet_defence_of_the_great_plan_text	wh2_dlc13_lzd_spirits_of_the_jungle	war.camp.hp.defence_of_the_great_plan.001		1
wh2_dlc13_lzd_spirits_of_the_jungle_2	cheatsheet_lizardmen_jungle_nexus_text	wh2_dlc13_lzd_spirits_of_the_jungle	war.camp.hp.lizardmen_jungle_nexus.001		2
