region_group_key	region_key
#cai_region_groups_to_regions_junctions_tables;0;db/cai_region_groups_to_regions_junctions_tables/data__	
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh3_main_combi_region_black_pyramid_of_nagash
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh3_main_combi_region_black_tower_of_arkhan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh3_main_combi_region_khemri
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh3_main_combi_region_numas
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_TMB	wh3_main_combi_region_sorcerers_islands
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_angerrial
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_eagle_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_elessaeli
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_elisia
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_evershale
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_gaean_vale
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_griffon_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_lothern
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_mistnar
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_phoenix_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_port_elistor
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_shrine_of_asuryan
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_shrine_of_khaine
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_achare
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_anlec
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_anroc
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_dranil
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_elyr
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_finu
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_koruali
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_saroir
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_sethai
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tor_yvresse
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_tower_of_lysean
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_unicorn_gate
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_vauls_anvil_loren
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_white_tower_of_hoeth
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_whitefire_tor
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	wh3_main_combi_region_whitepeak
DLC10_VICTORY_CONDITIONS_SHRINE	wh3_main_combi_region_lothern
DLC10_VICTORY_CONDITIONS_SHRINE	wh3_main_combi_region_naggarond
DLC10_VICTORY_CONDITIONS_SHRINE	wh3_main_combi_region_shrine_of_khaine
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_al_haikk
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_aquitaine
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_bordeleaux
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_brionne
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_castle_artois
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_castle_bastonne
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_castle_carcassonne
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_copher
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_couronne
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_fyrus
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_gisoreux
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_languille
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_lyonesse
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_montfort
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_mousillon
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_parravon
VICTORY_CONDITION_REGIONS_BRT	wh3_main_combi_region_quenelles
VICTORY_CONDITION_REGIONS_BST_ALLY	wh3_main_combi_region_kings_glade
VICTORY_CONDITION_REGIONS_BST_ALLY	wh3_main_combi_region_the_oak_of_ages
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh3_main_combi_region_kings_glade
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh3_main_combi_region_the_oak_of_ages
VICTORY_CONDITION_REGIONS_BST_CHAOS	wh3_main_combi_region_waterfall_palace
VICTORY_CONDITION_REGIONS_BST	wh3_main_combi_region_kings_glade
VICTORY_CONDITION_REGIONS_BST	wh3_main_combi_region_the_oak_of_ages
VICTORY_CONDITION_REGIONS_BST	wh3_main_combi_region_waterfall_palace
VICTORY_CONDITION_REGIONS_DWF	wh3_main_combi_region_karak_eight_peaks
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_altdorf
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_averheim
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_bechafen
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_brass_keep
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_carroburg
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_castle_drakenhof
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_castle_templehof
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_castle_von_rauken
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_dietershafen
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_eilhart
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_erengrad
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_eschen
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_essen
VICTORY_CONDITION_REGIONS_EMP	wh3_main_combi_region_fort_jakova
