key	combat_random_vocalisation	drowning_random_vocalisation	fatigued_idle_random_vocalisation	fatigued_moving_random_vocalisation	idle_random_vocalisation	running_random_vocalisation	musician_event	switch	material	walking_random_vocalisation	group_movement	limitation	idle_looping_sound	moving_looping_sound	rotating_looping_sound	actor_type	group_flying_idle	group_flying_moving	only_uses_material	group_movement_armour_override	group_idle	attenuation_scale	group_melee_armour_override	triggers_cinematic	sphere_of_influence_default	sphere_of_influence_combat	should_use_unique_entity_switches	max_unique_entity_switches	use_focus_rtpc	max_camera_distance_for_focus	min_camera_distance_for_focus	focus_rtpc	unique_entity_switch	consider_moving	group_idle_shoot	group_idle_combat_ready	record_id	focus_pool	min_units_focus_velocity	required_switch	landing_event	landing_limitation_scale	vox_vmd_slot_name	ignore_armour_priority
#audio_entity_types_tables;33;db/audio_entity_types_tables/data__																																												
PLACEHOLDER							Battle_Musician_Event		wood			veryloud							false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			2090043636		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
none							Battle_Musician_Event		wood			veryloud							false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1671932118		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
some_test_unit									metal			doomflayer							false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			201683457		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_bastiladon									wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			759771752	bastiladon_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_bastiladon_revivification_crystal									wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			1398862661	bastiladon_pool	0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_carnosaur									wood			veryloud							false			1.0000		true		large_creature_combat	false	0.0000	true	100.0000	10.0000	Battle_Focus_Entity		true			915907472		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_chariot_articulation							Battle_Musician_Event		metal			war_machine_group							true			1.0000		false			false	0.0000	false	0.0000	0.0000			false			171101559		0.0000			0.5000		true
wh2_chariot_articulation_wood							Battle_Musician_Event		wood			war_machine_group							true			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1163135875		0.0000			0.5000		true
wh2_cold_one						wh2_cold_one_running	Battle_Musician_Event		wood	wh2_cold_one_walking	wh2_grp_movement_beast_medium_claws	large							false	wh_grp_foley_movement_beast_heavy_leather		0.9900		true			false	0.0000	true	35.0000	5.0000	Battle_Focus_Entity		false			1672400975		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_cst_sartosa_free_company			wh_human_male_fatigue	wh_human_male_fatigue	wh_human_male_idle	wh_human_male_running	Battle_Musician_Event	wh_human_male	wood	wh_human_male_walking	wh_grp_movement_humanoid	medium				wh_human_male			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			46573748		0.0000			0.5000		true
wh2_def_elf_female_default			wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_idle	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking	wh_grp_movement_humanoid	medium				wh2_def_elf_female_default			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1983690402		0.0000			0.5000		true
wh2_def_elf_female_default_LH			wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_idle	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking		Lord_Hero				wh2_def_elf_female_default			false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			679781534		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_def_elf_female_default_LORD			wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_fatigue_stop	wh2_def_elf_female_default_idle	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking		Lord_Hero				wh2_def_elf_female_default			false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1788644486		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_def_elf_male_Lokhir_LORD			wh2_def_elf_male_lokhir_fatigue_stop	wh2_def_elf_male_lokhir_fatigue_stop	wh2_def_elf_male_lokhir_idle	wh2_def_elf_male_lokhir_running	Battle_Musician_Event		wood	wh2_def_elf_male_lokhir_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1141486717		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_def_elf_male_Malekith_LORD			wh2_def_elf_male_malekith_fatigue_stop	wh2_def_elf_male_malekith_fatigue_stop	wh2_def_elf_male_malekith_idle	wh2_def_elf_male_malekith_running	Battle_Musician_Event		wood	wh2_def_elf_male_malekith_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			945466372		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_def_elf_male_default			wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_idle	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking	wh_grp_movement_humanoid	medium				wh2_def_elf_male_default			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1576475366		0.0000			0.5000		true
wh2_def_elf_male_default_LH			wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_idle	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking		Lord_Hero				wh2_def_elf_male_default			false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			2030526796		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_def_elf_male_default_LORD			wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_fatigue_stop	wh2_def_elf_male_default_idle	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking		Lord_Hero				wh2_def_elf_male_default			false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1083189837		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc017_chariot_bst							Battle_Musician_Event		wood			war_machine_group_chariots							true			1.0000		false			false	0.0000	true	45.0000	10.0000	Battle_Focus_Warmachine		true			317022724	wm_wood_chariot	0.0000			0.5000		true
wh2_dlc09_chariot_arkhan							Battle_Musician_Event		metal			war_machine	wh2_dlc09_chariot_arkhan_idle	wh2_dlc09_chariot_arkhan_movement	wh2_dlc09_chariot_arkhan_movement_rotation				true			1.0000		false			false	0.0000	false	0.0000	0.0000			false			174575061		0.0000			0.5000		true
wh2_dlc09_chariot_settra							Battle_Musician_Event		metal			war_machine	wh2_dlc09_chariot_settra_idle	wh2_dlc09_chariot_settra_movement	wh2_dlc09_chariot_settra_movement_rotation				true			1.0000		false			false	0.0000	false	0.0000	0.0000			false			900653278		0.0000			0.5000		true
wh2_dlc09_chariot_tmb							Battle_Musician_Event		metal			war_machine_group		wh2_dlc_09_chariot_tmb_movement	wh2_dlc_09_chariot_tmb_movement_rotation				true			1.0000		false			false	0.0000	true	45.0000	10.0000	Battle_Focus_Warmachine		true			1975132649	wm_metal_chariot	0.0000			0.5000		true
wh2_dlc09_horse_chariot_arkhan					wh_horse_normal_idle	wh_horse_normal_running	Battle_Musician_Event	wh_horse_normal	wood	wh_horse_normal_walking		medium							false	wh_grp_foley_movement_horse_leather		1.0000		false			false	0.0000	false	0.0000	0.0000			false			754538086		0.0000		Battle_Individual_Footstep_Landing_Light	0.5000		true
wh2_dlc10_def_doomfire_warlocks			wh2_def_elf_male_default_fatigue_stop		wh2_def_elf_male_default_idle	wh2_def_elf_male_default_running	Battle_Musician_Event		wood	wh2_def_elf_male_default_walking		large				wh2_def_elf_male_default			false			1.0000		false			false	0.0000	true	40.0000	5.0000	Battle_Focus_Entity		false			1016005590		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc10_def_elf_female_sisters_of_slaughter			wh2_def_elf_female_default_fatigue_stop		wh2_def_elf_female_default_idle	wh2_def_elf_female_default_running	Battle_Musician_Event		wood	wh2_def_elf_female_default_walking	wh_grp_movement_humanoid	medium				wh2_def_elf_female_default			false			1.0000		false			false	0.0000	false	0.0000	0.0000			false			1645217097		0.0000			0.5000		true
wh2_dlc11_cst_Aranessa_LORD				wh2_dlc11_aranessa_fatigue_stop	wh2_dlc11_aranessa_idle	wh2_dlc11_aranessa_running	Battle_Musician_Event		wood	wh2_dlc11_aranessa_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			2083034120		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_Cylostra_LORD				wh2_cst_cylostra_idle	wh2_cst_cylostra_idle	wh2_cst_cylostra_idle	Battle_Musician_Event		wood	wh2_cst_cylostra_idle		Lord_Hero	wh2_dlc_11_cylostra_aura	wh2_dlc_11_cylostra_aura	wh2_dlc_11_cylostra_aura				false			1.3000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			198495733		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_Fleet_Ad_female_LORD				wh2_cst_fleet_ad_female_fatigue	wh2_cst_fleet_ad_female_idle	wh2_cst_fleet_ad_female_running	Battle_Musician_Event		wood	wh2_cst_fleet_ad_female_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1751303990		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_Fleet_Ad_male_LORD				wh2_cst_fleet_ad_male_fatigue	wh2_cst_fleet_ad_male_idle	wh2_cst_fleet_ad_male_running	Battle_Musician_Event		wood	wh2_cst_fleet_ad_male_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			986248529		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
wh2_dlc11_cst_Gunnery_Wight_LH			wh2_cst_gunnery_wight_fatigue	wh2_cst_gunnery_wight_fatigue	wh2_cst_gunnery_wight_idle	wh2_cst_gunnery_wight_running	Battle_Musician_Event		wood	wh2_cst_gunnery_wight_walking		Lord_Hero							false			1.2000		true	hero_default	hero_combat	false	0.0000	false	0.0000	0.0000			false			1548664044		0.0000		Battle_Individual_Footstep_Landing_Heavy	0.5000		true
