model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount	prebattle_separation_offset
#campaign_mounts_tables;9;db/campaign_mounts_tables/data__								
wh2_dlc09_cam_mnt_tmb_arkhan_chariot	cam_wm_tomb_chariot_arkhan_01	wh2_dlc09_tmb_arkhan_chariot_campaign	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	false	40	false	0.0000
wh2_dlc09_cam_mnt_tmb_basic_chariot	cam_wm_tomb_chariot_01	wh2_dlc09_tmb_basic_chariot_campaign	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false	0.0000
wh2_dlc09_cam_mnt_tmb_general_chariot	cam_wm_tomb_chariot_01	wh2_dlc09_tmb_general_chariot_campaign	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false	0.0000
wh2_dlc09_cam_mnt_tmb_khatep_casket_of_souls	cam_wm_casket_souls01	wh2_dlc09_tmb_casket_of_souls	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false	0.0000
wh2_dlc09_cam_mnt_tmb_khemrian_warsphinx	cam_lord_bc1_warsphinx	wh2_dlc09_tmb_khemrian_warsphinx	0.5000	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false	0.0000
wh2_dlc09_cam_mnt_tmb_necroserpent	cam_lord_sn1_serpent	wh2_dlc09_tmb_necro_serpent_khalida	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	true	0	true	0.0000
wh2_dlc09_cam_mnt_tmb_settra_chariot	cam_wm_tomb_chariot_01	wh2_dlc09_tmb_settra_chariot_campaign	1.0000	wh2_dlc09_vo_culture_Tomb_Kings	false	41	false	0.0000
wh2_dlc09_cam_mnt_tmb_skeletal_steed	cam_hr1_warhorse	wh2_dlc09_tmb_skeletal_steed_campaign	1.0000	wh_main_vo_culture_Skeletal_horse	true	0	false	0.0000
wh2_dlc09_cam_tmb_mnt_casket_of_souls	default	wh2_dlc09_tmb_casket_of_souls	0.8000	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false	0.0000
wh2_dlc10_cam_mnt_def_manticore	cam_bc3_manticore	wh2_dlc10_def_manticore	0.6500	wh_main_vo_culture_Manticore	false	0	false	0.0000
wh2_dlc11_cam_mnt_cst_damned_warhorses_barded	cam_hr1_warhorse	wh2_dlc11_cst_damned_warhorses_barded_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_dlc11_cam_mnt_cst_necrofex_colossus	cam_lord_gi2_cst_colossus	wh2_dlc11_cst_necrofex_colossus	0.3500	vo_culture_None	false	0	false	0.0000
wh2_dlc11_cam_mnt_cst_rotting_leviathon	cam_lord_cr1_cst_promethean	wh2_dlc11_cst_rotting_leviathan	0.5000	vo_culture_None	false	0	false	0.0000
wh2_dlc11_cam_mnt_cst_rotting_promethean	cam_lord_cr1_cst_promethean	wh2_dlc11_cst_rotting_promethean	0.5000	vo_culture_None	false	0	false	0.0000
wh2_dlc11_cam_mnt_cst_terrorgheist	cam_bi2_wyvern	wh2_dlc11_cst_deathshriek_terrorgheist	0.7000	wh_main_vo_culture_Terrorgheist	false	0	false	0.0000
wh2_dlc11_cam_mnt_def_black_dragon_lokhir	cam_dr1_dragon	wh2_dlc11_def_black_dragon_saddle_lokhir	0.5500	wh_main_vo_culture_Dragon_Large	false	0	false	-4.0000
wh2_dlc11_cam_mnt_vmp_barded_nightmare_blood_dragon	cam_hr1_warhorse	wh2_dlc11_vmp_barded_nightmare_blood_dragon_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_dlc12_cam_mnt_lzd_terradon_zwup	cam_hero_bi3_terradon	wh2_dlc12_lzd_terradon_zwup	0.6000	wh2_main_vo_culture_Terradon	false	0	false	0.0000
wh2_dlc14_cam_mnt_brt_henri_barded_warhorse	cam_hr1_warhorse	wh_brt_warhorses_barded_faction_colours_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_dlc14_cam_mnt_brt_repanse_barded_warhorse	cam_hr1_warhorse	wh2_dlc14_brt_ch_repanse_barded_warhorse_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_dlc14_cam_mnt_def_malus_cold_one_spite	cam_lord_rp3_cold_one	wh2_dlc14_def_cold_one_spite_campaign	1.0000	wh2_main_vo_culture_Dark_Elves	true	0	false	0.0000
wh2_dlc14_cam_mnt_def_scourgerunner_chariot	cam_wm_dlc14_scourge_chariot01	wh2_dlc14_def_scourgerunner_chariot_campaign	0.7000	wh2_main_vo_culture_Dark_Elves	false	0	false	0.0000
wh2_dlc15_cam_cht_grn_grom_chariot	cam_wm_dlc15_grom_chariot01	wh2_dlc15_grn_grom_chariot_campaign	1.0000	wh_main_vo_culture_Wolf	false	0	false	0.0000
wh2_dlc15_cam_mnt_hef_arcane_phoenix	cam_bi1_eagle	wh2_dlc15_hef_arcane_phoenix_campaign_mount	0.6000	wh2_main_vo_culture_Phoenix	false	0	false	0.0000
wh2_dlc15_cam_mnt_hef_griffon	cam_bc2_griffon	wh2_dlc15_hef_griffon	0.7500	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh2_dlc15_cam_mnt_hef_griffon_stormwing	cam_bc2_griffon	wh2_dlc15_hef_griffon_stormwing	0.7500	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false	0.0000
wh2_dlc15_cam_mnt_hef_star_dragon_minaithnir	cam_dr1_dragon	wh2_dlc15_hef_star_dragon_minaithnir	0.5500	wh2_main_vo_culture_Star_Dragon	false	0	false	-4.0000
wh2_dlc15_cam_mnt_hef_white_lion_chariot	cam_dlc15_wm_white_lion_chariot01	wh2_dlc15_hef_white_lion_chariot_campaign	0.8500	wh2_main_vo_culture_High_Elves	false	0	false	0.0000
wh2_dlc15_hef_mnt_dragon_princes_steed	cam_hr1_warhorse	wh2_dlc15_hef_dragon_steed_imrik_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
wh2_dlc16_cam_mnt_skv_brood_horror	cam_rt1_dlc16_brood_horror	wh2_dlc16_skv_brood_horror_campaign	0.7000	vo_culture_None	false	0	true	0.0000
