key	model_id	building_bmd	port_bmd	construction_bmd	damaged_bmd	destroyed_bmd	port_construction_bmd	port_walled_bmd	wall_bmd	on_sea_bmd	devastated_bmd	devastated_occupied_bmd
#campaign_settlement_display_buildings_tables;8;db/campaign_settlement_display_buildings_tables/data__												
1001285647	wh3_dlc23_chd_settlement_outpost_2	prefabs/campaign/chd_outpost_02.bmd	prefabs/campaign/chd_outpost_02.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/chd_outpost_02.bmd	prefabs/campaign/chd_outpost_02.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1003916721	wh2_main_building_skv_settlement_hellpit_5	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1012209927	wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_4	prefabs/campaign/tmb_blackpyramid_04.bmd	prefabs/campaign/tmb_major_port_04.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_04.bmd	prefabs/campaign/tmb_blackpyramid_04.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1015998092	wh2_dlc12_dummy_nuclear_ruins_human	prefabs\campaign\human_settlement_ruin_nuked.bmd	prefabs\campaign\human_settlement_port_ruin_nuked.bmd					prefabs\campaign\human_settlement_port_ruin_nuked.bmd	prefabs\campaign\human_settlement_ruin_nuked.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1027860412	wh2_dlc11_special_galleons_graveyard	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs/campaign/cst_galleon_graveyard.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1032590429	wh3_main_nur_settlement_minor_3	prefabs/campaign/chs_minor_nur_03.bmd	prefabs/campaign/chs_port_minor_nur_03.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/chs_port_minor_nur_04.bmd	prefabs/campaign/chs_minor_nur_04.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1034330105	wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5	prefabs/campaign/tmb_blackpyramid_05.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs/campaign/tmb_blackpyramid_05.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1043444287	wh2_dlc13_building_lzd_horde_settlement_major_2	prefabs\campaign\lzd_horde_major_2.bmd										
1053657990	wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_2	prefabs\campaign\dwarf_encampment.bmd										
1055878205	wh3_dlc29_special_settlement_garden_of_nurgle_3	prefabs/campaign/chs_major_nurgle_garden_03.bmd	prefabs/campaign/chs_major_nurgle_garden_port_03.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/chs_major_nurgle_garden_port_03.bmd	prefabs/campaign/chs_major_nurgle_garden_03.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
10645472	wh3_main_tze_settlement_major_1	prefabs/campaign/chs_major_tze_01.bmd	prefabs/campaign/chs_port_major_tze_01.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/chs_port_major_tze_01.bmd	prefabs/campaign/chs_major_tze_01.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
1067977573	wh3_main_ksl_kislev_city_1	prefabs/campaign/ksl_ice_palace_01.bmd	prefabs/campaign/ksl_port_major_01.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/ksl_port_major_01.bmd	prefabs/campaign/ksl_ice_palace_01.bmd		prefabs/campaign/cwb_gen_camp_devastated.bmd	prefabs/campaign/cwb_gen_camp_devastated_resource.bmd
