scope	scoped_cost_root	resource_cost
#scoped_resource_cost_items_tables;0;db/scoped_resource_cost_items_tables/data__		
FACTION	wh2_main_purchasable_effect_menace_below_1	wh2_main_resource_cost_menace_below_1
FACTION	wh2_main_purchasable_effect_menace_below_2	wh2_main_resource_cost_menace_below_2
FACTION	wh2_main_purchasable_effect_menace_below_3	wh2_main_resource_cost_menace_below_3
FACTION	wh2_main_purchasable_effect_menace_below_4	wh2_main_resource_cost_menace_below_4
FACTION	wh2_main_purchasable_effect_menace_below_5	wh2_main_resource_cost_menace_below_5
FACTION	wh3_dlc27_main_purchasable_effect_in_praise_of_slaanesh_01	wh3_dlc27_main_resource_cost_in_praise_of_slaanesh_01
FACTION	wh3_dlc27_main_purchasable_effect_in_praise_of_slaanesh_02	wh3_dlc27_main_resource_cost_in_praise_of_slaanesh_02
FACTION	wh3_dlc27_main_purchasable_effect_in_praise_of_slaanesh_03	wh3_dlc27_main_resource_cost_in_praise_of_slaanesh_03
FACTION	wh3_dlc27_nor_throgg_troll_altar_building_on_completion_scoped	wh3_dlc27_nor_throgg_troll_altar_building_on_completion_scoped
FACTION	wh3_dlc27_nor_throgg_troll_shelter_building_on_completion_scoped	wh3_dlc27_nor_throgg_troll_shelter_building_on_completion_transaction
FACTION	wh3_dlc27_nor_throgg_troll_shelter_building_on_completion_scoped_2	wh3_dlc27_nor_throgg_troll_shelter_building_on_completion_transaction_2
FACTION	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_scoped	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_transaction
FACTION	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_scoped_2	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_transaction_2
FACTION	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_scoped_3a	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_transaction_3a
FACTION	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_scoped_3b	wh3_dlc27_nor_throgg_troll_woods_building_on_completion_transaction_3b
CHARACTER	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_1	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_1
CHARACTER	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_2	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_2
CHARACTER	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_3	wh3_dlc27_resource_cost_sla_the_masque_dance_step_swap_tempo_3
FACTION	wh3_main_purchasable_effect_menace_below_mors_10	wh3_main_resource_cost_menace_below_mors_10
FACTION	wh3_main_purchasable_effect_menace_below_mors_1	wh3_main_resource_cost_menace_below_mors_1
FACTION	wh3_main_purchasable_effect_menace_below_mors_2	wh3_main_resource_cost_menace_below_mors_2
FACTION	wh3_main_purchasable_effect_menace_below_mors_3	wh3_main_resource_cost_menace_below_mors_3
FACTION	wh3_main_purchasable_effect_menace_below_mors_4	wh3_main_resource_cost_menace_below_mors_4
FACTION	wh3_main_purchasable_effect_menace_below_mors_5	wh3_main_resource_cost_menace_below_mors_5
FACTION	wh3_main_purchasable_effect_menace_below_mors_6	wh3_main_resource_cost_menace_below_mors_6
FACTION	wh3_main_purchasable_effect_menace_below_mors_7	wh3_main_resource_cost_menace_below_mors_7
FACTION	wh3_main_purchasable_effect_menace_below_mors_8	wh3_main_resource_cost_menace_below_mors_8
FACTION	wh3_main_purchasable_effect_menace_below_mors_9	wh3_main_resource_cost_menace_below_mors_9
