bonus_value_id	effect	initiative_set
#effect_bonus_value_initiative_set_junctions_tables;0;db/effect_bonus_value_initiative_set_junctions_tables/data__		
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	wh3_dlc20_faction_initiative_set_chs_undivided_warriors
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_kho_HIDDEN	wh3_dlc20_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_kho	wh3_dlc20_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_nur_HIDDEN	wh3_dlc20_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_nur	wh3_dlc20_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla_HIDDEN	wh3_dlc20_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla	wh3_dlc20_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_tze_HIDDEN	wh3_dlc20_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_tze	wh3_dlc20_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_und	wh3_dlc20_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_und	wh3_dlc20_faction_initiative_set_chs_undivided_warriors
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_khorne
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_tzeentch
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_undivided
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_chaos_gifts	wh3_dlc20_faction_initiative_set_chs_undivided_warriors
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_slaanesh_gifts	wh3_dlc20_faction_initiative_set_chs_slaanesh
percentage_cost_upkeep_mod	wh3_dlc20_effect_initiative_upkeep_reduction_slaanesh_gifts_hidden	wh3_dlc20_faction_initiative_set_chs_slaanesh
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_bull_centaur_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_bull_centaurs
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_bull_centaur_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_bull_centaurs
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_flying_beasts_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_flying_beasts
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_flying_beasts_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_flying_beasts
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_kdaai_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_kdaai
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_kdaai_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_kdaai
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_melee_inf_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_melee_infantry
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_melee_inf_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_melee_infantry
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_missile_inf_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_missile_infantry
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_missile_inf_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_missile_infantry
percentage_cost_upkeep_mod	wh3_dlc23_chd_hellforge_warmachine_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_warmachines
percentage_expended_cost_mod	wh3_dlc23_chd_hellforge_warmachine_upkeep_cost_mod	wh3_dlc23_faction_initiative_set_chd_category_warmachines
points_limit_mod	wh3_dlc23_effect_chd_faction_effect_daemonsmithing_astragoth	wh3_dlc23_faction_initiative_set_chd_category_bull_centaurs
points_limit_mod	wh3_dlc23_effect_chd_faction_effect_daemonsmithing_drazhoath	wh3_dlc23_faction_initiative_set_chd_category_warmachines
points_limit_mod	wh3_dlc23_effect_chd_faction_effect_daemonsmithing_zhatan	wh3_dlc23_faction_initiative_set_chd_category_melee_infantry
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_bull_centaurs
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_flying_beasts
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_kdaai
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_melee_infantry
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_missile_infantry
active_initiative_count_mod	wh3_dlc23_effect_chd_hellforge_cap_mod_all	wh3_dlc23_faction_initiative_set_chd_category_warmachines
enable_infinite_duration	wh3_dlc26_effects_da_plan_tactic_duration_infinite	wh3_dlc26_force_initiative_grn_da_plan
duration_mod	wh3_dlc26_effects_da_plan_tactic_duration	wh3_dlc26_force_initiative_grn_da_plan
active_initiative_count_mod	wh3_dlc26_effects_da_plan_tactic_slots	wh3_dlc26_force_initiative_grn_da_plan
percentage_expended_cost_mod	wh3_dlc27_effect_initiative_cost_reduction_asur_domination_colonies	wh3_dlc27_asur_domination_focus_colonies
percentage_expended_cost_mod	wh3_dlc27_effect_initiative_cost_reduction_asur_domination_dragonships	wh3_dlc27_asur_domination_focus_dragonships
percentage_expended_cost_mod	wh3_dlc27_effect_initiative_cost_reduction_asur_domination_outposts	wh3_dlc27_asur_domination_focus_outposts
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_1	wh3_dlc27_eternal_dance_of_elves_tempo_1
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_1	wh3_dlc27_eternal_dance_of_final_battle_tempo_1
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_1	wh3_dlc27_eternal_dance_of_khorne_tempo_1
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_1	wh3_dlc27_eternal_dance_of_nurgle_tempo_1
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_2	wh3_dlc27_eternal_dance_of_elves_tempo_2
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_2	wh3_dlc27_eternal_dance_of_final_battle_tempo_2
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_2	wh3_dlc27_eternal_dance_of_khorne_tempo_2
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_2	wh3_dlc27_eternal_dance_of_nurgle_tempo_2
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_3	wh3_dlc27_eternal_dance_of_elves_tempo_3
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_3	wh3_dlc27_eternal_dance_of_final_battle_tempo_3
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_3	wh3_dlc27_eternal_dance_of_khorne_tempo_3
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_3	wh3_dlc27_eternal_dance_of_nurgle_tempo_3
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_4	wh3_dlc27_eternal_dance_of_elves_tempo_4
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_4	wh3_dlc27_eternal_dance_of_final_battle_tempo_4
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_4	wh3_dlc27_eternal_dance_of_khorne_tempo_4
active_initiative_count_mod	wh3_dlc27_sla_tempo_level_4	wh3_dlc27_eternal_dance_of_nurgle_tempo_4
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	wh3_dlc20_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	wh3_dlc20_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	wh3_dlc20_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	wh3_dlc20_faction_initiative_set_chs_tzeentch
percentage_cost_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_1
percentage_cost_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_2
percentage_cost_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_3
percentage_cost_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_4
percentage_cost_upkeep_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_1
percentage_cost_upkeep_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_2
percentage_cost_upkeep_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_3
percentage_cost_upkeep_mod	wh3_main_effect_tribute_to_maw	wh3_dlc26_character_initiative_set_ogr_maw_offering_4
active_initiative_count_mod	wh3_main_kairos_spell_slot_common_1	wh3_main_character_initiative_set_kairos_spells_common_1
active_initiative_count_mod	wh3_main_kairos_spell_slot_common_2	wh3_main_character_initiative_set_kairos_spells_common_2
active_initiative_count_mod	wh3_main_kairos_spell_slot_rare_1	wh3_main_character_initiative_set_kairos_spells_rare_1
active_initiative_count_mod	wh3_main_kairos_spell_slot_rare_2	wh3_main_character_initiative_set_kairos_spells_rare_2
active_initiative_count_mod	wh3_main_kairos_spell_slot_uncommon_1	wh3_main_character_initiative_set_kairos_spells_uncommon_1
active_initiative_count_mod	wh3_main_kairos_spell_slot_uncommon_2	wh3_main_character_initiative_set_kairos_spells_uncommon_2
