key	max_attenuation_fire	max_attenuation_impact	max_attenuation_inflight	inflight_min_speed	fire_start_event	fire_stop_event	incoming_event	impact_event	impact_blood_event	inflight_start_event	inflight_stop_event	hit_tree_start_event	hit_tree_stop_event	idle_start_event	idle_stop_event	max_attenuation_idle	obstruction_size	use_reverb	group_fire	group_inflight	group_impact	incoming_time	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	fire_only_trigger_once_per_volley	inflight_only_trigger_once_per_volley	impact_only_trigger_once_per_volley	flyby_event	flyby_distance	doppler_rtpc_name	limitation	limitation_scale_fire	limitation_scale_inflight	limitation_scale_impact	limitation_scale_incoming	limitation_scale_flyby
#audio_projectiles_tables;14;db/audio_projectiles_tables/data__																																							
none	0.0000	0.0000	0.0000	0.0000												0.0000	0.0000	true				1.0000						false	false	false		10.0000		large	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_Terradon_Bomb	150.0000	240.0000	255.0000	22.0000			Battle_Individual_Projectile_Incoming_Terradon_Bomb									100.0000	0.0000	false				1.0000						false	false	false		20.0000	Battle_Projectile_Doppler	large	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_bolas	0.0000	50.0000	100.0000	10.0000						Battle_Individual_Projectile_Bolas_InFlight_Play	Battle_Individual_Projectile_Bolas_InFlight_Stop					100.0000	0.0000	false				1.0000						false	false	false		10.0000		small	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_bolt_thrower_eagle_claw	150.0000	240.0000	255.0000	22.0000			Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact		Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Play	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true				1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20.0000	Battle_Projectile_Doppler	large	1.0000	1.0000	5.0000	0.5000	0.5000
wh2_bolt_thrower_eagle_claw_spread	150.0000	240.0000	255.0000	15.0000			Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact								100.0000	0.0000	true		wh2_grp_projectile_bolt_thrower_eagle_claw_inflight	wh2_grp_projectile_bolt_thrower_eagle_claw_impact	1.0000	Battle_Projectile_Speed	Projectile_Speed				false	true	false	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20.0000	Battle_Projectile_Doppler	large	1.0000	0.5000	1.0000	0.5000	0.5000
wh2_bullet_multi_impact_large	250.0000	100.0000	100.0000	10.0000								Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100.0000	0.0000	true		wh_grp_projectile_bullet_inflight	wh2_grp_projectile_bullet_impact_multi_large	1.0000						false	true	true	Battle_Individual_Projectile_Bullet_Large_Passby	15.0000		medium	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_casket_of_souls	250.0000	400.0000	300.0000	10.0000	Battle_Individual_Projectile_Casket_Of_Souls_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Casket_Of_Souls	Battle_Individual_Projectile_Casket_Of_Souls_Impact		Battle_Individual_Projectile_Casket_Of_Souls_InFlight_Play	Battle_Individual_Projectile_Casket_Of_Souls_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	true		wh2_grp_projectile_casket_of_souls_inflight	wh2_grp_projectile_casket_of_souls_impact	1.0000	Battle_Projectile_Speed	Projectile_Speed				true	true	true	Battle_Individual_Projectile_Incoming_Casket_Of_Souls	25.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	0.5000	0.5000	0.5000
wh2_catapult_plagueclaw	250.0000	500.0000	300.0000	10.0000	Battle_Individual_Projectile_Plagueclaw_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Rock	Battle_Individual_Projectile_Plagueclaw_Catapult_Impact		Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Play	Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	true				1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Rock	25.0000	Battle_Projectile_Doppler	medium	1.0000	0.0000	1.0000	0.5000	0.5000
wh2_catapult_screamingskull	250.0000	500.0000	300.0000	10.0000	Battle_Individual_Projectile_Screaming_Skull_Catapult_Launch_Whoosh		Battle_Individual_Projectile_Incoming_Screaming_Skull_Catapult	Battle_Individual_Projectile_Screaming_Skull_Catapult_Impact		Battle_Individual_Projectile_Screaming_Skull_Catapult_InFlight_Play	Battle_Individual_Projectile_Screaming_Skull_Catapult_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100.0000	0.0000	true		wh2_grp_projectile_screaming_skull_catapult_inflight	wh2_grp_projectile_screaming_skull_catapult_impact	1.0000	Battle_Projectile_Speed	Projectile_Speed				false	false	false	Battle_Individual_Projectile_Incoming_Rock	25.0000	Battle_Projectile_Doppler	magic	1.0000	0.0000	1.0000	0.5000	0.5000
