bonus_value_id	effect	agent_action_record
#effect_bonus_value_agent_action_record_junctions_tables;0;db/effect_bonus_value_agent_action_record_junctions_tables/data__		
active	wh2_dlc09_effect_agent_action_enable_engineer_hinder_settlement_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_champion_assist_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_champion_hinder_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_champion_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_dignitary_assist_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_dignitary_hinder_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_dignitary_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_engineer_assist_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_engineer_hinder_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_engineer_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_runesmith_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_spy_assist_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_spy_hinder_province_dig_for_treasure
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_spy_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_dlc11_agent_action_wizard_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_assist_army_replenish_troops
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_assist_army_scavenge
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_assist_army_scouting
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_assist_army_training
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_agent_assassinate
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_agent_wound
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_army_assault_units
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_army_block_army
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_army_hinder_replenishment
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_settlement_assault_garrison
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_settlement_damage_building
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_settlement_damage_walls
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_settlement_gain_influence
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_hinder_settlement_scout_settlement
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_passive_increase_trade
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_excluding_pirate_coves	wh2_main_agent_action_champion_passive_spread_corruption_vmp
