base_battlefield_building	battlefield_building_logic	settlement_level	settlement_layer_group_id
#battlefield_building_to_settlement_levels_tables;3;db/battlefield_building_to_settlement_levels_tables/data__			
brt_wall_gatehouse_60	brt_wall_gatehouse_60	1	settlement_level_1
brt_wall_gatehouse_60	brt_wall_gatehouse_60_02	2	settlement_towers_level_1
brt_wall_gatehouse_60	brt_wall_gatehouse_60_02	3	settlement_towers_level_2
brt_wall_gatehouse_60	brt_wall_gatehouse_60_03	4	settlement_towers_level_3
brt_wall_gatehouse_60	brt_wall_gatehouse_60_03	5	settlement_towers_level_3
brt_wall_straight_20	brt_wall_straight_20	1	settlement_level_1
brt_wall_straight_20	brt_wall_straight_20_02	2	settlement_towers_level_1
brt_wall_straight_20	brt_wall_straight_20_02	3	settlement_towers_level_2
brt_wall_straight_20	brt_wall_straight_20_03	4	settlement_towers_level_3
brt_wall_straight_20	brt_wall_straight_20_03	5	settlement_towers_level_3
brt_wall_straight_20m	brt_wall_straight_20_02	2	settlement_towers_level_1
brt_wall_straight_20m	brt_wall_straight_20_02	3	settlement_towers_level_2
brt_wall_straight_20m	brt_wall_straight_20_03	4	settlement_towers_level_3
brt_wall_straight_20m	brt_wall_straight_20_03	5	settlement_towers_level_3
brt_wall_straight_20m	brt_wall_straight_20m	1	settlement_level_1
brt_wall_tower	brt_wall_tower	1	settlement_level_1
brt_wall_tower	brt_wall_tower_01	2	settlement_towers_level_1
brt_wall_tower	brt_wall_tower_02	3	settlement_towers_level_2
brt_wall_tower	brt_wall_tower_03	4	settlement_towers_level_3
brt_wall_tower	brt_wall_tower_03	5	settlement_towers_level_3
chd_wall_gatehouse_60m	chd_wall_gatehouse_60m	1	settlement_level_1
chd_wall_gatehouse_60m	chd_wall_gatehouse_60m_02	2	settlement_towers_level_1
chd_wall_gatehouse_60m	chd_wall_gatehouse_60m_02	3	settlement_towers_level_2
chd_wall_gatehouse_60m	chd_wall_gatehouse_60m_03	4	settlement_towers_level_3
chd_wall_gatehouse_60m	chd_wall_gatehouse_60m_03	5	settlement_towers_level_3
chd_wall_straight_20m	chd_wall_straight_20m	1	settlement_level_1
chd_wall_straight_20m	chd_wall_straight_20m_02	2	settlement_towers_level_1
