key	slot_type
#armory_items_tables;0;db/armory_items_tables/data__	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_1	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_2	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_3	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_4	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_5	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_base_6	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_2	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_3	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_4	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_5	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_bird_6	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_4	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_5	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_6	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	left_arm
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	left_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_1	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_2	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_3	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_4	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_5	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_armoured_6	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_1	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_2	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_3	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_4	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_5	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_base_6	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_1	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_2	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_3	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_4	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_5	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_bird_6	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_1	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_2	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_3	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_4	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_5	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_6	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	right_arm
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	right_arm
wh3_main_dae_cha_daemon_prince_fe_arm_l_armoured_06	left_arm
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_01	left_arm
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_03	left_arm
wh3_main_dae_cha_daemon_prince_fe_arm_l_bird_03	left_arm
wh3_main_dae_cha_daemon_prince_fe_arm_l_corpulent_03	left_arm
wh3_main_dae_cha_daemon_prince_fe_arm_r_armoured_06	right_arm
wh3_main_dae_cha_daemon_prince_fe_arm_r_base_01	right_arm
wh3_main_dae_cha_daemon_prince_fe_arm_r_bird_03	right_arm
wh3_main_dae_cha_daemon_prince_fe_arm_r_corpulent_03	right_arm
wh3_main_dae_cha_daemon_prince_fe_arm_r_scythe_06	right_arm
wh3_main_dae_cha_daemon_prince_fe_head_adornedhelmet_06	head
wh3_main_dae_cha_daemon_prince_fe_head_base_01	head
wh3_main_dae_cha_daemon_prince_fe_head_beast_06	head
wh3_main_dae_cha_daemon_prince_fe_head_bird_02	head
wh3_main_dae_cha_daemon_prince_fe_head_corpulent_06	head
wh3_main_dae_cha_daemon_prince_fe_legs_base_01	legs
wh3_main_dae_cha_daemon_prince_fe_legs_beast_06	legs
wh3_main_dae_cha_daemon_prince_fe_legs_bird_06	legs
wh3_main_dae_cha_daemon_prince_fe_legs_corpulent_03	legs
wh3_main_dae_cha_daemon_prince_fe_legs_daemonette_04	legs
wh3_main_dae_cha_daemon_prince_fe_tail_base_01	tail
wh3_main_dae_cha_daemon_prince_fe_tail_corpulent_05	tail
wh3_main_dae_cha_daemon_prince_fe_tail_fiend_06	tail
wh3_main_dae_cha_daemon_prince_fe_tail_living_06	tail
wh3_main_dae_cha_daemon_prince_fe_tail_snapping_06	tail
wh3_main_dae_cha_daemon_prince_fe_torso_adornedarmour_06	torso
