key	event	max_attenuation	obstruction_size	use_reverb
#audio_projectile_bombardments_tables;0;db/audio_projectile_bombardments_tables/data__				
wh2_dlc11_ability_wraith_storm	Battle_IND_Magic_Wraith_Storm_Conjure	1000.0000	70.0000	true
wh2_dlc12_ability_warpstorm_doomrocket	Battle_IND_Magic_Warpstorm_Doomrocket_Conjure	500.0000	70.0000	true
wh2_dlc13_ability_ishas_rain	Battle_IND_Magic_Ishas_Rain_Conjure_Oneshot	500.0000	70.0000	true
wh2_dlc15_ability_arachneruption	Battle_IND_Magic_Arachneruption_start	350.0000	70.0000	true
wh2_dlc15_ability_doom_diver_strike	Battle_Individual_Ability_Bombardment_dlc15_Doom_Diver_Conjure	500.0000	70.0000	true
wh2_dlc15_ability_mist_walkers_barrage	Battle_IND_Magic_Mistwalkers_Barrage_Conjure_Oneshot	500.0000	70.0000	true
wh2_dlc15_ability_rubble_and_ruin	IND_Magic_SABL_Rubble_And_Ruin_Launch	500.0000	70.0000	true
wh2_dlc17_ability_xapatis_sanctum	IND_Magic_DLC17_SABL_Xapatis_Sanctum_Bombardment_Start	500.0000	70.0000	true
wh2_main_ability_bloodwrack_cauldron	Battle_IND_Magic_Bloodwrack_Cauldron_Conjure	1000.0000	70.0000	true
wh2_main_ability_brazen_cauldron	Battle_IND_Magic_Brazen_Cauldron_Conjure	1000.0000	70.0000	true
wh2_main_ability_sky_cauldron	Battle_IND_Magic_Sky_Cauldron_Conjure	1000.0000	70.0000	true
wh2_main_ability_soul_rain	Battle_IND_Magic_Soul_Rain_Conjure	1000.0000	70.0000	true
wh2_main_ability_soul_storm	Battle_IND_Magic_Soul_Storm_Conjure	1000.0000	70.0000	true
wh2_main_ability_soul_torrent	Battle_IND_Magic_Soul_Torrent_Conjure	1000.0000	70.0000	true
wh3_dlc23_ability_doom_of_hashut	IND_Magic_CHD_Doom_of_Hashut_Start_Play	500.0000	70.0000	false
wh3_dlc23_ability_flame_and_shadow	IND_Magic_CHD_Flame_and_Shadow_Launch_Play	500.0000	70.0000	false
wh3_main_army_abilities_bolt_of_change	IND_Magic_Tzeentch_Bolt_Of_Change_Start	1000.0000	70.0000	true
wh3_main_army_abilities_celestial_intervention	IND_Magic_Cathay_Celestial_Intervention_Start	1000.0000	70.0000	true
wh3_main_army_abilities_storm_of_fire	IND_Magic_Tzeentch_Storm_of_Fire_Start	1000.0000	70.0000	true
wh3_main_spell_lord_of_the_storm	Battle_IND_Magic_WH3_Ability_Lord_of_the_Storm_Conjure	800.0000	70.0000	true
wh3_main_spell_slaanesh_slicing_shards	IND_Magic_Slaanesh_Slicing_Shards_Portal_Start	500.0000	70.0000	true
wh3_main_spell_tempest_hailstorm	IND_MAGIC_Tempest_Hailstorm_Launch	1000.0000	70.0000	true
wh3_main_spell_thorsens_thunderstorm	Battle_IND_Magic_Heavens_Thorsens_Thunderstorm_Conjure_Oneshot	1000.0000	70.0000	true
wh3_main_unit_abilities_sky_junk_bomb	IND_Magic_Cathay_Sky_Junk_Bomb_Start	350.0000	0.0000	true
wh3_twa07_spell_bound_call_of_tor	IND_Magic_TWA07_Call_Of_Tor_Conjure	800.0000	70.0000	true
wh3_twa07_unit_abilities_searing_torrent	IND_Magic_TWA07_Searing_Torrent_Launch	1000.0000	70.0000	true
wh_dlc05_ability_the_bow_of_loren_bombardment	Battle_IND_Magic_The_Bow_Of_Loren_Conjure_Oneshot	1000.0000	70.0000	true
wh_dlc07_ability_chalice_of_potions	Battle_IND_Magic_Bretonnia_Chalice_of_Potions_Conjure	1000.0000	70.0000	true
wh_dlc08_ability_lightening_down	Battle_IND_Magic_Ability_Lightning_Down_Conjure	1000.0000	70.0000	true
wh_main_spell_dark_magic_doombolt	Battle_IND_Magic_Dark_Doombolt_Conjure	1000.0000	70.0000	true
wh_main_spell_fire_grand_soulfire	Battle_IND_Magic_Fire_Grand_Soulfire_Conjure_Oneshot	800.0000	70.0000	true
wh_main_spell_fire_piercing_bolts_of_burning	Battle_IND_Magic_Fire_Piercing_Bolts_of_Burning_Conjure_Start_NEW	800.0000	70.0000	true
wh_main_spell_heavens_comet_of_casandora	Battle_IND_Magic_Heavens_Comet_Conjure	1000.0000	70.0000	true
wh_main_spell_heavens_urannons_thunderbolt	Battle_IND_Magic_Heavens_Urannons_Thunderbolt_Conjure_Oneshot	1000.0000	70.0000	true
wh_main_spell_metal_searing_doom	Battle_IND_Magic_Metal_Searing_Doom_Conjure_Oneshot	800.0000	70.0000	true
wh_main_spell_ruin_warp_lightning	Battle_IND_Magic_Ruin_Warp_Lightning_Conjure	1000.0000	70.0000	true
