key	actor_switch	number_of_actors
#audio_entity_actors_tables;0;db/audio_entity_actors_tables/data__		
wh2_def_elf_female_default	Generic_Actor_Elf_Female_Dark_Default	14
wh2_def_elf_male_default	Generic_Actor_Elf_Male_Dark_Default	10
wh2_dlc11_cst_damned_knights	Generic_Actor_Damned_Knights	5
wh2_dlc11_cst_syreens	Generic_Actor_Syreens	3
wh2_dlc11_cst_zombie	Generic_Actor_cst_zombie	4
wh2_dlc11_depth_guard	Generic_Actor_Depth_Guard	3
wh2_dlc13_huntsman_male	Generic_Actor_Huntsman_Default	2
wh2_dlc14_Skaven_Master_Assassin_LORD	Generic_Actor_SKV_Master_Assassin_Default	2
wh2_dlc14_medusa	Generic_Actor_DEF_Bloodwrack_Medusa	2
wh2_dlc15_Hef_Arch_Mage	Generic_Actor_Elf_Female_High_Arch_Mage	2
wh2_dlc15_Snotling	Generic_Actor_Snotling_Pumpwagon	4
wh2_dlc15_troll_hag	Generic_Actor_River_Troll_Hag	2
wh2_dlc16_Great_Stag_Knights_ROR	Generic_Actor_Elf_Male_WoodElves_Great_Stag_Knights	2
wh2_dlc16_skaven_chieftan	Generic_Actor_Skaven_Chieftan	2
wh2_dlc16_skaven_packmaster	Generic_Actor_Skaven_Packmaster	2
wh2_dlc16_wef_glade_captain	Generic_Actor_Elf_Female_WoodElves_Glade_Captain	2
wh2_dlc16_wef_spellweaver	Generic_Actor_Elf_Female_WoodElves_Spellweaver	2
wh2_dlc17_bst_doombull	Generic_Actor_Doombull	2
wh2_dlc17_bst_wargor	Generic_Actor_Wargor	2
wh2_dlc17_chameleon_stalkers	Generic_Actor_Chameleon_Stalkers	5
wh2_dlc17_skink_oracle	Generic_Actor_Skink_Oracle	2
wh2_dlc_cst_animated_hulk	Generic_Actor_Animated_Hulk	3
wh2_dlc_tmb_liche_priest	Generic_Actor_tmb_Liche_Priest	2
wh2_dlc_tmb_necrotect	Generic_Actor_tmb_Necrotect	2
wh2_dlc_tmb_tomb_king	Generic_Actor_tmb_Tomb_King	2
wh2_dlc_tmb_tomb_prince	Generic_Actor_tmb_Tomb_Prince	2
wh2_hef_elf_female_default	Generic_Actor_Elf_Female_High_Default	11
wh2_hef_elf_male_default	Generic_Actor_Elf_Male_High_Default	13
wh2_rat_ogre	Generic_Actor_Rat_Ogre	3
wh2_saurus	Generic_Actor_Saurus	2
wh2_skaven	Generic_Actor_Skaven	7
wh2_skaven_assassin	Generic_Actor_Skaven_Assassin	2
wh2_skaven_grey_seer	Generic_Actor_Skaven_Grey_Seer	2
wh2_skaven_plague_priests	Generic_Actor_Skaven_Plague_Priests	2
wh2_skaven_sorcerer	Generic_Actor_Skaven_Sorcerer	2
wh2_skaven_warlock	Generic_Actor_Skaven_Warlock	2
wh2_skaven_warlord	Generic_Actor_Skaven_Warlord	2
wh2_skinks	Generic_Actor_Skinks	7
wh2_slann	Generic_Actor_Slann	2
wh2_tmb_ushabti	Generic_Actor_Ushabti	5
wh2_twa04_bst_Great_Bray_Shaman	Generic_Actor_Great_Bray_Shaman	2
wh2_twa05_ogre_mercs	Generic_Actor_Ogre_Unit	5
wh3_cth_alchemist	Generic_Actor_Cathay_Alchemist	2
wh3_cth_astromancer	Generic_Actor_Cathay_Astromancer	2
wh3_cth_human_female	Generic_Actor_Human_Female_Cathay	6
wh3_cth_human_male	Generic_Actor_Human_Male_Cathay	5
wh3_cth_lord_magistrate	Generic_Actor_Cathay_Lord_Magistrate	2
wh3_cth_shugengan_lord	Generic_Actor_Cathay_Shugengan_Lord	2
wh3_dlc20_kho_chaos_exalted_hero	Generic_Actor_dlc20_Champions_Exalted_Hero_of_Khorne	2
wh3_dlc20_kho_chaos_lord	Generic_Actor_dlc20_Champions_Lord_of_Khorne	2
wh3_dlc20_nur_chaos_exalted_hero	Generic_Actor_dlc20_Champions_Exalted_Hero_of_Nurgle	2
wh3_dlc20_nur_chaos_sorcerer_lord	Generic_Actor_dlc20_Champions_Lord_of_Nurgle	2
wh3_dlc20_sla_chaos_lord	Generic_Actor_dlc20_Champions_Lord_of_Slaanesh	2
wh3_dlc20_sla_chaos_sorcerer_LH	Generic_Actor_dlc20_Champions_Sorcerer_of_Slaanesh	2
wh3_dlc20_tze_chaos_sorcerer	Generic_Actor_dlc20_Champions_Sorcerer_of_Tzeentch	2
wh3_dlc20_tze_chaos_sorcerer_lord	Generic_Actor_dlc20_Champions_Lord_of_Tzeentch	2
wh3_dlc21_cst_shadewraith_gunners	Generic_Actor_dlc21_Shadewraith_Gunners	3
wh3_dlc23_chd_bull_centaur	Generic_Actor_Chaos_Dwarf_Bull_Centaur	3
wh3_dlc23_chd_bull_centaur_taurruk	Generic_Actor_Chaos_Dwarf_Bull_Centaur_Taurruk	2
wh3_dlc23_chd_daemonsmith	Generic_Actor_Chaos_Dwarf_Daemonsmith	2
wh3_dlc23_chd_hobgoblin	Generic_Actor_Chaos_Dwarf_Hobgoblin	4
wh3_dlc23_chd_infernal_castellan	Generic_Actor_Chaos_Dwarf_Infernal_Castellan	2
wh3_dlc23_chd_overseer	Generic_Actor_Chaos_Dwarf_Overseer	2
wh3_dlc23_chd_sorcerer_prophet	Generic_Actor_Chaos_Dwarf_Sorcerer_Prophet	2
wh3_dlc23_chd_unit	Generic_Actor_Chaos_Dwarf_Unit	8
wh3_dlc25_nur_plagueogres	Generic_Actor_Nurgle_Plagueogre	2
wh3_dlc26_kho_mnt_fleshhound	Generic_Actor_Khorne_Fleshhound	2
wh3_dlc26_kho_skullreaper_units	Generic_Actor_Khorne_Skullreapers	3
wh3_dlc26_kho_wrathmonger_units	Generic_Actor_Khorne_Wrathmongers	3
