faction_key	unit_key
#faction_rebellion_units_junctions_tables;0;db/faction_rebellion_units_junctions_tables/data__	
wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_art_reaper_bolt_thrower
wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_inf_black_ark_corsairs_0
wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_inf_black_ark_corsairs_1
wh2_dlc09_rogue_black_creek_raiders	wh_main_nor_cav_marauder_horsemen_0
wh2_dlc09_rogue_black_creek_raiders	wh_main_nor_inf_chaos_marauders_1
wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_inf_bestigor_herd_0
wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_inf_centigors_0
wh2_dlc09_rogue_dwellers_of_zardok	wh_main_grn_cav_forest_goblin_spider_riders_0
wh2_dlc09_rogue_dwellers_of_zardok	wh_main_grn_cav_forest_goblin_spider_riders_1
wh2_dlc09_rogue_dwellers_of_zardok	wh_main_grn_inf_night_goblin_archers
wh2_dlc09_rogue_dwellers_of_zardok	wh_main_grn_inf_night_goblins
wh2_dlc09_rogue_eyes_of_the_jungle	wh2_main_def_inf_shades_2
wh2_dlc09_rogue_eyes_of_the_jungle	wh_dlc05_wef_inf_waywatchers_0
wh2_dlc09_rogue_eyes_of_the_jungle	wh_dlc05_wef_inf_wildwood_rangers_0
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_dlc04_emp_cav_knights_blazing_sun_0
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_dlc07_brt_inf_battle_pilgrims_0
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_dlc07_brt_inf_foot_squires_0
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_brt_inf_men_at_arms
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_emp_art_mortar
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_emp_inf_crossbowmen
wh2_dlc09_skv_clan_rictus	wh2_main_skv_art_plagueclaw_catapult
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_clanrat_spearmen_0
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_clanrat_spearmen_1
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_clanrats_0
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_clanrats_1
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_gutter_runner_slingers_0
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_gutter_runner_slingers_1
wh2_dlc09_skv_clan_rictus	wh2_main_skv_inf_gutter_runners_0
