building_level	grid_x	grid_y
#building_level_ui_position_override_junctions_tables;0;db/building_level_ui_position_override_junctions_tables/data__		
wh3_main_nur_1_1	8	18
wh3_main_nur_1_2	0	12
wh3_main_nur_1_3	0	6
wh3_main_nur_1_4	8	0
wh3_main_nur_1_5	16	6
wh3_main_nur_1_6	16	12
wh3_main_nur_2_1	8	18
wh3_main_nur_2_2	0	12
wh3_main_nur_2_3	0	6
wh3_main_nur_2_4	8	0
wh3_main_nur_2_5	16	6
wh3_main_nur_2_6	16	12
wh3_main_nur_3_1	8	18
wh3_main_nur_3_2	0	12
wh3_main_nur_3_3	0	6
wh3_main_nur_3_4	8	0
wh3_main_nur_3_5	16	6
wh3_main_nur_3_6	16	12
wh3_main_nur_4_1	8	18
wh3_main_nur_4_2	0	12
wh3_main_nur_4_3	0	6
wh3_main_nur_4_4	8	0
wh3_main_nur_4_5	16	6
wh3_main_nur_4_6	16	12
wh3_main_nur_4_7	24	12
wh3_main_nur_4_8	18	18
wh3_main_nur_5_1	8	18
wh3_main_nur_5_2	0	12
wh3_main_nur_5_3	0	6
wh3_main_nur_5_4	8	0
wh3_main_nur_5_5	16	6
wh3_main_nur_5_6	16	12
wh3_main_nur_5_7	24	12
wh3_main_nur_5_8	18	18
