key	display_path	model_file	logic_file
#models_sieges_tables;4;db/models_sieges_tables/data__			
brt_batteringram		rigidmodels\buildings\brt_batteringram\brt_batteringram_tech.cs2.parsed	rigidmodels\buildings\brt_batteringram\brt_batteringram_tech.cs2.collision
brt_siege_tower_15m		rigidmodels\buildings\brt_siege_tower_15m\brt_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\brt_siege_tower_15m\brt_siege_tower_15m_tech.cs2.collision
bst_batteringram		rigidmodels\buildings\bst_batteringram\bst_batteringram_tech.cs2.parsed	rigidmodels\buildings\bst_batteringram\bst_batteringram_tech.cs2.collision
bst_siege_tower_15m		rigidmodels\buildings\bst_siege_tower_15m\bst_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\bst_siege_tower_15m\bst_siege_tower_15m_tech.cs2.collision
chs_batteringram		rigidmodels\buildings\chs_batteringram\chs_batteringram_tech.cs2.parsed	rigidmodels\buildings\chs_batteringram\chs_batteringram_tech.cs2.collision
chs_siege_tower_15m		rigidmodels\buildings\chs_siege_tower_15m\chs_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\chs_siege_tower_15m\chs_siege_tower_15m_tech.cs2.collision
cst_batteringram		rigidmodels\buildings\cst_batteringram\cst_batteringram_tech.cs2.parsed	rigidmodels\buildings\cst_batteringram\cst_batteringram_tech.cs2.collision
cst_siege_tower_15m		rigidmodels\buildings\cst_siege_tower_15m\cst_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\cst_siege_tower_15m\cst_siege_tower_15m_tech.cs2.collision
cth_batteringram		rigidmodels\buildings\cth_batteringram\cth_batteringram_tech.cs2.parsed	rigidmodels\buildings\cth_batteringram\cth_batteringram_tech.cs2.collision
cth_siege_tower_15m		rigidmodels\buildings\cth_siege_tower_15m\cth_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\cth_siege_tower_15m\cth_siege_tower_15m_tech.cs2.collision
def_batteringram		rigidmodels\buildings\def_batteringram\def_batteringram_tech.cs2.parsed	rigidmodels\buildings\def_batteringram\def_batteringram_tech.cs2.collision
def_siege_tower_15m		rigidmodels\buildings\def_siege_tower_15m\def_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\def_siege_tower_15m\def_siege_tower_15m_tech.cs2.collision
dwf_batteringram		rigidmodels\buildings\dwf_batteringram\dwf_batteringram_tech.cs2.parsed	rigidmodels\buildings\dwf_batteringram\dwf_batteringram_tech.cs2.collision
dwf_siege_tower_15m		rigidmodels\buildings\dwf_siege_tower_15m\dwf_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\dwf_siege_tower_15m\dwf_siege_tower_15m_tech.cs2.collision
dwf_siege_tower_statue_15m		rigidmodels\buildings\dwf_siege_tower_statue_15m\dwf_siege_tower_statue_15m_tech.cs2.parsed	rigidmodels\buildings\dwf_siege_tower_statue_15m\dwf_siege_tower_statue_15m_tech.cs2.collision
emp_batteringram		rigidmodels\buildings\emp_batteringram\emp_batteringram_tech.cs2.parsed	rigidmodels\buildings\emp_batteringram\emp_batteringram_tech.cs2.collision
emp_siege_tower_15m		rigidmodels\buildings\emp_siege_tower_15m\emp_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\emp_siege_tower_15m\emp_siege_tower_15m_tech.cs2.collision
grn_batteringram		rigidmodels\buildings\grn_batteringram\grn_batteringram_tech.cs2.parsed	rigidmodels\buildings\grn_batteringram\grn_batteringram_tech.cs2.collision
grn_siege_tower_15m		rigidmodels\buildings\grn_siege_tower_15m\grn_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\grn_siege_tower_15m\grn_siege_tower_15m_tech.cs2.collision
hef_batteringram		rigidmodels\buildings\hef_batteringram\hef_batteringram_tech.cs2.parsed	rigidmodels\buildings\hef_batteringram\hef_batteringram_tech.cs2.collision
hef_siege_tower_15m		rigidmodels\buildings\hef_siege_tower_15m\hef_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\hef_siege_tower_15m\hef_siege_tower_15m_tech.cs2.collision
kho_batteringram		rigidmodels\buildings\kho_batteringram\kho_batteringram_tech.cs2.parsed	rigidmodels\buildings\kho_batteringram\kho_batteringram_tech.cs2.collision
kho_siege_tower_15m		rigidmodels\buildings\kho_siege_tower_15m\kho_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\kho_siege_tower_15m\kho_siege_tower_15m_tech.cs2.collision
ksl_batteringram		rigidmodels\buildings\ksl_batteringram\ksl_batteringram_tech.cs2.parsed	rigidmodels\buildings\ksl_batteringram\ksl_batteringram_tech.cs2.collision
ksl_siege_tower_15m		rigidmodels\buildings\ksl_siege_tower_15m\ksl_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\ksl_siege_tower_15m\ksl_siege_tower_15m_tech.cs2.collision
lzd_batteringram		rigidmodels\buildings\lzd_batteringram\lzd_batteringram_tech.cs2.parsed	rigidmodels\buildings\lzd_batteringram\lzd_batteringram_tech.cs2.collision
lzd_siege_tower_15m		rigidmodels\buildings\lzd_siege_tower_15m\lzd_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\lzd_siege_tower_15m\lzd_siege_tower_15m_tech.cs2.collision
nor_batteringram		rigidmodels\buildings\nor_batteringram\nor_batteringram_tech.cs2.parsed	rigidmodels\buildings\nor_batteringram\nor_batteringram_tech.cs2.collision
nor_siege_tower_15m		rigidmodels\buildings\nor_siege_tower_15m\nor_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\nor_siege_tower_15m\nor_siege_tower_15m_tech.cs2.collision
nur_batteringram		rigidmodels\buildings\nur_batteringram\nur_batteringram_tech.cs2.parsed	rigidmodels\buildings\nur_batteringram\nur_batteringram_tech.cs2.collision
nur_siege_tower_15m		rigidmodels\buildings\nur_siege_tower_15m\nur_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\nur_siege_tower_15m\nur_siege_tower_15m_tech.cs2.collision
nur_siege_tower_15m_test		rigidmodels\buildings\nur_siege_tower_15m_test\nur_siege_tower_15m_test_tech.cs2.parsed	rigidmodels\buildings\nur_siege_tower_15m_test\nur_siege_tower_15m_test_tech.cs2.collision
skv_batteringram		rigidmodels\buildings\skv_batteringram\skv_batteringram_tech.cs2.parsed	rigidmodels\buildings\skv_batteringram\skv_batteringram_tech.cs2.collision
skv_siege_tower_15m		rigidmodels\buildings\skv_siege_tower_15m\skv_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\skv_siege_tower_15m\skv_siege_tower_15m_tech.cs2.collision
sla_batteringram		rigidmodels\buildings\sla_batteringram\sla_batteringram_tech.cs2.parsed	rigidmodels\buildings\sla_batteringram\sla_batteringram_tech.cs2.collision
sla_siege_tower_15m		rigidmodels\buildings\sla_siege_tower_15m\sla_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\sla_siege_tower_15m\sla_siege_tower_15m_tech.cs2.collision
tmb_batteringram		rigidmodels\buildings\tmb_batteringram\tmb_batteringram_tech.cs2.parsed	rigidmodels\buildings\tmb_batteringram\tmb_batteringram_tech.cs2.collision
tmb_siege_tower_15m		rigidmodels\buildings\tmb_siege_tower_15m\tmb_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\tmb_siege_tower_15m\tmb_siege_tower_15m_tech.cs2.collision
tze_batteringram		rigidmodels\buildings\tze_batteringram\tze_batteringram_tech.cs2.parsed	rigidmodels\buildings\tze_batteringram\tze_batteringram_tech.cs2.collision
tze_siege_tower_15m		rigidmodels\buildings\tze_siege_tower_15m\tze_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\tze_siege_tower_15m\tze_siege_tower_15m_tech.cs2.collision
vmp_batteringram		rigidmodels\buildings\vmp_batteringram\vmp_batteringram_tech.cs2.parsed	rigidmodels\buildings\vmp_batteringram\vmp_batteringram_tech.cs2.collision
vmp_siege_tower_15m		rigidmodels\buildings\vmp_siege_tower_15m\vmp_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\vmp_siege_tower_15m\vmp_siege_tower_15m_tech.cs2.collision
wef_batteringram		rigidmodels\buildings\wef_batteringram\wef_batteringram_tech.cs2.parsed	rigidmodels\buildings\wef_batteringram\wef_batteringram_tech.cs2.collision
wef_siege_tower_15m		rigidmodels\buildings\wef_siege_tower_15m\wef_siege_tower_15m_tech.cs2.parsed	rigidmodels\buildings\wef_siege_tower_15m\wef_siege_tower_15m_tech.cs2.collision
