key	agent_subtype	factorial_effect	value	scope
#campaign_agent_subtype_factorial_effect_junctions_tables;0;db/campaign_agent_subtype_factorial_effect_junctions_tables/data__				
100021222	wh3_main_pro_ksl_cha_yuri_0_2	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1000871814	wh_main_chs_exalted_hero	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1004476390	wh2_main_skv_plague_priest	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1006088067	wh3_main_pro_ksl_yuri_4	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1029362849	wh_dlc05_vmp_vampire_shadow	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1045838541	wh3_main_nur_cultist	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1055917701	wh_dlc07_brt_damsel_beasts	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1068246137	wh2_main_skv_plague_priest_ritual	skaven_discoverability_characters	-10	EFS_ONLY_OWNER
1072441249	wh2_main_hef_loremaster_of_hoeth	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
107871358	wh2_dlc13_emp_hunter_jorek_grimm	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1086264365	wh3_main_pro_ksl_cha_yuri_0_3	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1086582796	wh2_dlc14_skv_eshin_sorcerer	skaven_discoverability_characters	-10	EFS_ONLY_OWNER
1101179899	wh_dlc05_wef_spellsinger_life	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1113484292	wh2_dlc17_dwf_thane_ghost_artifact	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1129155927	wh2_pro08_neu_felix	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1136542401	wh2_main_skv_assassin	skaven_discoverability_characters	-10	EFS_ONLY_OWNER
1147661710	wh2_dlc17_lzd_skink_oracle_troglodon	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
115288842	wh2_dlc10_def_mon_war_hydra_boss	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1159692931	wh3_dlc24_tze_blue_scribes	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1160955071	wh3_main_nur_plagueridden_nurgle	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1170369970	wh3_dlc23_chd_gorduz_backstabber	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1182921179	wh3_demo_nur_exalted_great_unclean_one_nurgle	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1189420059	wh3_dlc23_chd_daemonsmith_sorcerer_death	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1191173940	wh3_prologue_apostles_of_change_chaos_knights	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1194931271	wh2_dlc09_tmb_liche_priest_light	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1195552204	wh2_main_def_black_ark_blessed_dread	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1204883061	wh_main_grn_night_goblin_shaman	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1224999831	wh2_dlc16_skv_ghoritch_boss	skaven_discoverability_characters	-10	EFS_ONLY_OWNER
124627227	wh3_dlc20_chs_exalted_hero_mkho	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1254450116	wh2_dlc09_tmb_necrotect	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
127231316	wh3_dlc23_chd_daemonsmith_sorcerer_hashut	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1274253385	wh2_dlc16_wef_malicious_branchwraith_shadows	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1288069822	wh3_dlc20_chs_sorcerer_shadows_msla	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1304174262	wh_main_teb_captain	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1313026788	wh3_main_ogr_firebelly	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
132103082	wh3_main_pro_tze_cultist	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1327148329	wh_dlc01_nor_sorcerer_lord_metal	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1329667336	wh_dlc06_dwf_thane_ghost_2	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1333661251	wh2_twa02_wef_glade_captain	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1344741596	wh3_main_dae_daemon_prince_tzeentch_fe	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1344743874	wh2_main_lzd_saurus_scar_veteran	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1346860437	wh_dlc03_bst_gorebull	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1365950549	wh3_dlc24_ksl_hag_witch_shadows	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
137260916	wh_main_chs_chaos_sorcerer_metal	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1372959276	wh3_main_tze_iridescent_horror_tzeentch	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
137555859	wh3_main_pro_ksl_patriarch	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1382367654	wh_dlc05_wef_spellsinger_shadow	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1382634252	wh3_main_tze_iridescent_horror_metal	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1403479239	wh_dlc08_nor_shaman_sorcerer_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
141071399	wh3_dlc23_chd_daemonsmith_sorcerer_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1414113658	wh2_main_def_sorceress_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
142173110	wh2_dlc14_def_malus_darkblade_mp	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1431351252	wh_main_brt_paladin	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1433065795	wh_main_emp_warrior_priest	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1436709658	wh2_main_hef_mage_life	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1448130700	wh3_dlc20_chs_sorcerer_metal_mtze	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
146217092	wh2_dlc10_skv_mon_hell_pit_abomination_boss	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
146704756	wh2_pro07_emp_amethyst_wizard	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1475376209	wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1475750621	wh3_main_pro_ksl_gerik_0	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
148840857	wh2_dlc10_def_sorceress_beasts	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1499292713	wh3_demo_kho_cha_exalted_bloodthirster	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1500350475	wh2_main_def_sorceress_dark	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1504002022	wh3_dlc24_tze_aekold_helbrass	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1514464667	wh2_main_def_khainite_assassin	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1514946094	wh3_main_cth_astromancer	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1532501712	wh_dlc05_emp_jade_wizard	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1538482685	wh2_dlc16_wef_coeddil	skaven_discoverability_characters	25	EFS_ONLY_OTHERS
1539129683	wh_main_dwf_thane	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1540437844	wh3_main_sla_alluress_slaanesh	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1558730518	wh2_dlc12_lzd_lord_kroak	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1570642051	wh2_dlc11_cst_gunnery_wight	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
159651841	wh2_dlc09_tmb_liche_priest_shadow	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1613124988	wh2_dlc13_emp_hunter_rodrik_l_anguille	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
161732754	wh_dlc06_dwf_runesmith_ghost	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1623063399	wh3_main_ogr_butcher_beasts	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1637083095	wh2_dlc12_lzd_tlaqua_skink_priest_heavens	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1643367766	wh3_dlc20_chs_sorcerer_slaanesh_msla	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1650433224	wh2_dlc15_grn_river_troll_hag	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1651582678	wh3_main_ogr_hunter	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
165605771	wh2_dlc10_hef_mage_heavens	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1681174807	wh_dlc07_brt_green_knight	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
168879537	wh2_dlc15_hef_mage_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
168887388	wh2_main_hef_mage_light	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1700698076	wh3_main_pro_ksl_cha_yuri_0_1	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
170714487	wh2_dlc16_wef_ariel	skaven_discoverability_characters	25	EFS_ONLY_OTHERS
1708160238	wh_dlc08_nor_fimir_balefiend_shadow	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1711553688	wh_main_emp_witch_hunter	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
1717734551	wh_main_grn_orc_shaman	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
