key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	rebel_colour_r	rebel_colour_g	rebel_colour_b	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	card_colour_r	card_colour_g	card_colour_b	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin
#factions_tables;6;db/factions_tables/data__																																																												
wh2_dlc09_rogue_black_creek_raiders	1609425778	wh2_main_rogue		names_def_dark_elves	wh2_main_rogue_armies	wh2_main_rogue_armies	false	ui\flags\wh2_dlc09_rogue_black_creek_raiders	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_rogue_black_creek_raiders	0	names_def_dark_elves	names_def_dark_elves	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_main_vo_culture_Dark_Elves	default	def				false	WH_Dark_Elves	MIGRATORY_HORDE	wh2_main_vo_actor_Dark_Elves_Dreadlord		all	false	262626	DDDDDD	800101	262626	DDDDDD	800000	800000	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_sigvald_burgundy
wh2_dlc09_rogue_dwellers_of_zardok	293838783	wh2_main_rogue_chaos		names_bst_beastmen	wh2_main_rogue_armies	wh2_main_rogue_armies	false	ui\flags\wh2_dlc09_rogue_dwellers_of_zardok	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_rogue_dwellers_of_zardok	0	names_chs_chaos	names_chs_chaos	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh_main_vo_culture_Chaos	default	chs				false	WH_Greenskins	MIGRATORY_HORDE	wh_main_vo_actor_Chaos_Lord		all	false	262626	DDDDDD	800101	262626	DDDDDD	800000	800000	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_khorne_red
wh2_dlc09_rogue_eyes_of_the_jungle	576163480	wh2_main_rogue		names_wef_wood_elves	wh2_main_rogue_armies	wh2_main_rogue_armies	false	ui\flags\wh2_dlc09_rogue_eyes_of_the_jungle	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_rogue_eyes_of_the_jungle	0	names_wef_wood_elves	names_wef_wood_elves	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh_dlc05_vo_culture_Wood_Elves	default	wef				false	WH_Wood_Elves	MIGRATORY_HORDE	wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord		all	false	262626	DDDDDD	800101	262626	DDDDDD	800000	800000	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
wh2_dlc09_rogue_pilgrims_of_myrmidia	1534316770	wh2_main_rogue		names_brt_bretonnia	wh2_main_rogue_armies	wh2_main_rogue_armies	false	ui\flags\wh2_dlc09_rogue_pilgrims_of_myrmidia	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_rogue_pilgrims_of_myrmidia	0	names_brt_bretonnia	names_brt_bretonnia	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh_main_vo_culture_Bretonnian	default	brt				false	WH_Bretonnia	MIGRATORY_HORDE	wh_main_vo_actor_Empire_General		all	false	262626	DDDDDD	800101	262626	DDDDDD	800000	800000	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky
wh2_dlc09_skv_clan_rictus	288685472	wh2_main_sc_skv_skaven		names_skv_skaven	wh2_main_skv_skaven	wh2_main_skv_skaven	false	ui\flags\wh2_dlc09_skv_clan_rictus	167.0000	161.0000	142.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_main_skv	0	names_skv_skaven	names_skv_skaven	FACTION_ODA	0.0000	0.0000	0.0000	wh2_main_vo_culture_Skaven	wh_mp_force_gen_skaven	skv				false	WH_Skaven	LOCKED_STANDARD	wh2_main_vo_actor_Skaven_Warlord		all	false	A7A18E	913C0B	808080	A7A18E	913C0B	000000	A7A18E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow
wh2_dlc09_skv_clan_rictus_separatists	1097951697	wh2_main_sc_skv_skaven		names_skv_skaven	wh2_main_skv_skaven	wh2_main_skv_skaven	false	ui\flags\wh2_dlc09_skv_clan_rictus_separatists	91.0000	91.0000	91.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_main_skv	0	names_skv_skaven	names_skv_skaven	FACTION_ODA	0.0000	0.0000	0.0000	wh2_main_vo_culture_Skaven	wh_mp_force_gen_skaven	skv				false	WH_Skaven	LOCKED_STANDARD	wh2_main_vo_actor_Skaven_Warlord		all	false	89AE2C	A80101	869271	9C9C9C	606060	000000	5B5B5B	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow
wh2_dlc09_tmb_dune_kingdoms	2110723476	wh2_dlc09_sc_tmb_tomb_kings		names_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	false	ui\flags\wh2_dlc09_tmb_dune_kingdoms	70.0000	151.0000	144.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_tomb_kings	0	names_tmb_tomb_kings	names_tmb_tomb_kings	FACTION_ODA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	wh_mp_force_gen_tomb_kings	tmb				false	WH_Tomb_Kings	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		all	false	459188	E2AC00	000000	005850	DFA700	000000	469790	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky
wh2_dlc09_tmb_exiles_of_nehek	1502167888	wh2_dlc09_sc_tmb_tomb_kings		names_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	false	ui\flags\wh2_dlc09_tmb_exiles_of_nehek	184.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_tomb_kings	0	names_tmb_tomb_kings	names_tmb_tomb_kings	FACTION_ODA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	wh_mp_force_gen_tomb_kings	tmb				false	WH_Tomb_Kings	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		all	false	DDD9C4	C00000	000000	C8C3B2	B80101	BA8415	B80101	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky
wh2_dlc09_tmb_followers_of_nagash	1074363626	wh2_dlc09_sc_tmb_tomb_kings		names_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	false	ui\flags\wh2_dlc09_tmb_followers_of_nagash	218.0000	201.0000	47.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	wh2_dlc09_tomb_kings_arkhan	0	names_tmb_tomb_kings	names_tmb_tomb_kings	FACTION_ODA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	wh_mp_force_gen_tomb_kings	tmb				false	WH_Tomb_Kings	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		all	false	E2AC00	262626	000000	DAC92F	35332D	000000	DAC92F	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky
