character	frontend_group
#battle_set_piece_frontend_groups_to_characters_tables;0;db/battle_set_piece_frontend_groups_to_characters_tables/data__	
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_player	wh2_dlc09_skv_tretch
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_defender_arkhan	wh2_dlc09_tmb_arkhan
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3_mortuary_of_tzulaqua_defender_arkhan	wh2_dlc09_tmb_arkhan
wh2_dlc09_qb_tmb_final_battle_arkhan_player	wh2_dlc09_tmb_arkhan
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_tmb_khalida
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_tmb_khalida
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_tmb_khatep
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_tmb_khatep
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_tmb_settra
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker_01	wh2_dlc09_tmb_settra
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	wh2_dlc09_tmb_settra
wh2_dlc09_cha_arkhan_0	wh2_dlc10_def_hellebron
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness_defender_crone_hellebron_01	wh2_dlc10_def_hellebron
wh2_dlc10_qb_hef_cha_alarielle	wh2_dlc10_hef_alarielle
wh2_dlc10_qb_hef_alith_anar_the_moon_bow_stage_4_alith_anar	wh2_dlc10_hef_alith_anar
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane_player	wh2_dlc11_cst_aranessa_saltspite
wh2_dlc11_qb_cst_cylostra_shifting_isles	wh2_dlc11_cst_cylostra
wh2_dlc11_cst_qb_noctilus_general	wh2_dlc11_cst_noctilus
wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken_defender	wh2_dlc11_def_lokhir
wh2_dlc11_qb_cst_harkon_quest_for_slann_gold	wh2_dlc11_luthor_harkon
wh2_dlc12_lzd_lord_kroak_tehenhauin_01	wh2_dlc12_lzd_tehenhauin
wh2_dlc12_qb_lzd_tehenhauin_plaque_of_sotek_tehenhauin	wh2_dlc12_lzd_tehenhauin
wh2_dlc12_lzd_lord_kroak_tiktaqto	wh2_dlc12_lzd_tiktaqto
wh2_dlc12_qb_lzd_tiktaqto_mask_of_heavens_player	wh2_dlc12_lzd_tiktaqto
wh2_dlc12_skv_cha_ikit_claw_qb	wh2_dlc12_skv_ikit_claw
wh2_dlc13_emp_cha_markus_wulfhart_0_final_battle	wh2_dlc13_emp_wulfhart
wh2_dlc13_emp_wulfhart_amber_bow_stage_4_player_wulfhart	wh2_dlc13_emp_wulfhart
wh2_dlc13_lzd_gorrok_qb	wh2_dlc13_lzd_gorrok
wh2_dlc13_lzd_lord_kroak_nakai	wh2_dlc13_lzd_nakai
wh2_dlc13_lzd_nakai_qb	wh2_dlc13_lzd_nakai
wh2_dlc14_qb_brt_repanse_defend_or_conquer_crusader_repanse	wh2_dlc14_brt_repanse
wh2_dlc14_qb_brt_repanse_defend_or_conquer_guardian_repanse	wh2_dlc14_brt_repanse
wh2_dlc14_qb_brt_repanse_sword_of_lyonesse_repanse	wh2_dlc14_brt_repanse
wh2_dlc14_qb_def_malus_final_battle_def_malus	wh2_dlc14_def_malus
wh2_dlc14_qb_def_malus_warpsword_of_khaine_malus	wh2_dlc14_def_malus
wh2_dlc14_qb_skv_snikch_final_battle_skv_snikch	wh2_dlc14_skv_snikch
wh2_dlc14_qb_skv_snikch_the_cloak_of_shadows_snikch	wh2_dlc14_skv_snikch
wh_dlc15_qb_grn_grom_axe_of_grom_grn_grom	wh2_dlc15_grn_grom
wh_dlc15_qb_grn_grom_final_battle_grn_grom	wh2_dlc15_grn_grom
wh2_dlc15_qb_hef_imrik_armour_of_caledor_imrik	wh2_dlc15_hef_imrik
wh2_dlc15_qb_hef_imrik_dragon_boss_battles_stage_1_player	wh2_dlc15_hef_imrik
wh_dlc16_qb_wef_drycha_coeddil_unchained_drycha	wh2_dlc16_wef_drycha
wh2_dlc17_qb_bst_taurox_rune_tortured_axes_player_taurox	wh2_dlc17_bst_taurox
wh2_dlc17_qb_final_battle_bst_taurox_player	wh2_dlc17_bst_taurox
wh_dlc17_qb_dwf_cha_thorek_klad_brakak_dwf_thorek	wh2_dlc17_dwf_thorek
wh_dlc17_qb_dwf_cha_thorek_lost_vault_dwf_thorek	wh2_dlc17_dwf_thorek
wh2_dlc17_lzd_lord_kroak_oxyotl	wh2_dlc17_lzd_oxyotl
wh2_dlc17_qb_final_battle_lzd_oxyotl_player	wh2_dlc17_lzd_oxyotl
wh2_dlc17_qb_lzd_oxyotl_the_golden_blowpipe_of_ptoohee_player_oxyotl	wh2_dlc17_lzd_oxyotl
wh2_dlc17_qb_lzd_oxyotl_the_golden_blowpipe_of_ptoohee_player_oxyotl_stage_4b	wh2_dlc17_lzd_oxyotl
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	wh2_main_def_malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_def_malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_malekith	wh2_main_def_malekith
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_morathi	wh2_main_def_morathi
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_teclis	wh2_main_hef_teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_teclis	wh2_main_hef_teclis
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_tyrion	wh2_main_hef_tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_attacker_tyrion	wh2_main_hef_tyrion
wh2_dlc12_lzd_lord_kroak_kroqgar	wh2_main_lzd_kroq_gar
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker	wh2_main_lzd_kroq_gar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_kroqgar	wh2_main_lzd_kroq_gar
wh2_dlc12_lzd_lord_kroak_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_attacker_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_lord_skrolk	wh2_main_skv_lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_defender_lord_skrolk	wh2_main_skv_lord_skrolk
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_queek	wh2_main_skv_queek_headtaker
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_queek	wh2_main_skv_queek_headtaker
wh2_twa03_qb_def_rakarth_whip_of_agony_player_rakarth	wh2_twa03_def_rakarth
wh3_dlc20_qb_chs_azazel_daemonblade_player_azazel	wh3_dlc20_chs_azazel
wh3_dlc20_survival_chs_altar_of_battle_enemy_azazel	wh3_dlc20_chs_azazel
wh3_dlc20_qb_chs_festus_pestilent_potions_player_festus	wh3_dlc20_chs_festus
wh3_dlc20_survival_chs_altar_of_battle_enemy_festus	wh3_dlc20_chs_festus
wh3_dlc20_qb_chs_valkia_the_spear_slaupnir_player_valkia	wh3_dlc20_chs_valkia
wh3_dlc20_survival_chs_altar_of_battle_enemy_valkia	wh3_dlc20_chs_valkia
wh3_dlc20_qb_chs_vilitch_vessel_of_chaos_player_vilitch	wh3_dlc20_chs_vilitch
wh3_dlc20_survival_chs_altar_of_battle_enemy_vilitch	wh3_dlc20_chs_vilitch
wh3_dlc23_chd_cha_astragoth_ironhand_qb	wh3_dlc23_chd_astragoth
wh3_dlc23_chd_cha_astragoth_ironhand_qb_final_battle	wh3_dlc23_chd_astragoth
wh3_dlc23_qb_chd_astragoth_black_hammer_of_hashut_player_atragoth	wh3_dlc23_chd_astragoth
wh3_dlc23_chd_cha_drazhoath_the_ashen_final_battle	wh3_dlc23_chd_drazhoath
wh3_dlc23_chd_cha_drazhoath_the_ashen_qb	wh3_dlc23_chd_drazhoath
wh3_dlc23_qb_chd_drazhoath_hellshard_amulet_player_drazhoath	wh3_dlc23_chd_drazhoath
wh3_dlc23_chd_cha_zhatan_the_black_qb	wh3_dlc23_chd_zhatan
wh3_dlc23_chd_cha_zhatan_the_black_qb_final_battle	wh3_dlc23_chd_zhatan
wh3_dlc23_qb_chd_zhatan_chaos_runeshield_player_zhatan	wh3_dlc23_chd_zhatan
wh3_main_qb_kho_skarbrand_slaughter_and_carnage_player	wh3_main_kho_skarbrand
wh3_main_qb_ksl_katarin_boris_unlock_player	wh3_main_ksl_katarin
wh3_main_qb_ksl_katarin_crystal_cloak_player	wh3_main_ksl_katarin
wh3_main_qb_ksl_kostaltyn_boris_unlock_player	wh3_main_ksl_kostaltyn
wh3_main_qb_ksl_kostaltyn_burning_brazier_player	wh3_main_ksl_kostaltyn
wh3_main_qb_nrg_kugath_necrotic_missiles_player	wh3_main_nur_kugath
wh3_main_qb_ogr_greasus_overtyrants_crown_player	wh3_main_ogr_greasus
wh3_main_qb_ogr_skrag_cauldron_of_the_great_maw_player	wh3_main_ogr_skrag
wh3_main_qb_sla_nkari_sword_player_01	wh3_main_sla_nkari
wh3_main_qb_tze_kairos_staff_of_tomorrow_player	wh3_main_tze_kairos
wh3_prologue_qa_yuri_barkov_brazen_altar	wh3_prologue_yuri_barkov
wh3_prologue_yuri_barkov_howling_citadel	wh3_prologue_yuri_barkov
wh3_prologue_yuri_barkov_ice_witch_rescue	wh3_prologue_yuri_barkov
