faction_key	sort_order	culture_sort_order
#custom_battle_factions_tables;1;db/custom_battle_factions_tables/data__		
wh2_dlc09_skv_clan_rictus	1	150
wh2_dlc09_tmb_dune_kingdoms	1	170
wh2_dlc09_tmb_exiles_of_nehek	2	170
wh2_dlc09_tmb_followers_of_nagash	3	170
wh2_dlc09_tmb_lybaras	5	170
wh2_dlc09_tmb_numas	6	170
wh2_dlc09_tmb_rakaph_dynasty	7	170
wh2_dlc09_tmb_the_sentinels	8	170
wh2_dlc09_tmb_tomb_kings	0	170
wh2_dlc11_cst_noctilus	2	190
wh2_dlc11_cst_pirates_of_sartosa	3	190
wh2_dlc11_cst_the_drowned	4	190
wh2_dlc11_cst_vampire_coast	0	190
wh2_dlc11_def_the_blessed_dread	1	40
wh2_dlc11_vmp_the_barrow_legion	1	200
wh2_dlc12_grn_leaf_cutterz_tribe	121	70
wh2_dlc12_lzd_cult_of_sotek	3	110
wh2_dlc12_skv_clan_fester	2	150
wh2_dlc12_skv_clan_mange	3	150
wh2_dlc13_emp_golden_order	1	60
wh2_dlc13_emp_the_huntmarshals_expedition	2	60
wh2_dlc13_lzd_defenders_of_the_great_plan	2	110
wh2_dlc13_lzd_spirits_of_the_jungle	4	110
wh2_dlc13_skv_skaven_invasion	4	150
wh2_dlc13_wef_laurelorn_forest	161	220
wh2_dlc14_brt_chevaliers_de_lyonesse	0	10
wh2_dlc14_grn_red_cloud	122	70
wh2_dlc14_skv_rictus_clan_nest	5	150
wh2_dlc15_grn_bonerattlaz	51	70
wh2_dlc15_grn_broken_axe	52	70
wh2_dlc15_hef_imrik	62	80
wh2_dlc16_wef_drycha	143	220
wh2_dlc16_wef_sisters_of_twilight	0	220
wh2_dlc17_bst_malagor	2	0
wh2_dlc17_bst_taurox	0	0
wh2_dlc17_dwf_thorek_ironbrow	33	50
wh2_dlc17_lzd_oxyotl	76	110
wh2_main_brt_knights_of_origo	152	10
wh2_main_brt_knights_of_the_flame	153	10
wh2_main_brt_thegans_crusaders	154	10
wh2_main_bst_blooded_axe	4	0
wh2_main_bst_manblight	6	0
wh2_main_bst_ripper_horn	8	0
wh2_main_bst_shadowgor	9	0
wh2_main_bst_skrinderkin	10	0
wh2_main_bst_stone_horn	11	0
wh2_main_def_bleak_holds	3	40
wh2_main_def_blood_hall_coven	4	40
wh2_main_def_clar_karond	5	40
wh2_main_def_cult_of_excess	6	40
wh2_main_def_cult_of_pleasure	7	40
wh2_main_def_dark_elves	0	40
wh2_main_def_deadwood_sentinels	8	40
wh2_main_def_drackla_coven	9	40
wh2_main_def_ghrond	10	40
wh2_main_def_hag_graef	11	40
wh2_main_def_har_ganeth	12	40
wh2_main_def_karond_kar	13	40
wh2_main_def_naggarond	14	40
wh2_main_def_scourge_of_khaine	15	40
wh2_main_def_ssildra_tor	16	40
wh2_main_def_the_forgebound	17	40
wh2_main_dwf_greybeards_prospectors	112	50
wh2_main_dwf_karak_zorn	113	50
wh2_main_dwf_spine_of_sotek_dwarfs	114	50
wh2_main_grn_arachnos	123	70
wh2_main_hef_avelorn	2	80
wh2_main_hef_caledor	1	80
wh2_main_hef_chrace	3	80
wh2_main_hef_citadel_of_dusk	4	80
wh2_main_hef_cothique	5	80
wh2_main_hef_ellyrion	6	80
wh2_main_hef_fortress_of_dawn	7	80
wh2_main_hef_high_elves	0	80
wh2_main_hef_nagarythe	8	80
wh2_main_hef_order_of_loremasters	9	80
wh2_main_hef_saphery	10	80
wh2_main_hef_tiranoc	11	80
wh2_main_hef_tor_elasor	12	80
wh2_main_hef_yvresse	13	80
wh2_main_lzd_hexoatl	5	110
wh2_main_lzd_itza	6	110
wh2_main_lzd_last_defenders	1	110
wh2_main_lzd_lizardmen	0	110
wh2_main_lzd_sentinels_of_xeti	7	110
wh2_main_lzd_southern_sentinels	8	110
wh2_main_lzd_teotiqua	9	110
wh2_main_lzd_tlaqua	10	110
wh2_main_lzd_tlaxtlan	11	110
wh2_main_lzd_xlanhuapec	12	110
wh2_main_lzd_zlatan	13	110
wh2_main_nor_aghol	141	120
wh2_main_nor_mung	142	120
wh2_main_nor_skeggi	143	120
wh2_main_skv_clan_eshin	6	150
wh2_main_skv_clan_gnaw	7	150
wh2_main_skv_clan_mordkin	8	150
wh2_main_skv_clan_mors	9	150
wh2_main_skv_clan_moulder	10	150
wh2_main_skv_clan_pestilens	11	150
wh2_main_skv_clan_septik	12	150
wh2_main_skv_clan_skryre	13	150
wh2_main_skv_clan_spittel	14	150
