ancillary	required_skill	required_skill_level
#ancillaries_required_skills_tables;0;db/ancillaries_required_skills_tables/data__		
wh2_dlc09_anc_mount_tmb_arkhan_skeletal_steed	wh2_dlc09_skill_tmb_lord_unique_arkhan_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_arkhan_skeleton_chariot	wh2_dlc09_skill_tmb_lord_unique_arkhan_skeleton_chariot	1
wh2_dlc09_anc_mount_tmb_khalida_necroserpent	wh2_dlc09_skill_tmb_lord_unique_khalida_necroserpent	1
wh2_dlc09_anc_mount_tmb_khalida_skeleton_chariot	wh2_dlc09_skill_tmb_lord_unique_khalida_skeleton_chariot	1
wh2_dlc09_anc_mount_tmb_khatep_skeletal_steed	wh2_dlc09_skill_tmb_lord_unique_khatep_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_khatep_skeleton_chariot	wh2_dlc09_skill_tmb_lord_unique_khatep_skeleton_chariot	1
wh2_dlc09_anc_mount_tmb_liche_priest_death_skeletal_steed	wh2_dlc09_skill_tmb_wizard_unique_liche_priest_death_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed	wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_liche_priest_nehekhara_skeletal_steed	wh2_dlc09_skill_tmb_wizard_unique_liche_priest_nehekhara_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_liche_priest_shadow_skeletal_steed	wh2_dlc09_skill_tmb_wizard_unique_liche_priest_shadow_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_necrotect_skeleton_chariot	wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot	1
wh2_dlc09_anc_mount_tmb_settra_chariot_of_the_gods	wh2_dlc09_skill_tmb_lord_unique_settra_chariot_of_the_gods	1
wh2_dlc09_anc_mount_tmb_settra_khemrian_warsphinx	wh2_dlc09_skill_tmb_lord_unique_settra_khemrian_warsphinx	1
wh2_dlc09_anc_mount_tmb_settra_skeletal_steed	wh2_dlc09_skill_tmb_lord_unique_settra_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx	wh2_dlc09_skill_tmb_lord_unique_tomb_king_khemrian_warsphinx	1
wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed	wh2_dlc09_skill_tmb_lord_unique_tomb_king_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot	wh2_dlc09_skill_tmb_lord_unique_tomb_king_skeleton_chariot	1
wh2_dlc09_anc_mount_tmb_tomb_prince_skeletal_steed	wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeletal_steed	1
wh2_dlc09_anc_mount_tmb_tomb_prince_skeleton_chariot	wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeleton_chariot	1
wh2_dlc10_anc_mount_def_crone_cauldron_of_blood	wh2_dlc10_skill_def_crone_mount_cauldron_of_blood	1
wh2_dlc10_anc_mount_def_crone_dark_steed	wh2_dlc10_skill_def_crone_mount_dark_steed	1
wh2_dlc10_anc_mount_def_crone_manticore	wh2_dlc10_skill_def_crone_mount_manticore	1
wh2_dlc10_anc_mount_def_sorceress_beasts_cold_one	wh2_dlc10_skill_def_sorceress_beasts_mount_cold_one	1
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_pegasus	wh2_dlc10_skill_def_sorceress_beasts_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_steed	wh2_dlc10_skill_def_sorceress_beasts_mount_dark_steed	1
wh2_dlc10_anc_mount_def_sorceress_death_cold_one	wh2_dlc10_skill_def_sorceress_death_mount_cold_one	1
wh2_dlc10_anc_mount_def_sorceress_death_dark_pegasus	wh2_dlc10_skill_def_sorceress_death_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_sorceress_death_dark_steed	wh2_dlc10_skill_def_sorceress_death_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_black_dragon	wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_black_dragon	1
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_cold_one	wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_cold_one	1
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_pegasus	wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_steed	wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_manticore	wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_manticore	1
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_black_dragon	wh2_dlc10_skill_def_supreme_sorceress_dark_mount_black_dragon	1
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_cold_one	wh2_dlc10_skill_def_supreme_sorceress_dark_mount_cold_one	1
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_pegasus	wh2_dlc10_skill_def_supreme_sorceress_dark_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_steed	wh2_dlc10_skill_def_supreme_sorceress_dark_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_manticore	wh2_dlc10_skill_def_supreme_sorceress_dark_mount_manticore	1
wh2_dlc10_anc_mount_def_supreme_sorceress_death_black_dragon	wh2_dlc10_skill_def_supreme_sorceress_death_mount_black_dragon	1
wh2_dlc10_anc_mount_def_supreme_sorceress_death_cold_one	wh2_dlc10_skill_def_supreme_sorceress_death_mount_cold_one	1
wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_pegasus	wh2_dlc10_skill_def_supreme_sorceress_death_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_steed	wh2_dlc10_skill_def_supreme_sorceress_death_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_death_manticore	wh2_dlc10_skill_def_supreme_sorceress_death_mount_manticore	1
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_black_dragon	wh2_dlc10_skill_def_supreme_sorceress_fire_mount_black_dragon	1
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_cold_one	wh2_dlc10_skill_def_supreme_sorceress_fire_mount_cold_one	1
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_pegasus	wh2_dlc10_skill_def_supreme_sorceress_fire_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_steed	wh2_dlc10_skill_def_supreme_sorceress_fire_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_manticore	wh2_dlc10_skill_def_supreme_sorceress_fire_mount_manticore	1
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_black_dragon	wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_black_dragon	1
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_cold_one	wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_cold_one	1
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_pegasus	wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_dark_pegasus	1
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_steed	wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_dark_steed	1
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_manticore	wh2_dlc10_skill_def_supreme_sorceress_shadow_mount_manticore	1
wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed	wh2_dlc10_skill_hef_alarielle_mount_barded_ithilmar_steed	1
wh2_dlc10_anc_mount_hef_alarielle_elven_steed	wh2_dlc10_skill_hef_alarielle_mount_elven_steed	1
wh2_dlc10_anc_mount_hef_alarielle_great_eagle	wh2_dlc10_skill_hef_alarielle_mount_great_eagle	1
wh2_dlc10_anc_mount_hef_handmaiden_barded_ithilmar_steed	wh2_dlc10_skill_hef_handmaiden_barded_ithilmar_steed	1
wh2_dlc10_anc_mount_hef_handmaiden_elven_steed	wh2_dlc10_skill_hef_handmaiden_elven_steed	1
wh2_dlc10_anc_mount_hef_mage_heavens_elven_steed	wh2_dlc10_skill_hef_mage_heavens_mount_elven_steed	1
wh2_dlc10_anc_mount_hef_mage_heavens_ithilmar_chariot	wh2_dlc10_skill_hef_mage_heavens_mount_ithilmar_chariot	1
wh2_dlc10_anc_mount_hef_mage_shadows_elven_steed	wh2_dlc10_skill_hef_mage_shadows_mount_elven_steed	1
wh2_dlc10_anc_mount_hef_mage_shadows_ithilmar_chariot	wh2_dlc10_skill_hef_mage_shadows_mount_ithilmar_chariot	1
wh2_dlc11_anc_mount_brt_damned_paladin_barded_warhorse	wh2_dlc11_skill_brt_champion_unique_paladin_damned_barded_warhorse	1
wh2_dlc11_anc_mount_cst_admiral_tech_01_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_tech_01_rotting_promethean	1
wh2_dlc11_anc_mount_cst_admiral_tech_02_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_tech_02_rotting_promethean	1
wh2_dlc11_anc_mount_cst_admiral_tech_03_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_tech_03_rotting_promethean	1
wh2_dlc11_anc_mount_cst_admiral_tech_04_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_tech_04_rotting_promethean	1
wh2_dlc11_anc_mount_cst_aranessa_rotting_promethean	wh2_dlc11_skill_cst_mount_aranessa_rotting_promethean	1
wh2_dlc11_anc_mount_cst_count_noctilus_necrofex_colossus	wh2_dlc11_skill_cst_mount_noctilus_necrofex_colossus	1
wh2_dlc11_anc_mount_cst_cylostra_rotting_leviathon	wh2_dlc11_skill_cst_mount_cylostra_rotting_leviathan	1
wh2_dlc11_anc_mount_cst_fleet_admiral_death_fem_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_fem_death_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_admiral_death_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_death_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_admiral_deep_fem_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_fem_deep_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_admiral_deep_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_deep_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_admiral_fem_vampires_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_fem_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_admiral_vampires_rotting_promethean	wh2_dlc11_skill_cst_mount_admiral_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_captain_death_rotting_promethean	wh2_dlc11_skill_cst_mount_fleet_captain_death_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_captain_deep_rotting_promethean	wh2_dlc11_skill_cst_mount_fleet_captain_deep_rotting_promethean	1
wh2_dlc11_anc_mount_cst_fleet_captain_vampires_rotting_promethean	wh2_dlc11_skill_cst_mount_fleet_captain_rotting_promethean	1
wh2_dlc11_anc_mount_cst_gunnery_wight_rotting_promethean	wh2_dlc11_skill_cst_mount_gunnery_wight_rotting_promethean	1
wh2_dlc11_anc_mount_cst_luthor_harkon_terrorgheist	wh2_dlc11_skill_cst_mount_harkon_death_shriek_terrorgheist	1
wh2_dlc11_anc_mount_def_lokhir_fellheart_black_dragon	wh2_dlc11_skill_cst_lokhir_mount_maelstrom	1
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_griffon	wh2_dlc11_skill_emp_boris_unique_imperial_griffon	1
wh2_dlc11_anc_mount_emp_boris_todbringer_imperial_pegasus	wh2_dlc11_skill_emp_boris_unique_imperial_pegasus	1
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_barded_nightmare	wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_barded_nightmare	1
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_hellsteed	wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_hellsteed	1
wh2_dlc11_anc_mount_vmp_bloodline_blood_dragon_zombie_dragon	wh2_dlc11_skill_vmp_bloodline_blood_dragon_unique_zombie_dragon	1
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_barded_nightmare	wh2_dlc11_skill_vmp_bloodline_lahmian_unique_barded_nightmare	1
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_hellsteed	wh2_dlc11_skill_vmp_bloodline_lahmian_unique_hellsteed	1
wh2_dlc11_anc_mount_vmp_bloodline_lahmian_zombie_dragon	wh2_dlc11_skill_vmp_bloodline_lahmian_unique_zombie_dragon	1
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_barded_nightmare	wh2_dlc11_skill_vmp_bloodline_necrarch_unique_barded_nightmare	1
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_hellsteed	wh2_dlc11_skill_vmp_bloodline_necrarch_unique_hellsteed	1
wh2_dlc11_anc_mount_vmp_bloodline_necrarch_zombie_dragon	wh2_dlc11_skill_vmp_bloodline_necrarch_unique_zombie_dragon	1
wh2_dlc11_anc_mount_vmp_bloodline_strigoi_terrorgheist	wh2_dlc11_skill_vmp_bloodline_strigoi_unique_terrorgheist	1
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_barded_nightmare	wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_barded_nightmare	1
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_hellsteed	wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_hellsteed	1
wh2_dlc11_anc_mount_vmp_bloodline_von_carstein_zombie_dragon	wh2_dlc11_skill_vmp_bloodline_von_carstein_unique_zombie_dragon	1
wh2_dlc11_anc_mount_vmp_kemmler_barded_nightmare	wh2_dlc11_skill_vmp_lord_unique_kemmler_barded_nightmare	1
wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ancient_stegadon	wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_ancient_stegadon	1
wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one	wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one	1
wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_ripperdactyl	wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_ripperdactyl	1
wh2_dlc12_anc_mount_lzd_skink_priest_beasts_ancient_stegadon_engine_gods	wh2_dlc12_skill_lzd_skink_priest_beasts_mount_ancient_stegadon_engine_gods	1
wh2_dlc12_anc_mount_lzd_skink_priest_heavens_ancient_stegadon_engine_gods	wh2_dlc12_skill_lzd_skink_priest_heavens_mount_ancient_stegadon_engine_gods	1
wh2_dlc12_anc_mount_lzd_tehenhauin_ancient_stegadon_engine_gods	wh2_dlc12_skill_lzd_tehenhauin_mount_ancient_stegadon_engine_gods	1
wh2_dlc12_anc_mount_lzd_tehenhauin_horned_one	wh2_dlc12_skill_lzd_tehenhauin_mount_horned_one	1
wh2_dlc12_anc_mount_lzd_tehenhauin_ripperdactyl	wh2_dlc12_skill_lzd_tehenhauin_mount_ripperdactyl	1
wh2_dlc12_anc_mount_lzd_tlaqua_skink_chief_terradon	wh2_dlc12_skill_lzd_tlaqua_mount_skink_chief_terradon	1
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_ancient_stegadon_engine_gods	wh2_dlc12_skill_lzd_tlaqua_skink_priest_beasts_mount_ancient_stegadon_engine_gods	1
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_beasts_terradon	wh2_dlc12_skill_lzd_tlaqua_mount_skink_priest_beasts_terradon	1
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_ancient_stegadon_engine_gods	wh2_dlc12_skill_lzd_tlaqua_skink_priest_heavens_mount_ancient_stegadon_engine_gods	1
wh2_dlc12_anc_mount_lzd_tlaqua_skink_priest_heavens_terradon	wh2_dlc12_skill_lzd_tlaqua_mount_skink_priest_heavens_terradon	1
wh2_dlc12_anc_mount_skv_ikit_claw_doom_flayer	wh2_dlc12_skill_skv_ikit_mount_doom_flayer	1
wh2_dlc12_anc_mount_skv_ikit_claw_doomwheel	wh2_dlc12_skill_skv_ikit_mount_doomwheel	1
wh2_dlc12_anc_mount_skv_warlock_master_doom_flayer	wh2_dlc12_skill_skv_warlock_master_mount_doom_flayer	1
wh2_dlc12_anc_mount_skv_warlock_master_doomwheel	wh2_dlc12_skill_skv_warlock_master_mount_doomwheel	1
wh2_dlc14_anc_mount_brt_henri_le_massif_barded_warhorse	wh2_dlc14_skill_brt_henri_le_massif_barded_warhorse	1
wh2_dlc14_anc_mount_brt_henri_le_massif_hippogryph	wh2_dlc14_skill_brt_henri_le_massif_hippogryph	1
wh2_dlc14_anc_mount_brt_repanse_barded_warhorse	wh2_dlc14_skill_brt_repanse_barded_warhorse	1
wh2_dlc14_anc_mount_def_high_beastmaster_manticore	wh2_dlc14_skill_def_high_beastmaster_mount_manticore	1
wh2_dlc14_anc_mount_def_high_beastmaster_scourgerunner_chariot	wh2_dlc14_skill_def_high_beastmaster_mount_scourgerunner_chariot	1
wh2_dlc14_anc_mount_def_malus_spite	wh2_dlc14_skill_def_malus_mount_spite	1
wh2_dlc14_anc_mount_def_master_cold_one_chariot	wh2_dlc14_skill_def_master_mount_cold_one_chariot	1
wh2_dlc14_anc_mount_def_master_cold_one	wh2_dlc14_skill_def_master_mount_cold_one	1
wh2_dlc14_anc_mount_def_master_dark_pegasus	wh2_dlc14_skill_def_master_mount_dark_pegasus	1
wh2_dlc14_anc_mount_def_master_dark_steed	wh2_dlc14_skill_def_master_mount_dark_steed	1
wh2_dlc15_anc_mount_hef_alastar_white_lion_chariot	wh2_dlc15_skill_hef_alastar_white_lion_chariot	1
wh2_dlc15_anc_mount_hef_archmage_beasts_barded_warhorse	wh2_dlc15_skill_hef_archmage_beasts_mount_barded_ithilmar_steed	1
wh2_dlc15_anc_mount_hef_archmage_beasts_great_eagle	wh2_dlc15_skill_hef_archmage_beasts_mount_great_eagle	1
wh2_dlc15_anc_mount_hef_archmage_beasts_ilthilmar_chariot	wh2_dlc15_skill_hef_archmage_beasts_mount_ithilmar_chariot	1
wh2_dlc15_anc_mount_hef_archmage_beasts_moon_dragon	wh2_dlc15_skill_hef_archmage_beasts_mount_moon_dragon	1
wh2_dlc15_anc_mount_hef_archmage_death_barded_warhorse	wh2_dlc15_skill_hef_archmage_death_mount_barded_ithilmar_steed	1
wh2_dlc15_anc_mount_hef_archmage_death_great_eagle	wh2_dlc15_skill_hef_archmage_death_mount_great_eagle	1
wh2_dlc15_anc_mount_hef_archmage_death_ilthilmar_chariot	wh2_dlc15_skill_hef_archmage_death_mount_ithilmar_chariot	1
wh2_dlc15_anc_mount_hef_archmage_death_moon_dragon	wh2_dlc15_skill_hef_archmage_death_mount_moon_dragon	1
wh2_dlc15_anc_mount_hef_archmage_fire_barded_warhorse	wh2_dlc15_skill_hef_archmage_fire_mount_barded_ithilmar_steed	1
wh2_dlc15_anc_mount_hef_archmage_fire_great_eagle	wh2_dlc15_skill_hef_archmage_fire_mount_great_eagle	1
wh2_dlc15_anc_mount_hef_archmage_fire_ilthilmar_chariot	wh2_dlc15_skill_hef_archmage_fire_mount_ithilmar_chariot	1
wh2_dlc15_anc_mount_hef_archmage_fire_moon_dragon	wh2_dlc15_skill_hef_archmage_fire_mount_moon_dragon	1
wh2_dlc15_anc_mount_hef_archmage_heavens_barded_warhorse	wh2_dlc15_skill_hef_archmage_heavens_mount_barded_ithilmar_steed	1
wh2_dlc15_anc_mount_hef_archmage_heavens_great_eagle	wh2_dlc15_skill_hef_archmage_heavens_mount_great_eagle	1
