bonus_value_id	effect	effect_bonus_will_modify
#effect_bonus_value_provincial_initiative_effect_record_junctions_tables;1;db/effect_bonus_value_provincial_initiative_effect_record_junctions_tables/data__		
value_addition	wh2_dlc09_edict_brt_peasants_duty_growth_mod	wh_main_effect_province_growth_commandment
value_addition	wh2_dlc09_edict_brt_peasants_duty_public_order_mod	wh_main_effect_public_order_edict
value_addition	wh2_dlc09_edict_brt_peasants_duty_tax_mod	wh_main_effect_economy_gdp_mod_all
value_addition	wh2_dlc09_edict_tmb_building_construction_cost_mod_buff_additive	wh_main_effect_building_construction_cost_mod
value_addition	wh2_dlc09_edict_tmb_corruption_reduction_buff_additive	wh3_main_effect_corruption_reduction_commandment
value_addition	wh2_dlc09_edict_tmb_force_all_campaign_experience_base_all_buff_additive	wh_main_effect_force_all_campaign_experience_base_all
value_addition	wh2_dlc09_edict_tmb_force_all_campaign_replenishment_rate_buff_additive	wh_main_effect_force_all_campaign_replenishment_rate
value_addition	wh2_dlc09_edict_tmb_force_army_campaign_ambush_success_chance_buff	wh_main_effect_force_army_campaign_ambush_attack_success_chance
value_addition	wh2_dlc09_edict_tmb_force_own_campaign_movement_range_province_buff_additive	wh2_dlc09_effect_force_own_campaign_movement_range_province
value_addition	wh2_dlc09_edict_tmb_force_stat_melee_defence_buff_additive	wh_main_effect_force_stat_melee_defence
value_addition	wh2_dlc09_edict_tmb_province_growth_province_buff_additive	wh_main_effect_province_growth_commandment
value_addition	wh2_dlc09_edict_tmb_province_tax_rate_buff_additive	wh_main_effect_economy_gdp_mod_all
value_addition	wh2_dlc09_edict_tmb_public_order_edict_buff_additive	wh_main_effect_public_order_edict
value_addition	wh3_dlc23_effect_commandment_chd_armaments_modifier	wh3_dlc23_pooled_resource_chd_armaments_modifier
value_addition	wh3_dlc23_effect_commandment_chd_construction_cost	wh_main_effect_building_construction_cost_mod
value_addition	wh3_dlc23_effect_commandment_chd_economy_gdp_mod_refinery	wh3_dlc23_effect_economy_gpd_manufacture
value_addition	wh3_dlc23_effect_commandment_chd_public_order	wh_main_effect_public_order_edict
value_addition	wh3_dlc23_effect_commandment_chd_recruit_rank	wh_main_effect_force_all_campaign_experience_base_all
value_addition	wh3_dlc25_effect_commandment_nur_growth	wh_main_effect_province_growth_commandment
value_addition	wh3_dlc25_effect_commandment_nur_infections	wh3_main_effect_building_nur_infections
value_addition	wh3_dlc25_effect_commandment_nur_plague_spread	wh2_main_effect_plague_infectivity_mod_good
value_addition	wh3_dlc25_effect_commandment_nur_rush_construction	wh3_dlc25_effect_nur_rush_cycle_cost
value_addition	wh3_main_effect_commandment_ksl_corruption_mod	wh3_main_effect_corruption_reduction_commandment
value_addition	wh3_main_effect_commandment_ksl_income_mod	wh_main_effect_economy_gdp_mod_all
value_addition	wh3_main_effect_commandment_ksl_recruit_cost_mod	wh_main_effect_force_all_campaign_recruitment_cost_all
value_addition	wh3_main_effect_commandment_vmp_evocation_recruit_cap_mod_hidden	wh_main_effect_unit_recruitment_points
value_addition	wh3_main_effect_commandment_vmp_evocation_recruit_rank_mod_hidden	wh_main_effect_force_all_campaign_experience_base_all
value_addition	wh3_main_effect_commandment_vmp_foster_construction_cost_mod_hidden	wh_main_effect_building_construction_cost_mod
value_addition	wh3_main_effect_commandment_vmp_foster_corruption_mod_hidden	wh3_main_effect_corruption_vampiric_commandment
value_addition	wh3_main_effect_commandment_vmp_foster_growth_mod_hidden	wh_main_effect_province_growth_commandment
value_addition	wh3_main_effect_commandment_vmp_harvest_income_mod_hidden	wh_main_effect_economy_gdp_mod_all
value_addition	wh3_main_effect_commandment_vmp_repress_control_mod_hidden	wh_main_effect_public_order_edict
value_addition	wh_main_effect_commandment_dwarfs_ancestor_worship_untainted_mod_hidden	wh3_main_effect_corruption_reduction_commandment
value_addition	wh_main_effect_commandment_dwarfs_ancestor_worship_untainted_mod	wh3_main_effect_corruption_reduction_commandment
value_addition	wh_main_effect_commandment_dwarfs_empower_the_guilds_growth_mod_hidden	wh_main_effect_province_growth_commandment
value_addition	wh_main_effect_commandment_dwarfs_empower_the_guilds_growth_mod	wh_main_effect_province_growth_commandment
value_addition	wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_mod_hidden	wh_main_effect_economy_gdp_mod_all
value_addition	wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_mod	wh_main_effect_economy_gdp_mod_all
value_addition	wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_mod_hidden	wh_main_effect_force_all_campaign_recruitment_cost_all
value_addition	wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_mod	wh_main_effect_force_all_campaign_recruitment_cost_all
