bonus_value_id	effect	unit_set_special_ability_phase_junction
#effect_bonus_value_unit_set_special_ability_phase_junctions_tables;1;db/effect_bonus_value_unit_set_special_ability_phase_junctions_tables/data__		
active	wh2_dlc17_effect_armour_sundering_miners_longbeard_great_weapons	thorek_artifact_3_sundering
active	wh2_dlc17_effect_contact_phase_poison_for_all_skinks	skink_inf_poison_attacks
active	wh2_dlc17_effect_poison_attacks_ungors	ungor_poison_attacks
active	wh3_dlc20_effect_enable_poison_aspiring_champions	poison_aspiring_champs
active	wh3_dlc20_effect_enable_soporific_musk_aspiring_champions	soporific_musk_aspiring_champs
active	wh3_dlc20_effect_enable_soporific_musk_aspiring_champions	soporific_musk_chosen_of_slaanesh
active	wh3_dlc20_effect_soporific_musk_daemonettes	wh3_soporific_musk_daemonettes
active	wh3_dlc20_effect_warpflame_aspiring_champions	warpflame_attacks_aspiring_champions
active	wh3_dlc20_effect_warpflame_aspiring_champions	warpflame_chosen_of_tzeentch
active	wh3_dlc20_effect_warpflame_attack_tzeentch_units	warpflame_tzeentch_units
active	wh3_dlc23_effect_contact_phase_blinded_chd_deathshrieker	blinded_chd_deathshrieker
active	wh3_dlc23_effect_contact_phase_burnt_iron_daemon	burnt_chd_iron_daemon
active	wh3_dlc23_effect_contact_phase_chd_infernal_guard_gw	sundering_chd_infernal_guard_gw
active	wh3_dlc23_effect_contact_phase_chd_melee_infantry	sundering_chd_melee_infantry
active	wh3_dlc23_effect_contact_phase_dampening_attacks	dampened_chd_lammasu
active	wh3_dlc23_effect_contact_phase_dazed_chd_deathshrieker	dazed_chd_deathshrieker
active	wh3_dlc23_effect_contact_phase_disoriented_hellcannon	disoriented_chd_hellcannon
active	wh3_dlc23_effect_contact_phase_flammable_chd_kdaai	flammable_chd_kdaai
active	wh3_dlc23_effect_contact_phase_flammable_chd_warriors	flammable_chd_warriors
active	wh3_dlc23_effect_contact_phase_shield_breaker_chd_infernal_guard_fireglaives	shieldbreaker_chd_fireglaives
active	wh3_dlc23_effect_contact_phase_suppressed_chd_missile_inf	suppressed_missiles_chd_missile_inf
active	wh3_dlc23_effect_contact_phase_weakened_hellcannon	weakened_chd_hellcannon
active	wh3_dlc23_effect_contact_phase_weakened_infernal_guard	weakened_chd_infernal_guard
active	wh3_dlc23_effect_enable_frostbite_attacks_chd_flying_beasts	frostbite_chd_flying_beasts
active	wh3_main_effect_contact_effect_discouraged_cairn_wraith_hexwraith	discouraged_wraiths
active	wh3_main_effect_contact_phase_dazed_boar_riders	boar_riders_dazed_attacks
active	wh3_main_effect_contact_phase_poison_gnoblars	gnoblar_inf_poison_attacks
active	wh3_main_effect_force_stat_enable_frostbite_attacks_ksl_snow_leopards	wh3_main_effect_force_stat_enable_frostbite_attacks_ksl_snow_leopards
active	wh3_main_effect_force_stat_enable_soporific_musk_sla_marauders	soporific_musk_chosen_of_slaanesh
active	wh3_main_effect_force_stat_enable_soporific_musk_sla_marauders	soporific_musk_warriors_slaanesh
active	wh3_main_effect_force_stat_enable_soporific_musk_sla_marauders	wh3_main_effect_force_stat_enable_soporific_musk_sla_marauders
active	wh3_main_effect_force_stat_enable_warpflame_attacks_tze_horrors	wh3_main_effect_force_stat_enable_warpflame_attacks_tze_horrors
active	wh3_main_enable_charmed_attacks_tze_screamers	wh3_main_enable_charmed_attacks_tze_screamers
active	wh_main_effect_character_stat_enable_poison_attacks_zombies	poison_skeletons
active	wh_main_effect_character_stat_enable_poison_attacks_zombies	poison_zombies
active	wh_main_effect_character_stat_enable_poison_attacks_zombies	poison_zombies_summoned
