key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter	remove_on_skill_reset
#character_traits_tables;3;db/character_traits_tables/data__							
wh2_dlc09_dummy_trait_dynasty_1	1	false	1	tomb_kings	1		false
wh2_dlc09_dummy_trait_dynasty_2	1	false	1	tomb_kings	1		false
wh2_dlc09_dummy_trait_dynasty_3	1	false	1	tomb_kings	1		false
wh2_dlc09_dummy_trait_dynasty_4	1	false	1	tomb_kings	1		false
wh2_dlc09_dummy_trait_dynasty_5	1	false	1	tomb_kings	1		false
wh2_dlc09_dummy_trait_dynasty_6	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_benevolence	1	false	1	skaven	1		false
wh2_dlc09_trait_defeated_arkhan	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_defeated_khalida	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_defeated_khatep	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_defeated_settra	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_defeated_settra_as_surtha	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_defeated_surtha_as_settra	1	false	1	chaos	1		false
wh2_dlc09_trait_defeated_tretch	1	false	1	skaven	1		false
wh2_dlc09_trait_dynasty_alkhazzar_ii	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_dynasty_lahmizzash	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_dynasty_rakhash	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_dynasty_setep	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_dynasty_thutep	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_dynasty_wakhaf	1	false	1	tomb_kings	1		false
wh2_dlc09_trait_merciless	1	false	1	skaven	0		false
wh2_dlc09_trait_patience	1	false	1	skaven	0		false
wh2_dlc09_trait_settra_title	1	false	55	tomb_kings	1		false
wh2_dlc09_trait_settra_title_start	1	false	55	tomb_kings	0		false
wh2_dlc09_trait_spymaster	1	false	1	skaven	0		false
wh2_dlc10_trait_alarielle_chaos	1	false	1	mortal_torment	-1		false
wh2_dlc10_trait_alarielle_chaos_none	1	false	1	mortal_torment	0		false
wh2_dlc10_trait_defeated_alarielle	1	false	1	high_elves	1		false
wh2_dlc10_trait_defeated_alith_anar	1	false	1	high_elves	1		false
wh2_dlc10_trait_defeated_hellebron	1	false	1	dark_elves	1		false
wh2_dlc10_trait_sword_of_khaine	1	false	50	sword_of_khaine	-1		false
wh2_dlc11_admiral_01_trait	1	false	1	trait_good	1		false
wh2_dlc11_admiral_02_trait	1	false	1	trait_good	1		false
wh2_dlc11_admiral_03_trait	1	false	1	trait_good	1		false
wh2_dlc11_admiral_04_trait	1	false	1	trait_good	1		false
wh2_dlc11_trait_defeated_aranessa_saltspite	1	false	1	vampire_coast	1		false
wh2_dlc11_trait_defeated_count_noctilus	1	false	1	vampire_coast	1		false
wh2_dlc11_trait_defeated_cylostra_direfin	1	false	1	vampire_coast	1		false
wh2_dlc11_trait_defeated_lokhir_fellheart	1	false	1	dark_elves	1		false
wh2_dlc11_trait_defeated_luthor_harkon	1	false	1	vampire_coast	1		false
wh2_dlc11_trait_harkon_personality_coward	1	false	1	harkon_fractured	-1		false
wh2_dlc11_trait_harkon_personality_hateful	1	false	1	harkon_fractured	-1		false
wh2_dlc11_trait_harkon_personality_mad	1	false	1	harkon_fractured	-1		false
wh2_dlc11_trait_harkon_personality_prideful	1	false	1	harkon_fractured	-1		false
wh2_dlc11_trait_harkon_personality_restored	1	false	1	harkon_restored	1		false
wh2_dlc11_trait_incentive	1	false	1	loyalty	1		false
wh2_dlc11_trait_incentive_counter	1	false	1	loyalty	-1		false
wh2_dlc11_trait_lokhir_black_ark_dummy	1	true	99	personality	0		false
wh2_dlc12_trait_defeated_ikit_claw	1	false	1	skaven	1		false
wh2_dlc12_trait_defeated_tehenhauin	1	false	1	lizardmen	1		false
wh2_dlc12_trait_defeated_tiktaqto	1	false	1	lizardmen	1		false
wh2_dlc13_trait_defeated_gorrok	1	false	1	lizardmen	1		false
wh2_dlc13_trait_defeated_nakai	1	false	1	lizardmen	1		false
