effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/data__		
wh2_dlc09_effect_agent_action_cost_mod_tmb_liche_priest	action_cost_mod	wizard
wh2_dlc09_effect_agent_action_cost_mod_tmb_necrotect	action_cost_mod	engineer
wh2_dlc09_effect_agent_action_cost_mod_tmb_tomb_prince	action_cost_mod	champion
wh2_dlc09_effect_agent_action_success_chance_tmb_necrotect	success_mod	engineer
wh2_dlc09_effect_agent_action_success_chance_tmb_tomb_prince	success_mod	champion
wh2_dlc09_effect_agent_action_success_chance_wizard_tmb	success_mod	wizard
wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	cap	wizard
wh2_dlc09_effect_agent_cap_increase_tmb_necrotect	cap	engineer
wh2_dlc09_effect_agent_cap_increase_tmb_tomb_prince	cap	champion
wh2_dlc09_effect_agent_enable_recruitment_champion_tmb_hidden	availability	champion
wh2_dlc09_effect_agent_enable_recruitment_engineer_tmb_hidden	availability	engineer
wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb_hidden	availability	wizard
wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb	availability	wizard
wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	recruitment_level	wizard
wh2_dlc09_effect_agent_recruitment_xp_tmb_tomb_prince	recruitment_level	champion
wh2_dlc10_effect_agent_action_success_chance_hef_handmaiden	success_mod	dignitary
wh2_dlc10_effect_agent_cap_increase_hef_handmaiden	cap	dignitary
wh2_dlc10_effect_agent_enable_recruitment_hef_handmaiden	availability	dignitary
wh2_dlc10_effect_agent_recruitment_xp_hef_handmaiden	recruitment_level	dignitary
wh2_dlc10_effect_rite_def_drakira_recruit_rank_death_hag	recruitment_level	dignitary
wh2_dlc10_effect_rite_hef_lileath_action_cost_hef_handmaiden	action_cost_mod	dignitary
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	champion
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	dignitary
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	engineer
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	runesmith
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	spy
wh2_dlc11_agent_recruit_xp_tech_coast	recruitment_level	wizard
wh2_dlc11_cst_agent_rank_captains_ship_hidden	recruitment_level	dignitary
wh2_dlc11_cst_agent_rank_captains	recruitment_level	dignitary
wh2_dlc11_cst_agent_slot_captains	cap	dignitary
wh2_dlc11_cst_recruit_ranks_mourngul_haunter_ship_hidden	recruitment_level	champion
wh2_dlc11_cst_recruit_ranks_mourngul_haunter	recruitment_level	champion
wh2_dlc11_cst_slot_mourngul_haunter	cap	champion
wh2_dlc11_cst_tech_effect_lord_recruit_rank_increase	recruitment_level	general
wh2_dlc11_effect_agent_action_cost_mod_cst_fleet_captain	action_cost_mod	dignitary
wh2_dlc11_effect_agent_action_cost_mod_cst_gunnery_wight	action_cost_mod	engineer
wh2_dlc11_effect_agent_action_cost_mod_cst_mourngul_haunter	action_cost_mod	champion
wh2_dlc11_effect_agent_action_success_chance_cst_fleet_captain	success_mod	dignitary
wh2_dlc11_effect_agent_action_success_chance_cst_gunnery_wight	success_mod	engineer
wh2_dlc11_effect_agent_action_success_chance_cst_mourngul_haunter	success_mod	champion
