key	unbound_decision_item_type	conditionally_spawnable_force	plague	ritual	decision_interface	province_initiative	compass_direction	plague_component	plague_recipe	occupation_decision	teleportation_node_template	FIXME	culture_occupation_decision	compass_action	initiative	initiative_set
#cai_decision_items_tables;13;db/cai_decision_items_tables/data__																
allied_buildings_open_slot	allied_foreign_slots_open_slots				allied_foreign_slots							true	0			
cathay_caravan_start	caravans_create_new				caravans							true	0			
cathay_compass_action_wrath_of_the_emperor					compass		wh3_main_chaos_compass_wrath					true	0	apply_attrition_to_enemies_in_direction		
cathay_compass_bastion					compass		wh3_main_chaos_compass_bastion					true	0			
cathay_compass_desert					compass		wh3_main_chaos_compass_desert					true	0			
cathay_compass_lake					compass		wh3_main_chaos_compass_lake					true	0			
cathay_compass_wrath					compass		wh3_main_chaos_compass_wrath					true	0			
cathay_provincial_initiative_bastion_growth					province_initiatives	wh3_main_edict_cth_the_great_bastion_growth						true	0			
cathay_provincial_initiative_bastion_patrol					province_initiatives	wh3_main_edict_cth_the_great_bastion_patrol						true	0			
cathay_provincial_initiative_bastion_replenish					province_initiatives	wh3_main_edict_cth_the_great_bastion_replenish						true	0			
cathay_provincial_initiative_bastion_train					province_initiatives	wh3_main_edict_cth_the_great_bastion_train						true	0			
changing_of_the_ways_halt_faction				wh3_main_ritual_tze_cotw_halt_faction	rituals							true	0			
changing_of_the_ways_open_gates				wh3_main_ritual_tze_cotw_open_gates	rituals							true	0			
chaos_dwarf_convoy_start	caravans_create_new				caravans							true	0			
daemon_prince_ascension_ritual_khorne				wh3_main_ritual_dae_ascend_khorne	rituals							true	0			
daemon_prince_ascension_ritual_nurgle				wh3_main_ritual_dae_ascend_nurgle	rituals							true	0			
daemon_prince_ascension_ritual_slaanesh				wh3_main_ritual_dae_ascend_slaanesh	rituals							true	0			
daemon_prince_ascension_ritual_tzeentch				wh3_main_ritual_dae_ascend_tzeentch	rituals							true	0			
daemon_prince_ascension_ritual_undivided				wh3_main_ritual_dae_ascend_undivided	rituals							true	0			
deploy_ogre_camp		wh3_main_ogr_basic_camp			summon_spawnable_force_at_force							true	0			
devotees_growth	devotees_growth				devotees							true	0			
devotees_income	devotees_income				devotees							true	0			
devotees_pleasure_activity_arena				wh3_main_ritual_sla_pleasure_arena	rituals							true	0			
devotees_pleasure_activity_hunt				wh3_main_ritual_sla_pleasure_hunt	rituals							true	0			
devotees_pleasure_activity_party				wh3_main_ritual_sla_pleasure_party	rituals							true	0			
devotees_public_order	devotees_public_order				devotees							true	0			
devotees_ritual_spawn_cult				wh3_main_ritual_sla_create_cults	rituals							true	0			
festus_plague_recipe_target_own_army_buboes_0				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_base_buboes			true	0			
festus_plague_recipe_target_own_army_buboes_1				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_buboes_1			true	0			
festus_plague_recipe_target_own_army_buboes_2				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_buboes_2			true	0			
festus_plague_recipe_target_own_army_buboes_3				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_buboes_3			true	0			
festus_plague_recipe_target_own_army_buboes_4				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_buboes_4			true	0			
festus_plague_recipe_target_own_army_buboes_5				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_buboes_5			true	0			
festus_plague_recipe_target_own_army_pox_0				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_base_pox			true	0			
festus_plague_recipe_target_own_army_pox_1				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_pox_1			true	0			
festus_plague_recipe_target_own_army_pox_2				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_pox_2			true	0			
festus_plague_recipe_target_own_army_pox_3				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_pox_3			true	0			
festus_plague_recipe_target_own_army_pox_4				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_pox_4			true	0			
festus_plague_recipe_target_own_army_pox_5				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_pox_5			true	0			
festus_plague_recipe_target_own_army_rot_0				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_base_rot			true	0			
festus_plague_recipe_target_own_army_rot_1				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_rot_1			true	0			
festus_plague_recipe_target_own_army_rot_2				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_rot_2			true	0			
festus_plague_recipe_target_own_army_rot_3				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_rot_3			true	0			
festus_plague_recipe_target_own_army_rot_4				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_rot_4			true	0			
festus_plague_recipe_target_own_army_rot_5				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_rot_5			true	0			
festus_plague_recipe_target_own_army_shakes_0				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_base_shakes			true	0			
festus_plague_recipe_target_own_army_shakes_1				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_shakes_1			true	0			
festus_plague_recipe_target_own_army_shakes_2				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_shakes_2			true	0			
festus_plague_recipe_target_own_army_shakes_3				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_shakes_3			true	0			
festus_plague_recipe_target_own_army_shakes_4				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_shakes_4			true	0			
festus_plague_recipe_target_own_army_shakes_5				wh3_main_ritual_nur_plague_target_army	rituals				wh3_plague_festus_recipe_shakes_5			true	0			
festus_plague_recipe_target_own_settlement_ague_0				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_base_ague			true	0			
festus_plague_recipe_target_own_settlement_ague_1				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_ague_1			true	0			
festus_plague_recipe_target_own_settlement_ague_2				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_ague_2			true	0			
festus_plague_recipe_target_own_settlement_ague_3				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_ague_3			true	0			
festus_plague_recipe_target_own_settlement_ague_4				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_ague_4			true	0			
festus_plague_recipe_target_own_settlement_ague_5				wh3_main_ritual_nur_plague_target_settlement	rituals				wh3_plague_festus_recipe_ague_5			true	0			
khorne_skulls				wh3_main_ritual_kho_the_skull_throne	rituals							true	0			
kislev_motherland_dazh				wh3_main_ritual_ksl_winter_dazh	rituals							true	0			
kislev_motherland_dazh_upgraded				wh3_main_ritual_ksl_winter_dazh_upgraded	rituals							true	0			
kislev_motherland_salyak				wh3_main_ritual_ksl_winter_salyak	rituals							true	0			
kislev_motherland_salyak_upgraded				wh3_main_ritual_ksl_winter_salyak_upgraded	rituals							true	0			
kislev_motherland_tor				wh3_main_ritual_ksl_winter_tor	rituals							true	0			
kislev_motherland_tor_upgraded				wh3_main_ritual_ksl_winter_tor_upgraded	rituals							true	0			
kislev_motherland_ursun				wh3_main_ritual_ksl_winter_ursun	rituals							true	0			
kislev_motherland_ursun_upgraded				wh3_main_ritual_ksl_winter_ursun_upgraded	rituals							true	0			
manipulate_diplomacy_break_alliance	diplomacy_manipulation_break_alliance				diplomacy_manipulation							true	0			
manipulate_diplomacy_force_war	diplomacy_manipulation_force_war				diplomacy_manipulation							true	0			
manipulate_diplomacy_transfer_settlement	diplomacy_manipulation_transfer_settlement				diplomacy_manipulation							true	0			
manipulate_winds_of_magic_level_decrease	winds_of_magic_decrease_strength				manipulate_winds_of_magic							true	0			
manipulate_winds_of_magic_level_increase	winds_of_magic_increase_strength				manipulate_winds_of_magic							true	0			
nurgle_plague_bowelsteep			wh3_main_plague_daemon_prince_bowelsteep		military_force_plagues							true	0			
nurgle_plague_grey_fever			wh3_main_plague_daemon_prince_grey_fever		military_force_plagues							true	0			
