character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/data__	
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh2_dlc09_cha_arkhan_0
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_cha_arkhan_0
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh2_dlc09_cha_arkhan_1
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_cha_arkhan_1
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh2_dlc09_cha_arkhan_2
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_cha_arkhan_2
wh2_dlc09_anc_weapon_the_venom_staff	wh2_dlc09_cha_cha_khalida_0
wh2_dlc09_anc_weapon_the_venom_staff	wh2_dlc09_cha_cha_khalida_1
wh2_dlc09_anc_weapon_the_venom_staff	wh2_dlc09_cha_cha_khalida_2
wh2_dlc09_anc_arcane_item_the_liche_staff	wh2_dlc09_cha_khatep_0
wh2_dlc09_anc_arcane_item_the_liche_staff	wh2_dlc09_cha_khatep_1
wh2_dlc09_anc_arcane_item_the_liche_staff	wh2_dlc09_cha_khatep_2
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_cha_settra_0
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_cha_settra_0
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_cha_settra_1
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_cha_settra_1
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_cha_settra_2
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_cha_settra_2
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_cha_settra_3
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_cha_settra_3
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh2_dlc09_skv_cha_tretch_craventail
wh2_dlc09_anc_arcane_item_enkhils_kanopi	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_anc_enchanted_item_elixir_of_might	wh2_dlc09_tmb_cha_necrotect_0
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh2_dlc09_tmb_cha_necrotect_0
wh2_dlc09_anc_armour_scorpion_armour	wh2_dlc09_tmb_cha_tomb_king_0
wh2_dlc09_anc_talisman_amulet_of_pha_stah	wh2_dlc09_tmb_cha_tomb_king_0
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	wh2_dlc09_tmb_cha_tomb_prince_0
wh2_dlc09_anc_weapon_blade_of_setep	wh2_dlc09_tmb_cha_tomb_prince_0
wh2_dlc10_anc_talisman_amulet_of_dark_fire	wh2_dlc10_def_cha_crone_0
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh2_dlc10_def_cha_crone_0
wh2_main_anc_arcane_item_darkstar_cloak	wh2_dlc10_def_cha_sorceress_beasts_0
wh_main_anc_arcane_item_scroll_of_leeching	wh2_dlc10_def_cha_sorceress_beasts_0
