bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/data__		
diplomatic_mod_tech	wh2_dlc09_faction_political_diplomacy_mod_technology_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings
diplomatic_mod	wh2_dlc09_faction_political_diplomacy_mod_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings
sacking_mod	wh2_dlc11_effect_campaign_sacking_income_dark_elves	wh2_main_sc_def_dark_elves
sacking_mod	wh2_dlc11_effect_campaign_sacking_income_lizardmen	wh2_main_sc_lzd_lizardmen
sacking_mod	wh2_dlc11_effect_campaign_sacking_income_vampire_counts	wh_main_sc_vmp_vampire_counts
sacking_mod	wh2_dlc11_effect_campaign_sacking_income_wood_elves	wh_dlc05_sc_wef_wood_elves
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_sc_dae_daemons
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_sc_kho_khorne
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_sc_nur_nurgle
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_sc_sla_slaanesh
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh3_main_sc_tze_tzeentch
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh_dlc03_sc_bst_beastmen
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh_dlc08_sc_nor_norsca
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	wh_main_sc_chs_chaos
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vampire_coast	wh2_dlc11_sc_cst_vampire_coast
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	wh_main_sc_vmp_vampire_counts
diplomatic_mod	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	wh2_dlc09_sc_tmb_tomb_kings
diplomatic_mod	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	wh2_dlc11_sc_cst_vampire_coast
diplomatic_mod	wh2_dlc14_effect_diplomacy_vmp_cst_tmb	wh_main_sc_vmp_vampire_counts
diplomatic_mod	wh2_dlc15_effect_diplomacy_mod_high_elves_faction	wh2_main_sc_hef_high_elves
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh2_main_sc_hef_high_elves
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh2_main_sc_lzd_lizardmen
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh3_main_sc_ksl_kislev
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh_dlc05_sc_wef_wood_elves
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh_main_sc_brt_bretonnia
diplomatic_mod	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	wh_main_sc_dwf_dwarfs
