provincial_initiative_key	subculture	province	faction	always_include
#provincial_initiatives_to_subculture_junctions_tables;2;db/provincial_initiatives_to_subculture_junctions_tables/data__				
wh2_dlc09_edict_tmb_worship_of_asaph	wh2_dlc09_sc_tmb_tomb_kings			false
wh2_dlc09_edict_tmb_worship_of_djaf	wh2_dlc09_sc_tmb_tomb_kings			false
wh2_dlc09_edict_tmb_worship_of_khsar	wh2_dlc09_sc_tmb_tomb_kings			false
wh2_dlc09_edict_tmb_worship_of_phakth	wh2_dlc09_sc_tmb_tomb_kings			false
wh2_dlc09_edict_tmb_worship_of_ptra	wh2_dlc09_sc_tmb_tomb_kings			false
wh2_dlc11_edict_cst_bat_swarms	wh2_dlc11_sc_cst_vampire_coast			false
wh2_dlc11_edict_cst_dredge_the_sea	wh2_dlc11_sc_cst_vampire_coast			false
wh2_dlc11_edict_cst_even_more_powder	wh2_dlc11_sc_cst_vampire_coast			false
wh2_dlc11_edict_cst_share_the_spoils	wh2_dlc11_sc_cst_vampire_coast			false
wh2_main_edict_def_demand_hostages	wh2_main_sc_def_dark_elves			false
wh2_main_edict_def_enforce_tribute	wh2_main_sc_def_dark_elves			false
wh2_main_edict_def_increase_production	wh2_main_sc_def_dark_elves			false
wh2_main_edict_def_read_portents	wh2_main_sc_def_dark_elves			false
wh2_main_edict_def_sacrifices_for_khaine	wh2_main_sc_def_dark_elves			false
wh2_main_edict_hef_banish_corruption			wh2_dlc15_hef_imrik	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_avelorn	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_caledor	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_chrace	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_citadel_of_dusk	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_cothique	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_eataine	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_ellyrion	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_fortress_of_dawn	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_nagarythe	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_order_of_loremasters	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_saphery	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_tiranoc	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_tor_elasor	false
wh2_main_edict_hef_banish_corruption			wh2_main_hef_yvresse	false
wh2_main_edict_hef_banish_corruption			wh3_dlc27_hef_aislinn_confederation_owner	false
wh2_main_edict_hef_rally_citizen_militia			wh2_dlc15_hef_imrik	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_avelorn	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_caledor	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_chrace	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_citadel_of_dusk	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_cothique	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_eataine	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_ellyrion	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_fortress_of_dawn	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_nagarythe	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_order_of_loremasters	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_saphery	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_tiranoc	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_tor_elasor	false
wh2_main_edict_hef_rally_citizen_militia			wh2_main_hef_yvresse	false
wh2_main_edict_hef_rally_citizen_militia			wh3_dlc27_hef_aislinn_confederation_owner	false
wh2_main_edict_hef_reaver_patrols			wh2_dlc15_hef_imrik	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_avelorn	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_caledor	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_chrace	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_citadel_of_dusk	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_cothique	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_eataine	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_ellyrion	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_fortress_of_dawn	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_nagarythe	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_order_of_loremasters	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_saphery	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_tiranoc	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_tor_elasor	false
wh2_main_edict_hef_reaver_patrols			wh2_main_hef_yvresse	false
wh2_main_edict_hef_reaver_patrols			wh3_dlc27_hef_aislinn_confederation_owner	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_dlc15_hef_imrik	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_avelorn	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_caledor	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_chrace	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_citadel_of_dusk	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_cothique	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_eataine	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_ellyrion	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_fortress_of_dawn	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_nagarythe	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_order_of_loremasters	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_saphery	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_tiranoc	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_tor_elasor	false
wh2_main_edict_hef_rebuild_lost_splendour			wh2_main_hef_yvresse	false
wh2_main_edict_hef_rebuild_lost_splendour			wh3_dlc27_hef_aislinn_confederation_owner	false
wh2_main_edict_hef_tribute_for_the_king			wh2_dlc15_hef_imrik	false
wh2_main_edict_hef_tribute_for_the_king			wh2_main_hef_avelorn	false
wh2_main_edict_hef_tribute_for_the_king			wh2_main_hef_caledor	false
