faction_set	unit	upkeep_cost	recruitment_cost	name_group
#main_unit_faction_overrides_tables;2;db/main_unit_faction_overrides_tables/data__				
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_art_casket_of_souls_0	300	1200	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_art_screaming_skull_catapult_0	200	800	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_hexwraiths	370	1475	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_necropolis_knights_0	350	1400	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_necropolis_knights_1	365	1450	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_necropolis_knights_ror	425	1700	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	165	650	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	225	900	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_skeleton_horsemen_0	100	400	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	120	475	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_arkhan_0	225	0	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_arkhan_1	275	0	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_arkhan_2	300	0	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_death_0	75	300	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_death_1	125	500	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_light_0	75	300	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_light_1	125	500	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	75	300	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	125	500	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_shadow_0	75	300	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_liche_priest_shadow_1	125	500	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_necrotect_0	125	500	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_necrotect_1	212	850	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_king_0	237	900	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_king_1	275	1100	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_king_2	275	1150	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_king_3	525	2100	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_prince_0	150	600	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_prince_1	200	800	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_cha_tomb_prince_2	212	850	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_nehekhara_warriors_0	130	525	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_nehekhara_warriors_ror	240	950	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_skeleton_archers_0	105	425	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_skeleton_archers_ror	155	625	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_skeleton_spearmen_0	80	325	
wh3_dlc29_nag_host_of_nagash	wh2_dlc09_tmb_inf_skeleton_spearmen_ror	140	550	
