ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/data__	
wh2_dlc09_character_abilities_stay_here_ill_get_help	wh2_dlc09_skv_cha_tretch_craventail
wh2_dlc09_character_passive_tretchs_raiders	wh2_dlc09_skv_cha_tretch_craventail
wh2_main_character_abilities_verminous_valour	wh2_dlc09_skv_cha_tretch_craventail
wh2_main_unit_passive_scurry_away	wh2_dlc09_skv_cha_tretch_craventail
wh3_main_unit_passive_single_entity	wh2_dlc09_skv_cha_tretch_craventail
wh_main_character_abilities_stand_or_die	wh2_dlc09_skv_cha_tretch_craventail
wh2_dlc09_unit_passive_covenant_of_power	wh2_dlc09_tmb_art_casket_of_souls_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_art_casket_of_souls_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_art_casket_of_souls_0
wh3_main_unit_passive_single_entity	wh2_dlc09_tmb_art_casket_of_souls_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_art_screaming_skull_catapult_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_art_screaming_skull_catapult_0
wh_main_unit_passive_unstable	wh2_dlc09_tmb_cav_hexwraiths
wh_main_unit_passive_unstable_mark_ii	wh2_dlc09_tmb_cav_hexwraiths
wh3_dlc24_unit_passive_construct_instability	wh2_dlc09_tmb_cav_necropolis_knights_0
wh3_dlc24_unit_passive_construct_instability_ii	wh2_dlc09_tmb_cav_necropolis_knights_0
wh3_dlc24_unit_passive_construct_instability	wh2_dlc09_tmb_cav_necropolis_knights_1
wh3_dlc24_unit_passive_construct_instability_ii	wh2_dlc09_tmb_cav_necropolis_knights_1
wh3_dlc24_unit_passive_construct_instability	wh2_dlc09_tmb_cav_necropolis_knights_ror
wh3_dlc24_unit_passive_construct_instability_ii	wh2_dlc09_tmb_cav_necropolis_knights_ror
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh2_dlc09_tmb_cav_skeleton_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh2_dlc09_tmb_cav_skeleton_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh2_dlc09_tmb_cav_skeleton_horsemen_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cav_skeleton_horsemen_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cav_skeleton_horsemen_0
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_lord_abilities_the_liber_mortis	wh2_dlc09_tmb_cha_arkhan_0
wh2_dlc09_lord_passive_my_will_be_done	wh2_dlc09_tmb_cha_arkhan_0
wh2_dlc09_lord_passive_the_curse	wh2_dlc09_tmb_cha_arkhan_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cha_arkhan_0
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cha_arkhan_0
wh3_main_unit_passive_single_entity	wh2_dlc09_tmb_cha_arkhan_0
wh2_dlc09_lord_abilities_the_liber_mortis	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_lord_passive_my_will_be_done	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_lord_passive_the_curse	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_tmb_cha_arkhan_1
wh3_main_unit_passive_single_entity	wh2_dlc09_tmb_cha_arkhan_1
wh2_dlc09_lord_abilities_the_liber_mortis	wh2_dlc09_tmb_cha_arkhan_2
wh2_dlc09_lord_passive_my_will_be_done	wh2_dlc09_tmb_cha_arkhan_2
wh2_dlc09_lord_passive_the_curse	wh2_dlc09_tmb_cha_arkhan_2
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_tmb_cha_arkhan_2
