phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/data__			
wh2_dlc09_army_abilities_rictus_clanstone	stat_bonus_vs_large	32.0000	add
wh2_dlc09_character_abilities_curse_of_khsar	stat_armour	-60.0000	add
wh2_dlc09_character_abilities_stay_here_ill_get_help	stat_morale	16.0000	add
wh2_dlc09_character_abilities_strike_of_nagash	stat_melee_damage_base	1.9000	mult
wh2_dlc09_character_abilities_strike_of_nehekhara	stat_melee_attack	40.0000	add
wh2_dlc09_character_abilities_strike_of_nehekhara	stat_melee_damage_base	1.6000	mult
wh2_dlc09_character_abilities_strike_of_tombs	stat_melee_attack	24.0000	add
wh2_dlc09_character_abilities_strike_of_tombs	stat_melee_damage_base	1.3000	mult
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	stat_morale	16.0000	add
wh2_dlc09_character_abilities_tomb_king_rally	stat_morale	16.0000	add
wh2_dlc09_character_passive_blessing_of_asaph	scalar_missile_damage_ap	1.1500	mult
wh2_dlc09_character_passive_blessing_of_asaph	scalar_missile_damage_base	1.1500	mult
wh2_dlc09_character_passive_blessing_of_asaph	stat_reloading	15.0000	add
wh2_dlc09_character_passive_stone_shaper	stat_armour	15.0000	add
wh2_dlc09_character_passive_stone_shaper	stat_resistance_missile	10.0000	add
wh2_dlc09_character_passive_tretchs_raiders	stat_melee_attack	8.0000	add
wh2_dlc09_character_passive_tretchs_raiders	stat_melee_damage_ap	1.1200	mult
wh2_dlc09_character_passive_tretchs_raiders	stat_melee_damage_base	1.1200	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	scalar_missile_damage_ap	1.2000	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	scalar_missile_damage_base	1.2000	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	stat_reloading	25.0000	add
wh2_dlc09_character_passive_unyielding_will	stat_melee_attack	5.0000	add
wh2_dlc09_character_passive_unyielding_will	stat_melee_defence	5.0000	add
wh2_dlc09_character_passive_wrath_of_the_creator	stat_melee_attack	5.0000	add
wh2_dlc09_character_passive_wrath_of_the_creator	stat_melee_damage_ap	1.0600	mult
wh2_dlc09_item_abilities_amulet_of_phastah	stat_armour	-30.0000	add
wh2_dlc09_item_abilities_amulet_of_phastah	stat_missile_block_chance	-48.0000	add
wh2_dlc09_item_abilities_elixir_of_might	stat_melee_attack	24.0000	add
