faction	campaign	hint_profile_group_key
#cai_factions_to_hint_profile_groups_tables;2;db/cai_factions_to_hint_profile_groups_tables/data__		
wh3_dlc24_cth_the_celestial_court	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_burning_wind_nomads	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_celestial_loyalists	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_dissenter_lords_of_jinshen	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_imperial_wardens	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_rebel_lords_of_nan_yang	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_jade_custodians	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_northern_provinces	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_western_provinces	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_rogue_kurgan_warband	wh3_main_chaos	wh3_region_hint_profile_group_Chaos_vs_Cathay
