unit_upgrade	building_level
#unit_upgrade_to_building_level_requirements_tables;0;db/unit_upgrade_to_building_level_requirements_tables/data__	
wh3_dlc23_chd_iron_daemon_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_1magma_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_2dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_2
wh3_dlc23_chd_iron_daemon_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_add_1magma	wh3_dlc23_chd_military_war_machines_1
wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_1magma_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_2
wh3_dlc23_chd_iron_daemon_ror_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_iron_daemon_ror_add_1magma	wh3_dlc23_chd_military_war_machines_1
wh3_dlc23_chd_skullcracker_1deathshrieker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1deathshrieker_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1magma_1dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_1magma_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_2dreadquake_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_2dreadquake_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_2dreadquake_add_1magma	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_add_1deathshrieker	wh3_dlc23_chd_military_war_machines_2
wh3_dlc23_chd_skullcracker_add_1dreadquake	wh3_dlc23_chd_military_war_machines_3
wh3_dlc23_chd_skullcracker_add_1magma	wh3_dlc23_chd_military_war_machines_1
