level	cooking_recipe	chain_id	upgrade_resource_cost
#cooking_recipe_chains_tables;1;db/cooking_recipe_chains_tables/data__			
1	wh3_dlc27_recipe_mark_of_vindictiveness_down	wh3_dlc27_sla_marks_of_vindictiveness_bring_them_down	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_down_ii	wh3_dlc27_sla_marks_of_vindictiveness_bring_them_down	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_down_iii	wh3_dlc27_sla_marks_of_vindictiveness_bring_them_down	
1	wh3_dlc27_recipe_mark_of_vindictiveness_denial	wh3_dlc27_sla_marks_of_vindictiveness_coy_denial	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_denial_ii	wh3_dlc27_sla_marks_of_vindictiveness_coy_denial	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_denial_iii	wh3_dlc27_sla_marks_of_vindictiveness_coy_denial	
1	wh3_dlc27_recipe_mark_of_vindictiveness_pain	wh3_dlc27_sla_marks_of_vindictiveness_ecstasy_of_pain	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_pain_ii	wh3_dlc27_sla_marks_of_vindictiveness_ecstasy_of_pain	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_pain_iii	wh3_dlc27_sla_marks_of_vindictiveness_ecstasy_of_pain	
1	wh3_dlc27_recipe_mark_of_vindictiveness_sensation	wh3_dlc27_sla_marks_of_vindictiveness_envigorating_sensation	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_sensation_ii	wh3_dlc27_sla_marks_of_vindictiveness_envigorating_sensation	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_sensation_iii	wh3_dlc27_sla_marks_of_vindictiveness_envigorating_sensation	
1	wh3_dlc27_recipe_mark_of_vindictiveness_excess	wh3_dlc27_sla_marks_of_vindictiveness_explosive_excess	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
2	wh3_dlc27_recipe_mark_of_vindictiveness_excess_ii	wh3_dlc27_sla_marks_of_vindictiveness_explosive_excess	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_3
3	wh3_dlc27_recipe_mark_of_vindictiveness_excess_iii	wh3_dlc27_sla_marks_of_vindictiveness_explosive_excess	
1	wh3_dlc27_recipe_mark_of_vindictiveness_rapture	wh3_dlc27_sla_marks_of_vindictiveness_fearful_rapture	wh3_dlc27_sla_marks_upgrade_thralls_cost_level_2
