id	set_id	culture	faction	sub_culture	campaign
#building_chain_availabilities_tables;1;db/building_chain_availabilities_tables/data__					
112356956	wh3_main_pro_bas_nor	wh_dlc08_nor_norsca	wh3_prologue_the_kvelligs		wh3_main_prologue
1215385706	wh3_main_bas_nur	wh3_main_nur_nurgle			
1375778909	wh3_main_pro_bas_ksl	wh3_main_pro_ksl_kislev			wh3_main_prologue
1541268707	wh3_main_pro_bas_nor	wh_dlc08_nor_norsca	wh3_prologue_the_tahmaks		wh3_main_prologue
1641061189	wh3_main_pro_bas_kho	wh3_main_kho_khorne		wh3_main_pro_sc_kho_khorne	wh3_main_prologue
1661913110	wh2_dlc09_bas_tmb	wh2_dlc09_tmb_tomb_kings		wh2_dlc09_sc_tmb_tomb_kings	
170687291	wh3_main_bas_tze	wh3_main_tze_tzeentch			
1841465208	wh_dlc11_bas_cst	wh2_dlc11_cst_vampire_coast		wh2_dlc11_sc_cst_vampire_coast	
1922831596	wh2_dlc13_bas_lzd	wh2_main_lzd_lizardmen	wh2_dlc13_lzd_spirits_of_the_jungle	wh2_main_sc_lzd_lizardmen	
538674140	wh3_main_bas_kho	wh3_main_kho_khorne			
560861543	wh3_main_bas_ksl	wh3_main_ksl_kislev			
5866	wh_main_bas_grn	wh_main_grn_greenskins		wh_main_sc_grn_greenskins	
5889	wh_main_bas_emp	wh_main_emp_empire		wh_main_sc_emp_empire	
5918	wh_main_bas_dwf	wh_main_dwf_dwarfs		wh_main_sc_dwf_dwarfs	
5949	wh_main_bas_chs	wh_main_chs_chaos		wh_main_sc_chs_chaos	
5980	wh_main_bas_vmp	wh_main_vmp_vampire_counts		wh_main_sc_vmp_vampire_counts	
6014	wh_main_bas_nor	wh_dlc08_nor_norsca		wh_dlc08_sc_nor_norsca	
6042	wh_main_bas_teb	wh_main_emp_empire		wh_main_sc_teb_teb	
6066	wh_main_bas_brt	wh_main_brt_bretonnia		wh_main_sc_brt_bretonnia	
6072	wh_main_bas_orc	wh_main_grn_greenskins		wh_main_sc_grn_greenskins	
6077	wh_main_bas_gob	wh_main_grn_greenskins		wh_main_sc_grn_greenskins	
6081	wh_main_bas_savorc	wh_main_grn_greenskins		wh_main_sc_grn_savage_orcs	
6091	wh_dlc03_bas_bst	wh_dlc03_bst_beastmen		wh_dlc03_sc_bst_beastmen	
6175	wh_dlc05_bas_wef	wh_dlc05_wef_wood_elves		wh_dlc05_sc_wef_wood_elves	
619043271	wh3_main_bas_dae	wh3_main_dae_daemons			
6256	wh2_main_bas_hef	wh2_main_hef_high_elves		wh2_main_sc_hef_high_elves	
6268	wh2_main_bas_def	wh2_main_def_dark_elves		wh2_main_sc_def_dark_elves	
6274	wh2_main_bas_lzd	wh2_main_lzd_lizardmen		wh2_main_sc_lzd_lizardmen	
6276	wh2_main_bas_skv	wh2_main_skv_skaven		wh2_main_sc_skv_skaven	
6420	wh2_main_bas_rogue	wh2_main_rogue			
692225998	wh3_main_bas_cth	wh3_main_cth_cathay			
78997386	wh3_main_bas_sla	wh3_main_sla_slaanesh			
829184937	everyone				
84237168	wh3_main_pro_bas_nor	wh_dlc08_nor_norsca	wh3_prologue_great_eagle_tribe		wh3_main_prologue
936744282	wh2_dlc13_bas_dgp	wh2_main_lzd_lizardmen	wh2_dlc13_lzd_defenders_of_the_great_plan	wh2_main_sc_lzd_lizardmen	
946160440	wh3_dl23_bas_chd	wh3_dlc23_chd_chaos_dwarfs			
953913420	wh3_main_bas_ogr	wh3_main_ogr_ogre_kingdoms			
