key	effect_bundle	faction_set
#faction_set_effect_bundles_tables;0;db/faction_set_effect_bundles_tables/data__		
wh2_dlc17_plague_beastmen_force_1	wh2_main_bundle_plague_norsca_chs_force	plague_effect_set_beastmen_positive
wh2_dlc17_plague_beastmen_force_2	wh2_main_bundle_plague_norsca_all_force	plague_effect_set_beastmen_negative
wh2_dlc17_plague_beastmen_settlement_1	wh2_main_bundle_plague_norsca_chs_region	plague_effect_set_beastmen_positive
wh2_dlc17_plague_beastmen_settlement_2	wh2_main_bundle_plague_norsca_all_region	plague_effect_set_beastmen_negative
wh2_main_plague_skaven_force_1	wh2_main_bundle_plague_skaven_skv_force_pestilens	plague_effect_set_skaven_positive
wh2_main_plague_skaven_force_2	wh2_main_bundle_plague_skaven_all_force	plague_effect_set_skaven_negative
wh2_main_plague_skaven_settlement_1	wh2_main_bundle_plague_skaven_skv_pestilens	plague_effect_set_skaven_positive
wh2_main_plague_skaven_settlement_2	wh2_main_bundle_plague_skaven_all	plague_effect_set_skaven_negative
wh3_dlc25_nur_base_hidden_epidemius_force	wh3_dlc25_nur_base_hidden_epidemius_force	plague_effect_set_nurgle_negative
wh3_dlc25_nur_base_hidden_epidemius_region	wh3_dlc25_nur_base_hidden_epidemius_region	plague_effect_set_nurgle_negative
wh3_dlc25_nur_base_hidden_positive_force	wh3_dlc25_nur_base_hidden_positive_force	plague_effect_set_nurgle_positive
wh3_dlc25_nur_base_hidden_positive_region	wh3_dlc25_nur_base_hidden_positive_region	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_1_negative	wh3_dlc25_nur_battle_1_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_1_negative_blessed	wh3_dlc25_nur_battle_1_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_1_positive	wh3_dlc25_nur_battle_1_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_1_positive_blessed	wh3_dlc25_nur_battle_1_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_2_negative	wh3_dlc25_nur_battle_2_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_2_negative_blessed	wh3_dlc25_nur_battle_2_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_2_positive	wh3_dlc25_nur_battle_2_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_2_positive_blessed	wh3_dlc25_nur_battle_2_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_3_negative	wh3_dlc25_nur_battle_3_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_3_negative_blessed	wh3_dlc25_nur_battle_3_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_3_positive	wh3_dlc25_nur_battle_3_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_3_positive_blessed	wh3_dlc25_nur_battle_3_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_4_negative	wh3_dlc25_nur_battle_4_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_4_negative_blessed	wh3_dlc25_nur_battle_4_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_4_positive	wh3_dlc25_nur_battle_4_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_4_positive_blessed	wh3_dlc25_nur_battle_4_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_5_negative	wh3_dlc25_nur_battle_5_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_5_negative_blessed	wh3_dlc25_nur_battle_5_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_5_positive	wh3_dlc25_nur_battle_5_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_5_positive_blessed	wh3_dlc25_nur_battle_5_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_6_negative	wh3_dlc25_nur_battle_6_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_6_negative_blessed	wh3_dlc25_nur_battle_6_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_6_positive	wh3_dlc25_nur_battle_6_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_6_positive_blessed	wh3_dlc25_nur_battle_6_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_7_negative	wh3_dlc25_nur_battle_7_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_7_negative_blessed	wh3_dlc25_nur_battle_7_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_battle_7_positive	wh3_dlc25_nur_battle_7_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_battle_7_positive_blessed	wh3_dlc25_nur_battle_7_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_1_negative	wh3_dlc25_nur_force_1_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_1_negative_blessed	wh3_dlc25_nur_force_1_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_1_positive	wh3_dlc25_nur_force_1_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_1_positive_blessed	wh3_dlc25_nur_force_1_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_2_negative	wh3_dlc25_nur_force_2_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_2_negative_blessed	wh3_dlc25_nur_force_2_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_2_positive	wh3_dlc25_nur_force_2_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_2_positive_blessed	wh3_dlc25_nur_force_2_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_3_negative	wh3_dlc25_nur_force_3_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_3_negative_blessed	wh3_dlc25_nur_force_3_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_3_positive	wh3_dlc25_nur_force_3_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_3_positive_blessed	wh3_dlc25_nur_force_3_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_4_negative	wh3_dlc25_nur_force_4_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_4_negative_blessed	wh3_dlc25_nur_force_4_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_4_positive	wh3_dlc25_nur_force_4_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_4_positive_blessed	wh3_dlc25_nur_force_4_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_5_festus_positive	wh3_dlc25_nur_force_5_festus_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_5_festus_positive_blessed	wh3_dlc25_nur_force_5_festus_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_5_negative	wh3_dlc25_nur_force_5_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_5_negative_blessed	wh3_dlc25_nur_force_5_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_5_positive	wh3_dlc25_nur_force_5_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_5_positive_blessed	wh3_dlc25_nur_force_5_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_6_negative	wh3_dlc25_nur_force_6_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_6_negative_blessed	wh3_dlc25_nur_force_6_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_force_6_positive	wh3_dlc25_nur_force_6_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_force_6_positive_blessed	wh3_dlc25_nur_force_6_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_1_force_negative	wh3_dlc25_nur_random_plague_1_force_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_1_force_positive	wh3_dlc25_nur_random_plague_1_force_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_1_settlement_negative	wh3_dlc25_nur_random_plague_1_settlement_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_1_settlement_positive	wh3_dlc25_nur_random_plague_1_settlement_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_2_force_negative	wh3_dlc25_nur_random_plague_2_force_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_2_force_positive	wh3_dlc25_nur_random_plague_2_force_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_2_settlement_negative	wh3_dlc25_nur_random_plague_2_settlement_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_2_settlement_positive	wh3_dlc25_nur_random_plague_2_settlement_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_3_force_negative	wh3_dlc25_nur_random_plague_3_force_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_3_force_positive	wh3_dlc25_nur_random_plague_3_force_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_3_settlement_negative	wh3_dlc25_nur_random_plague_3_settlement_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_3_settlement_positive	wh3_dlc25_nur_random_plague_3_settlement_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_4_force_negative	wh3_dlc25_nur_random_plague_4_force_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_4_force_positive	wh3_dlc25_nur_random_plague_4_force_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_4_settlement_negative	wh3_dlc25_nur_random_plague_4_settlement_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_4_settlement_positive	wh3_dlc25_nur_random_plague_4_settlement_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_5_force_negative	wh3_dlc25_nur_random_plague_5_force_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_5_force_positive	wh3_dlc25_nur_random_plague_5_force_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_random_plague_5_settlement_negative	wh3_dlc25_nur_random_plague_5_settlement_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_random_plague_5_settlement_positive	wh3_dlc25_nur_random_plague_5_settlement_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_1_negative	wh3_dlc25_nur_settlement_1_negative	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_1_negative_blessed	wh3_dlc25_nur_settlement_1_negative_blessed	plague_effect_set_nurgle_negative
wh3_dlc25_nur_settlement_1_positive	wh3_dlc25_nur_settlement_1_positive	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_1_positive_blessed	wh3_dlc25_nur_settlement_1_positive_blessed	plague_effect_set_nurgle_positive
wh3_dlc25_nur_settlement_2_negative	wh3_dlc25_nur_settlement_2_negative	plague_effect_set_nurgle_negative
