colour	colour_profile	colour_hex
#ui_colour_profile_colour_overrides_tables;0;db/ui_colour_profile_colour_overrides_tables/data__		
alliance_ally	deuteranopia	364099
alliance_enemy	deuteranopia	B34E30
alliance_player	deuteranopia	CEABCB
dip_attitude_0	deuteranopia	B34E30
dip_attitude_1	deuteranopia	B34E30
dip_attitude_2	deuteranopia	B34E30
dip_attitude_3	deuteranopia	364099
dip_attitude_4	deuteranopia	CEABCB
dip_attitude_5	deuteranopia	CEABCB
dip_attitude_6	deuteranopia	CEB5CB
fatigue_active	deuteranopia	CEABCB
fatigue_exhausted	deuteranopia	B34E30
fatigue_fresh	deuteranopia	CEABCB
fatigue_tired	deuteranopia	B34E30
fatigue_very_tired	deuteranopia	B34E30
fatigue_winded	deuteranopia	364099
green	deuteranopia	CEABCB
morale_broken	deuteranopia	000000
morale_confident	deuteranopia	CEABCB
morale_eager	deuteranopia	CEABCB
morale_impetuous	deuteranopia	CEABCB
morale_shaken	deuteranopia	B34E30
morale_shattered	deuteranopia	000000
morale_steady	deuteranopia	CEABCB
morale_wavering	deuteranopia	B34E30
red	deuteranopia	B34E30
team_colour_ally_1	deuteranopia	9255FF
team_colour_ally_5	deuteranopia	9200FF
team_colour_ally_6	deuteranopia	9246FF
team_colour_ffa_3	deuteranopia	A80200
threat_high	deuteranopia	B34E30
threat_low	deuteranopia	B34E30
alliance_ally	protanopia	508EF5
alliance_enemy	protanopia	7E7556
alliance_player	protanopia	CEB501
dip_attitude_0	protanopia	7E7556
dip_attitude_1	protanopia	7E7556
dip_attitude_2	protanopia	7E7556
dip_attitude_3	protanopia	508EF5
dip_attitude_4	protanopia	CEB501
dip_attitude_5	protanopia	CEB501
dip_attitude_6	protanopia	CEB501
fatigue_active	protanopia	CEB501
fatigue_exhausted	protanopia	7E7556
fatigue_fresh	protanopia	CEB501
fatigue_tired	protanopia	7E7556
fatigue_very_tired	protanopia	7E7556
fatigue_winded	protanopia	508EF5
green	protanopia	CEB501
morale_confident	protanopia	CEB501
morale_eager	protanopia	CEB501
morale_impetuous	protanopia	CEB501
morale_shaken	protanopia	7E7556
morale_steady	protanopia	CEB501
morale_wavering	protanopia	7E7556
orange	protanopia	CE9A29
red	protanopia	7E7556
team_colour_ally_1	protanopia	9255FF
team_colour_ally_5	protanopia	9200FF
team_colour_ally_6	protanopia	9246FF
threat_high	protanopia	F82D00
threat_low	protanopia	09FF00
threat_medium	protanopia	CE9A29
alliance_ally	tritanopia	029AAF
alliance_enemy	tritanopia	CE464A
alliance_player	tritanopia	6FC2D4
dip_attitude_0	tritanopia	CE464A
dip_attitude_1	tritanopia	CE464A
dip_attitude_2	tritanopia	CE464A
dip_attitude_3	tritanopia	029AAF
dip_attitude_4	tritanopia	6FC2D4
dip_attitude_5	tritanopia	6FC2D4
dip_attitude_6	tritanopia	6FC2D4
fatigue_active	tritanopia	6FC2D4
fatigue_exhausted	tritanopia	CE464A
fatigue_fresh	tritanopia	6FC2D4
fatigue_tired	tritanopia	CE464A
fatigue_very_tired	tritanopia	CE464A
fatigue_winded	tritanopia	029AAF
green	tritanopia	6FC2D4
morale_confident	tritanopia	6FC2D4
morale_eager	tritanopia	6FC2D4
morale_impetuous	tritanopia	6FC2D4
morale_shaken	tritanopia	CE464A
morale_steady	tritanopia	6FC2D4
morale_wavering	tritanopia	CE464A
red	tritanopia	CE464A
threat_high	tritanopia	CE464A
threat_low	tritanopia	7E7556
