item_type	currency_type	cost_value
#battle_currency_buildings_cost_values_tables;0;db/battle_currency_buildings_cost_values_tables/data__		
blk_barricade_frost_pillar_01	supplies_currency	300.0000
blk_barricade_frostbite_01	supplies_currency	250.0000
blk_barricade_ice_01	supplies_currency	250.0000
blk_barricade_ice_block_01	supplies_currency	500.0000
blk_barricade_icicles_01	supplies_currency	450.0000
blk_barricade_sheet_of_ice_01	supplies_currency	350.0000
blk_ksl_tower_30m_01	supplies_currency	500.0000
blk_ksl_tower_30m_02	supplies_currency	1250.0000
blk_ksl_tower_30m_03	supplies_currency	1250.0000
blk_ksl_tower_30m_04	supplies_currency	1000.0000
brt_barricade_blocker_01	supplies_currency	500.0000
brt_barricade_monument_01	supplies_currency	400.0000
brt_barricade_platform_01	supplies_currency	300.0000
brt_barricade_trap_01	supplies_currency	400.0000
brt_tower_placement_01	supplies_currency	500.0000
brt_tower_placement_02	supplies_currency	900.0000
brt_tower_placement_03	supplies_currency	1400.0000
brt_tower_placement_04	supplies_currency	2000.0000
bst_barricade_blocker_01	supplies_currency	500.0000
bst_barricade_monument_01	supplies_currency	400.0000
bst_barricade_platform_01	supplies_currency	300.0000
bst_barricade_trap_01	supplies_currency	400.0000
bst_tower_placement_01	supplies_currency	500.0000
bst_tower_placement_02	supplies_currency	900.0000
bst_tower_placement_03	supplies_currency	1400.0000
bst_tower_placement_04	supplies_currency	2000.0000
chd_barricade_01	supplies_currency	300.0000
chd_barricade_blocker_01	supplies_currency	500.0000
chd_barricade_monument_01	supplies_currency	400.0000
chd_barricade_platform_01	supplies_currency	300.0000
chd_barricade_trap_01	supplies_currency	400.0000
chd_tower_placement_01	supplies_currency	400.0000
chd_tower_placement_02	supplies_currency	500.0000
chd_tower_placement_03	supplies_currency	900.0000
chd_tower_placement_04	supplies_currency	1400.0000
chs_barricade_blocker_01	supplies_currency	500.0000
chs_barricade_monument_01	supplies_currency	400.0000
chs_barricade_platform_01	supplies_currency	300.0000
chs_barricade_trap_01	supplies_currency	400.0000
chs_barricade_trap_02	supplies_currency	400.0000
chs_tower_placement_01	supplies_currency	500.0000
chs_tower_placement_02	supplies_currency	900.0000
chs_tower_placement_03	supplies_currency	1400.0000
chs_tower_placement_04	supplies_currency	2000.0000
cst_barricade_blocker_01	supplies_currency	500.0000
cst_barricade_monument_01	supplies_currency	400.0000
cst_barricade_platform_01	supplies_currency	300.0000
cst_barricade_trap_01	supplies_currency	400.0000
cst_tower_placement_01	supplies_currency	500.0000
cst_tower_placement_02	supplies_currency	900.0000
cst_tower_placement_03	supplies_currency	1400.0000
cst_tower_placement_04	supplies_currency	2000.0000
cth_barricade_blocker_01	supplies_currency	500.0000
cth_barricade_monument_01	supplies_currency	400.0000
cth_barricade_platform_01	supplies_currency	300.0000
cth_barricade_trap_01	supplies_currency	400.0000
cth_tower_placement_01	supplies_currency	500.0000
cth_tower_placement_02	supplies_currency	900.0000
cth_tower_placement_03	supplies_currency	1400.0000
cth_tower_placement_04	supplies_currency	2000.0000
def_barricade_blocker_01	supplies_currency	500.0000
def_barricade_monument_01	supplies_currency	400.0000
