ancillary_lock	character_skill_node
#character_skill_node_ancillary_locks_tables;0;db/character_skill_node_ancillary_locks_tables/data__	
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_2
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_3_1
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_3_2
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_3_3
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_3_4
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh2_dlc15_skill_node_hef_eltharion_high_magic_4
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_01
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_02
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_03
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_04
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_05
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_06
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_07
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_08
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_09
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_10
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh_main_skill_node_grn_azhag_magic1_11
