technology	required_technology
#technology_required_technology_junctions_tables;0;db/technology_required_technology_junctions_tables/data__	
tech_dlc14_brt_chivalry_tomb_kings_2	wh2_dlc12_tech_brt_chivalry_start
tech_dlc14_brt_heraldry_oversea_repanse	wh_dlc07_tech_brt_heraldry_start
wh2_dlc11_tech_brt_chivalry_vampire_coast_1	wh2_dlc12_tech_brt_chivalry_start
wh2_dlc11_tech_cst_admirals_01	wh2_dlc11_tech_cst_admirals_00
wh2_dlc11_tech_cst_admirals_02	wh2_dlc11_tech_cst_admirals_00
wh2_dlc11_tech_cst_admirals_03	wh2_dlc11_tech_cst_admirals_00
wh2_dlc11_tech_cst_admirals_04	wh2_dlc11_tech_cst_admirals_00
wh2_dlc11_tech_cst_command_01	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_02	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_03	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_04	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_05	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_06	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_07	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_08	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_09	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_10	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_11	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_command_12	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_firearms_01	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_02	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_03	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_04	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_05	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_06	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_07	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_08	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_firearms_09	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_piracy_00	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_piracy_01	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_piracy_02	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_piracy_03	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_piracy_05	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_piracy_06	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_piracy_13	wh2_dlc11_tech_cst_firearms_00
wh2_dlc11_tech_cst_piracy_14	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_vampiric_01	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_02	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_03	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_04	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_05	wh2_dlc11_tech_cst_command_00
wh2_dlc11_tech_cst_vampiric_06	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_07	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_08	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_09	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_10	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_11	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc11_tech_cst_vampiric_12	wh2_dlc11_tech_cst_vampiric_00
wh2_dlc12_tech_brt_heraldry_oversea_men	wh_dlc07_tech_brt_heraldry_start
