prefab_type	culture	value
#prefab_types_tables;3;db/prefab_types_tables/data__		
ABANDONED		15
BASE		1
BEASTMEN	wh_dlc03_bst_beastmen	7
BRETONNIA	wh_main_brt_bretonnia	8
BUILDING_BASE		2
BUILDING_CONSTRUCTION		3
BUILDING_DAMAGED		4
BUILDING_DESTROYED		5
BUILDING_ON_SEA		27
BUILDING_PORT		6
BUILDING_WALLED		16
BUILDING_WALLED_PORT		17
CATHAY	wh3_main_cth_cathay	33
CHAOS	wh_main_chs_chaos	9
DAEMONS	wh3_main_dae_daemons	32
DARKELVES	wh2_main_def_dark_elves	18
DWARFS	wh_main_dwf_dwarfs	10
EMPIRE	wh_main_emp_empire	11
GREENSKINS	wh_main_grn_greenskins	12
HIGHELVES	wh2_main_hef_high_elves	19
KHORNE	wh3_main_kho_khorne	28
KISLEV	wh3_main_ksl_kislev	24
KISLEV_PROLOGUE	wh3_main_pro_ksl_kislev	24
LIZARDMEN	wh2_main_lzd_lizardmen	20
NONE	*	0
NORSCA	wh_dlc08_nor_norsca	34
NURGLE	wh3_main_nur_nurgle	30
OGRE_KINGDOMS	wh3_main_ogr_ogre_kingdoms	25
ROGUE_ARMIES	wh2_main_rogue	23
SKAVEN	wh2_main_skv_skaven	21
SLAANESH	wh3_main_sla_slaanesh	31
TOMB_KINGS	wh2_dlc09_tmb_tomb_kings	22
TZEENTCH	wh3_main_tze_tzeentch	29
VAMPIRE	wh_main_vmp_vampire_counts	13
VAMPIRE_COAST	wh2_dlc11_cst_vampire_coast	26
WOODELVES	wh_dlc05_wef_wood_elves	14
