ingredient_group	recipe	primary
#cooking_recipe_required_ingredient_groups_tables;0;db/cooking_recipe_required_ingredient_groups_tables/data__		
wh2_dlc15_mushrooms	wh2_dlc15_food_dish_10	true
wh2_dlc15_slimes	wh2_dlc15_food_dish_10	true
wh2_dlc15_animals	wh2_dlc15_food_dish_1	true
wh2_dlc15_birds	wh2_dlc15_food_dish_1	true
wh2_dlc15_birds	wh2_dlc15_food_dish_2	true
wh2_dlc15_fishes	wh2_dlc15_food_dish_2	true
wh2_dlc15_birds	wh2_dlc15_food_dish_3	true
wh2_dlc15_mushrooms	wh2_dlc15_food_dish_3	true
wh2_dlc15_birds	wh2_dlc15_food_dish_4	true
wh2_dlc15_slimes	wh2_dlc15_food_dish_4	true
wh2_dlc15_animals	wh2_dlc15_food_dish_5	true
wh2_dlc15_fishes	wh2_dlc15_food_dish_5	true
wh2_dlc15_animals	wh2_dlc15_food_dish_6	true
wh2_dlc15_mushrooms	wh2_dlc15_food_dish_6	true
wh2_dlc15_animals	wh2_dlc15_food_dish_7	true
wh2_dlc15_slimes	wh2_dlc15_food_dish_7	true
wh2_dlc15_fishes	wh2_dlc15_food_dish_8	true
wh2_dlc15_mushrooms	wh2_dlc15_food_dish_8	true
wh2_dlc15_fishes	wh2_dlc15_food_dish_9	true
wh2_dlc15_slimes	wh2_dlc15_food_dish_9	true
wh2_dlc15_animals	wh2_dlc15_food_special_dish_1	true
wh2_dlc15_fishes	wh2_dlc15_food_special_dish_1	true
wh2_dlc15_animals	wh2_dlc15_food_special_dish_2	true
wh2_dlc15_mushrooms	wh2_dlc15_food_special_dish_2	true
wh2_dlc15_animals	wh2_dlc15_food_special_dish_3	true
wh2_dlc15_slimes	wh2_dlc15_food_special_dish_3	true
wh2_dlc15_birds	wh2_dlc15_food_special_dish_4	true
wh2_dlc15_fishes	wh2_dlc15_food_special_dish_4	true
wh2_dlc15_animals	wh2_dlc15_food_special_dish_5	true
wh2_dlc15_mushrooms	wh2_dlc15_food_special_dish_5	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_agonys_succession	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_agonys_succession	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_bears_bulwark	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_bears_bulwark	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_craven_scent	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_craven_scent	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_deadeyes_sting	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_deadeyes_sting	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_ember_dread	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_ember_dread	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_entropous	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_entropous	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_fragmentii	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_fragmentii	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_frostwyverns_toil	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_frostwyverns_toil	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_gait_of_thorns	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_gait_of_thorns	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_hags_denial	true
wh3_dlc24_ingredient_group_stone	wh3_dlc24_recipe_hags_denial	true
wh3_dlc24_ingredient_group_bones	wh3_dlc24_recipe_harrowing_coil	true
wh3_dlc24_ingredient_group_wood	wh3_dlc24_recipe_harrowing_coil	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_hushed_cast	true
wh3_dlc24_ingredient_group_teeth	wh3_dlc24_recipe_hushed_cast	true
wh3_dlc24_ingredient_group_horns	wh3_dlc24_recipe_incarnates_wrath	true
wh3_dlc24_ingredient_group_skulls	wh3_dlc24_recipe_incarnates_wrath	true
