agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/data__	
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_arcane_item_staff_of_nagash
wh2_dlc09_tmb_khatep	wh2_dlc09_anc_arcane_item_the_liche_staff
wh2_dlc09_skv_tretch_craventail	wh2_dlc09_anc_enchanted_item_lucky_skullhelm
wh2_dlc09_tmb_settra	wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_mount_tmb_arkhan_skeletal_steed
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_mount_tmb_arkhan_skeleton_chariot
wh2_dlc09_tmb_khalida	wh2_dlc09_anc_mount_tmb_khalida_necroserpent
wh2_dlc09_tmb_khalida	wh2_dlc09_anc_mount_tmb_khalida_skeleton_chariot
wh2_dlc09_tmb_khatep	wh2_dlc09_anc_mount_tmb_khatep_casket_of_souls
wh2_dlc09_tmb_khatep	wh2_dlc09_anc_mount_tmb_khatep_skeletal_steed
wh2_dlc09_tmb_khatep	wh2_dlc09_anc_mount_tmb_khatep_skeleton_chariot
wh2_dlc09_tmb_liche_priest_death	wh2_dlc09_anc_mount_tmb_liche_priest_death_skeletal_steed
wh2_dlc09_tmb_liche_priest_light	wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed
wh2_dlc09_tmb_liche_priest_nehekhara	wh2_dlc09_anc_mount_tmb_liche_priest_nehekhara_skeletal_steed
wh2_dlc09_tmb_liche_priest_shadow	wh2_dlc09_anc_mount_tmb_liche_priest_shadow_skeletal_steed
wh2_dlc09_tmb_necrotect	wh2_dlc09_anc_mount_tmb_necrotect_skeleton_chariot
wh2_dlc09_tmb_settra	wh2_dlc09_anc_mount_tmb_settra_chariot_of_the_gods
wh2_dlc09_tmb_settra	wh2_dlc09_anc_mount_tmb_settra_khemrian_warsphinx
wh2_dlc09_tmb_settra	wh2_dlc09_anc_mount_tmb_settra_skeletal_steed
wh2_dlc09_tmb_tomb_king	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king_alkhazzar_ii	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king_lahmizzash	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
wh2_dlc09_tmb_tomb_king_rakhash	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
