item_type	currency_type	cost_value
#battle_currency_army_special_abilities_group_upgrades_cost_values_tables;0;db/battle_currency_army_special_abilities_group_upgrades_cost_values_tables/data__		
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	supplies_currency	150.0000
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	supplies_currency	300.0000
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_3	supplies_currency	450.0000
wh3_pro10_army_abilities_inevitable_fate_upgrade_1	supplies_currency	250.0000
wh3_pro10_army_abilities_inevitable_fate_upgrade_2	supplies_currency	500.0000
wh3_pro10_army_abilities_inevitable_fate_upgrade_3	supplies_currency	750.0000
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	supplies_currency	200.0000
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	supplies_currency	400.0000
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_3	supplies_currency	600.0000
