token_set	payload	component_type	chance_to_add_token	min_number_of_tokens_added	max_number_of_tokens_added
#campaign_payload_chaotic_plan_token_adding_components_tables;1;db/campaign_payload_chaotic_plan_token_adding_components_tables/data__					
wh3_dlc29_action_economic_dangerous_treasury	wh3_dlc29_action_economic_dangerous_treasury_select	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_action_economic_dangerous_warpstone	wh3_dlc29_action_economic_dangerous_warpstone_select	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_action_military_reinforcements	wh3_dlc29_action_military_reinforcements_select	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_any_action_basic_diversion_generated_high	draw_token_from_set	7000	0	1
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_any_action_basic_diversion_generated_low	draw_token_from_set	3500	0	1
wh3_dlc29_any_action_draw_warlock_negative	wh3_dlc29_any_action_draw_warlock_negative_low_chance	draw_token_from_set	2000	0	1
wh3_dlc29_any_action_draw_warlock_negative	wh3_dlc29_any_action_draw_warlock_negative	draw_token_from_set	6000	0	1
wh3_dlc29_any_red_attention_generated	wh3_dlc29_any_red_attention_generated_chance_on_token	draw_token_from_set	3500	0	1
wh3_dlc29_any_red_attention_generated	wh3_dlc29_any_red_attention_generated_chance	draw_token_from_set	3500	0	1
wh3_dlc29_draw_bounty	wh3_dlc29_draw_bounty	draw_token_from_set	1000	0	1
wh3_dlc29_military_green_death_globe_bombadiers_1	wh3_dlc29_draw_death_globe_bombadiers_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_doom_flayer_dlc_1	wh3_dlc29_draw_doom_flayer_dlc_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_doomwheel_1	wh3_dlc29_draw_doomwheel_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_poison_wind_globadiers_1	wh3_dlc29_draw_poison_wind_globadiers_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_poison_wind_mortars_1	wh3_dlc29_draw_poison_wind_mortars_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_draw_skryre_ratling_guns_dlc_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_skryre_stormfiends_ratling_1	wh3_dlc29_draw_skryre_stormfiends_ratling_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_skryre_stormfiends_warpfire_1	wh3_dlc29_draw_skryre_stormfiends_warpfire_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_skryre_stormfiends_windlauncher_1	wh3_dlc29_draw_skryre_stormfiends_windlauncher_1	draw_token_from_set	2500	0	1
wh3_dlc29_economic_green_skryre_treasury_1	wh3_dlc29_draw_skryre_treasury_1	draw_token_from_set	1500	0	1
wh3_dlc29_economic_green_skryre_treasury_2	wh3_dlc29_draw_skryre_treasury_2	draw_token_from_set	1500	0	1
wh3_dlc29_economic_green_skryre_treasury_3	wh3_dlc29_draw_skryre_treasury_3	draw_token_from_set	1500	0	1
wh3_dlc29_military_green_skryre_warpfire_throwers_1	wh3_dlc29_draw_skryre_warpfire_throwers_1	draw_token_from_set	2500	0	1
wh3_dlc29_economic_green_skryre_warpstone_1	wh3_dlc29_draw_skryre_warpstone_1	draw_token_from_set	1500	0	1
wh3_dlc29_economic_green_skryre_warpstone_2	wh3_dlc29_draw_skryre_warpstone_2	draw_token_from_set	1500	0	1
wh3_dlc29_economic_green_skryre_warpstone_3	wh3_dlc29_draw_skryre_warpstone_3	draw_token_from_set	1500	0	1
wh3_dlc29_purple_economic_vault_1	wh3_dlc29_draw_vault	draw_token_from_set	1000	0	1
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_draw_warp_lightning_cannon_1	draw_token_from_set	2500	0	1
wh3_dlc29_military_green_warplock_jezzails_dlc_1	wh3_dlc29_draw_warplock_jezzails_dlc_1	draw_token_from_set	2500	0	1
wh3_dlc29_economic_action_draw_assassin	wh3_dlc29_economic_action_draw_assassin	draw_token_from_set_filtered_positive_pool	10000	1	1
wh3_dlc29_economic_action_draw_warlock	wh3_dlc29_economic_action_draw_warlock	draw_token_from_set_filtered_positive_pool	2500	1	5
wh3_dlc29_economy_action_select_resource	wh3_dlc29_economy_action_select_resource	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_purple_any_felix	wh3_dlc29_gotrek_draw_felix	draw_token_from_set	10000	1	1
wh3_dlc29_military_action_draw_assassin	wh3_dlc29_military_action_draw_assassin	draw_token_from_set_filtered_positive_pool	10000	1	1
wh3_dlc29_military_action_draw_assassin	wh3_dlc29_military_action_draw_positive_2	draw_token_from_set_filtered_positive_pool	10000	2	2
wh3_dlc29_military_action_skill_grey_seer_draw_units_1	wh3_dlc29_military_action_skill_grey_seer_draw_units_1	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_military_action_skill_grey_seer_draw_units_2	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_military_action_skill_grey_seer_draw_units_3	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_military_action_skill_grey_seer_draw_units_4	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_military_action_skill_grey_seer_draw_units_5	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_dwarf_brew	wh3_dlc29_skv_any_dwarf_brew_add_token	draw_token_from_set	10000	1	1
wh3_dlc29_skv_cauldron_action_draw	wh3_dlc29_skv_cauldron_action_draw_1	draw_token_from_set	5000	1	2
wh3_dlc29_skv_cauldron_action_draw	wh3_dlc29_skv_cauldron_action_draw_2	draw_token_from_set	6500	1	4
wh3_dlc29_treasury_tokens_draw	wh3_dlc29_skv_draw_treasury_tokens_1	draw_token_from_set	10000	1	1
wh3_dlc29_treasury_tokens_draw	wh3_dlc29_skv_draw_treasury_tokens_2	draw_token_from_set	10000	2	2
wh3_dlc29_treasury_tokens_draw	wh3_dlc29_skv_draw_treasury_tokens_3	draw_token_from_set	10000	3	3
wh3_dlc29_warpstone_tokens_draw	wh3_dlc29_skv_draw_warpstone_tokens_1	draw_token_from_set	10000	1	1
wh3_dlc29_warpstone_tokens_draw	wh3_dlc29_skv_draw_warpstone_tokens_2	draw_token_from_set	10000	2	2
wh3_dlc29_warpstone_tokens_draw	wh3_dlc29_skv_draw_warpstone_tokens_3	draw_token_from_set	10000	3	3
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_skv_hidden_chaotic_draw_1	draw_token_from_set	200	0	1
wh3_dlc29_green_military_lab	wh3_dlc29_skv_lab_draw_tokens	draw_selected_tokens_from_set	10000	1	1
wh3_dlc29_magic_all_combo_pieces	wh3_dlc29_skv_magic_add_token_from_combo_piece_set	draw_token_from_set_filtered_positive_pool	10000	1	1
wh3_dlc29_magic_draw_combo_piece_negative	wh3_dlc29_skv_magic_add_token_from_combo_piece_set	draw_token_from_set	5000	0	1
