bonus_value_id	effect	chaotic_plan_token
#effect_bonus_value_chaotic_plan_token_junctions_tables;0;db/effect_bonus_value_chaotic_plan_token_junctions_tables/data__		
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost_any_remove_red	wh3_dlc29_action_any_remove_red_1
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost_any_remove_red	wh3_dlc29_action_any_remove_red_2
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost_any_remove_red	wh3_dlc29_action_any_remove_red_3
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_any_remove_red_1
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_any_remove_red_2
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_any_remove_red_3
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_economic_vault_1_open
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_military_lab_1_recruit
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_military_mercenaries_1_recruit
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_military_vampire_pay_for_reward
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_assassin_sell_instant
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_basic_diversion
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_experience
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_1
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_1_elite
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_2
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_2_elite
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_3
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_plague_3_elite
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_skill_copy_green_1_economy
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_action_skill_copy_green_1_military
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_red_alarm_action_cost_1_payoff
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_red_alarm_action_cost_2_payoff
bag_price_mod_mult	wh3_dlc29_chaotic_plans_action_cost	wh3_dlc29_any_red_eshin_alarm_payoff_1
