key	faction_effects	faction_leader_effects	icon	resource_cost	vo_trigger	amount_of_cooks
#cooking_recipes_tables;4;db/cooking_recipes_tables/data__						
wh2_dlc15_food_dish_1		wh2_dlc15_food_dish_1	ui/skins/default/grom_recipes_misty_mountain_broth.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Misty_Mountain_Broth	1
wh2_dlc15_food_dish_10		wh2_dlc15_food_dish_10	ui/skins/default/grom_recipes_cheesy_shrooms.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Cheesy_Shrooms	1
wh2_dlc15_food_dish_2		wh2_dlc15_food_dish_2	ui/skins/default/grom_recipes_bony_meat_skewers.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Bony_Meat_Skewers	1
wh2_dlc15_food_dish_3		wh2_dlc15_food_dish_3	ui/skins/default/grom_recipes_wyvern_stew.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Wyvern_Stew	1
wh2_dlc15_food_dish_4		wh2_dlc15_food_dish_4	ui/skins/default/grom_recipes_nuggets_slime.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Nuggets_n_Slime	1
wh2_dlc15_food_dish_5		wh2_dlc15_food_dish_5	ui/skins/default/grom_recipes_surf_n_turf.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Surf_n_Turf	1
wh2_dlc15_food_dish_6		wh2_dlc15_food_dish_6	ui/skins/default/grom_recipes_shroom_sausage.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Shroom_n_Offal	1
wh2_dlc15_food_dish_7		wh2_dlc15_food_dish_7	ui/skins/default/grom_recipes_magnum_pizza.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Magnum_Pizza	1
wh2_dlc15_food_dish_8		wh2_dlc15_food_dish_8	ui/skins/default/grom_recipes_shroom_burger.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Fishy_Burgers	1
wh2_dlc15_food_dish_9		wh2_dlc15_food_dish_9	ui/skins/default/grom_recipes_seafood_quiche.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Gobbo_Quiche	1
wh2_dlc15_food_special_dish_1		wh2_dlc15_food_special_dish_1	ui/skins/default/grom_recipes_ghost_crab_royale.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Ghost_Crab_Royale	1
wh2_dlc15_food_special_dish_2		wh2_dlc15_food_special_dish_2	ui/skins/default/grom_recipes_elven_foie_gras.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Elven_Foie_Gras	1
wh2_dlc15_food_special_dish_3		wh2_dlc15_food_special_dish_3	ui/skins/default/grom_recipes_blood_pudding.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Blood_Pudding	1
wh2_dlc15_food_special_dish_4		wh2_dlc15_food_special_dish_4	ui/skins/default/grom_recipes_fried_squirrel_fish.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Squirrel_Fish	1
wh2_dlc15_food_special_dish_5		wh2_dlc15_food_special_dish_5	ui/skins/default/grom_recipes_bugmans_battered_ribs.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Bugmans_Ribs	1
wh3_dlc24_recipe_agonys_succession			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_agonys_succession.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_agonys_succession	1
wh3_dlc24_recipe_bears_bulwark			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_bears_bulwark.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_bears_bulwark	1
wh3_dlc24_recipe_craven_scent			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_craven_scent.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_craven_scent	1
wh3_dlc24_recipe_deadeyes_sting			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_deadeyes_sting.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_deadeyes_sting	1
wh3_dlc24_recipe_ember_dread			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_ember_dread.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_ember_dread	1
wh3_dlc24_recipe_entropous			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_entropous.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_entropous	1
wh3_dlc24_recipe_fragmentii			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_fragmentii.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_fragmentii	1
wh3_dlc24_recipe_frostwyverns_toil			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_frostwyverns_toil.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_frostwyverns_toil	1
wh3_dlc24_recipe_gait_of_thorns			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_gait_of_thorns.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_gait_of_thorns	1
wh3_dlc24_recipe_hags_denial			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_hags_denial.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_hags_denial	1
wh3_dlc24_recipe_harrowing_coil			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_harrowing_coil.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_harrowing_coil	1
wh3_dlc24_recipe_hushed_cast			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_hushed_cast.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_hushed_cast	1
wh3_dlc24_recipe_incarnates_wrath			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_incarnates_wrath.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_incarnates_wrath	1
wh3_dlc24_recipe_inversus			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_inversus.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_inversus	1
wh3_dlc24_recipe_leshys_embrace			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_leshys_embrace.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_leshys_embrace	1
wh3_dlc24_recipe_rats_grit			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_rats_grit.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew_advanced	Play_mother_ostankya_rats_grit	1
wh3_dlc24_recipe_spectres_miasma			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_spectres_miasma.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_spectres_miasma	1
wh3_dlc24_recipe_spirited_away			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_spirited_away.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_spirited_away	1
wh3_dlc24_recipe_typhlosis			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_typhlosis.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_typhlosis	1
wh3_dlc24_recipe_unburdened_step			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_unburdened_step.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_unburdened_step	1
wh3_dlc24_recipe_whiff_of_madness			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_whiff_of_madness.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_whiff_of_madness	1
wh3_dlc24_recipe_wraith_sight			UI/skins/default/dlc24_ostankya_recipes/wh3_dlc24_recipe_wraith_sight.png	wh3_dlc24_resource_cost_ksl_witchs_hut_brew	Play_mother_ostankya_wraith_sight	1
wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_supreme_ascendancy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_supreme_ascendancy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_ascendancy_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_supreme_ascendancy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_charge			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_thrusting_charge.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_charge_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_thrusting_charge.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_charge_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_thrusting_charge.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_denial			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_coy_denial.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_denial_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_coy_denial.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_denial_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_coy_denial.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_despair			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_scent_of_despair.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_despair_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_scent_of_despair.png	wh3_dlc27_resource_cost_sla_decadence_marks	TBD flavour text The Scent of Despair	3
wh3_dlc27_recipe_mark_of_vindictiveness_despair_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_scent_of_despair.png	wh3_dlc27_resource_cost_sla_decadence_marks	TBD flavour text The Scent of Despair	3
wh3_dlc27_recipe_mark_of_vindictiveness_down			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_bring_them_down.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_down_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_bring_them_down.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_down_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_bring_them_down.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_empathy			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_forced_empathy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_empathy_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_forced_empathy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_empathy_iii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_forced_empathy.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_excess			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_explosive_excess.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
wh3_dlc27_recipe_mark_of_vindictiveness_excess_ii			UI/skins/default/dlc27_sla_marks_of_cruelty\marks_icons\wh3_dlc27_marks_vindictiveness_explosive_excess.png	wh3_dlc27_resource_cost_sla_decadence_marks	Play_mother_ostankya_wraith_sight	3
