faction	resource_cost_per_turn	scope
#building_instant_constructions_tables;0;db/building_instant_constructions_tables/data__		
wh2_dlc11_def_the_blessed_dread	wh3_main_def_rush_construction_slave_cost	FACTION
wh2_main_def_cult_of_pleasure	wh3_main_def_rush_construction_slave_cost	FACTION
wh2_main_def_hag_graef	wh3_main_def_rush_construction_slave_cost	FACTION
wh2_main_def_har_ganeth	wh3_main_def_rush_construction_slave_cost	FACTION
wh2_main_def_naggarond	wh3_main_def_rush_construction_slave_cost	FACTION
wh2_twa03_def_rakarth	wh3_main_def_rush_construction_slave_cost	FACTION
wh3_dlc23_chd_astragoth	wh3_dlc23_chd_rush_construction_labour_cost	FACTION_PROVINCE
wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_chd_rush_construction_labour_cost	FACTION_PROVINCE
wh3_dlc23_chd_zhatan	wh3_dlc23_chd_rush_construction_labour_cost	FACTION_PROVINCE
