strength	type	attrition	key	tiling_composite_scene	composite_scene	priority	battle_tag	battle_lighting_environment
#campaign_storms_tables;0;db/campaign_storms_tables/data__								
1	cst_fog_storm	mist	fog	storm_base	cst_fog	0		
1	hef_mist_storm	mist_of_yvresse	mist_of_yvresse	storm_base	cst_fog	9		weather\battle\wh_spell_mist_01.environment_group
1	ksl_winter		ksl_winter	storm_base	storm_kislev_winter	0		weather\battle\wh_spell_kislev_snow_01.environment_group
1	land_storm	storm_sandstorm	sandstorm	storm_base	storm_sandstorm	0		
1	vampire_coast_sea_monster_storm	sea_monster_storm	vampire_coast_sea_monster_storm	storm_base	storm_sea_monster	0		
1	wandering_decaying_sea_storm	storm_level_1	severe_gale	storm_base	storm_level_1	0		
2	wandering_decaying_sea_storm	storm_level_2	storm	storm_base	storm_level_2	0		
3	wandering_decaying_sea_storm	storm_level_3	severe_storm	storm_base	storm_level_3	0		
4	wandering_decaying_sea_storm	storm_level_4	hurricane	storm_base	storm_level_4	0		
5	wandering_decaying_sea_storm	storm_level_5	tempest	storm_base	storm_level_5	0		
