key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
#campaign_map_route_nodes_tables;1;db/campaign_map_route_nodes_tables/data__					
wh3_dlc23_chaos_region_castle_drakenhof_convoy	510	58	convoys_all	1	10
wh3_dlc23_combi_region_castle_drakenhof_convoy	716	612	convoys_all	1	10
wh3_main_chaos_region_altar_of_spawns	235	339		1	0
wh3_main_chaos_region_altdorf	211	33		1	0
wh3_main_chaos_region_bay_of_blades	145	288	convoys_all	1	10
wh3_main_chaos_region_black_fang	833	291		1	0
wh3_main_chaos_region_black_fortress	929	171		1	0
wh3_main_chaos_region_black_rock	337	357		1	0
wh3_main_chaos_region_blood-haven	445	381		1	0
wh3_main_chaos_region_bloodpeak	881	376		1	0
wh3_main_chaos_region_castle_drakenhof	510	58		1	0
wh3_main_chaos_region_chimera_plateau	476	479		1	0
wh3_main_chaos_region_city_of_splinters	737	412		1	0
wh3_main_chaos_region_cliff_of_beasts	300	516		1	0
wh3_main_chaos_region_crystal_spires	397	504	convoys_all	1	10
wh3_main_chaos_region_eagle_eyries	795	261		1	0
wh3_main_chaos_region_erengrad	265	147		1	0
wh3_main_chaos_region_fallen_city	982	299		1	0
wh3_main_chaos_region_floating_mountain	778	462		1	0
wh3_main_chaos_region_fort_jakova	524	143		1	0
wh3_main_chaos_region_fortress_of_the_damned	129	503		1	0
wh3_main_chaos_region_foul_fortress	128	392		1	0
wh3_main_chaos_region_frozen_landing	597	273		1	0
wh3_main_chaos_region_glut-port	609	350		1	0
wh3_main_chaos_region_gnashraks_lair	683	120		1	0
wh3_main_chaos_region_great_skull_lakes	723	199		1	0
wh3_main_chaos_region_grung_zing	18	179	convoys_all	1	10
wh3_main_chaos_region_hanyu_port	1004	422		1	0
wh3_main_chaos_region_haunted_forest	1074	186	convoys_all	1	10
wh3_main_chaos_region_hellcade_drove	752	438		1	0
wh3_main_chaos_region_hergig	308	48		1	0
wh3_main_chaos_region_howling_rock	740	136		1	0
wh3_main_chaos_region_ice_caverns_of_ymirdrak	764	296		1	0
