key	icon_name	visibility_spotting_range	order_priority
#capture_point_types_tables;3;db/capture_point_types_tables/data__			
a_default_capture_point	capture_point_major	0.0000	1
capture_point_gate_and_towers	gate	0.0000	-1
capture_point_gate_only	gate	0.0000	-1
capture_point_tower_only	tower	0.0000	-1
capture_point_towers	tower	0.0000	-1
capture_point_towers_barricades	capture_point_supplies_minor	0.0000	-1
chd_surv_01	capture_point_melee_major	0.0000	-1
chd_surv_02	capture_point_armour_major	0.0000	-1
dae_shard_of_tzeentch	capture_point_leadership_major	0.0000	5
domination_1	capture_point_objective_1	0.0000	1
domination_2	capture_point_objective_2	0.0000	2
domination_3	capture_point_objective_3	0.0000	3
forge_surv_01	capture_point_leadership_major	0.0000	1
forge_surv_02	capture_point_magic_major	0.0000	2
forge_surv_03	capture_point_armour_major	0.0000	3
kho_surv_01	capture_point_armour_major	0.0000	1
kho_surv_02	capture_point_melee_major	0.0000	2
kho_surv_03	capture_point_leadership_major	0.0000	3
major_key_building	capture_point_major	0.0000	5
major_key_building_defence	capture_point_armour_major	0.0000	5
major_key_building_leadership	capture_point_leadership_major	0.0000	5
major_key_building_magic	capture_point_magic_major	0.0000	5
major_key_building_melee	capture_point_melee_major	0.0000	5
major_key_building_missile	capture_point_missile_major	0.0000	5
major_key_building_movement	capture_point_movement_major	0.0000	5
major_key_building_replenishment	capture_point_replenishment_major	0.0000	5
major_point_supplies	capture_point_supplies_major	0.0000	5
minor_key_building	capture_point_minor	0.0000	3
minor_key_building_defence	capture_point_armour_minor	0.0000	3
minor_key_building_leadership	capture_point_leadership_minor	0.0000	3
minor_key_building_magic	capture_point_magic_minor	0.0000	3
minor_key_building_melee	capture_point_melee_minor	0.0000	3
minor_key_building_missile	capture_point_missile_minor	0.0000	3
minor_key_building_movement	capture_point_movement_minor	0.0000	3
minor_key_building_replenishment	capture_point_replenishment_minor	0.0000	3
minor_point_supplies	capture_point_supplies_minor	0.0000	3
nur_surv_01	capture_point_movement_major	0.0000	1
nur_surv_02	capture_point_melee_major	0.0000	2
nur_surv_03	capture_point_magic_major	0.0000	3
sla_surv_01	capture_point_armour_major	0.0000	1
sla_surv_02	capture_point_melee_major	0.0000	2
sla_surv_03	capture_point_movement_major	0.0000	3
tze_surv_01	capture_point_armour_major	0.0000	1
tze_surv_02	capture_point_movement_major	0.0000	2
tze_surv_03	capture_point_magic_major	0.0000	3
victory_point_plaza	capture_point_major	0.0000	7
