key	battlefield_siege_vehicle	level	type	siege_effort_cost
#battlefield_deployable_siege_items_tables;5;db/battlefield_deployable_siege_items_tables/data__				
brt_battering_ram	brt_battering_ram	0	battering_rams	6
brt_siege_tower	brt_siege_tower_15m	0	15m_siege _towers	10
bst_battering_ram	bst_battering_ram	0	battering_rams	6
bst_siege_tower	bst_siege_tower_15m	0	15m_siege _towers	10
chs_battering_ram	chs_battering_ram	0	battering_rams	6
chs_siege_tower	chs_siege_tower_15m	0	15m_siege _towers	10
cst_battering_ram	cst_battering_ram	0	battering_rams	6
cst_siege_tower	cst_siege_tower_15m	0	15m_siege _towers	10
cth_battering_ram	cth_battering_ram	0	battering_rams	6
cth_siege_tower	cth_siege_tower_15m	0	15m_siege _towers	10
def_battering_ram	def_battering_ram	0	battering_rams	6
def_siege_tower	def_siege_tower_15m	0	15m_siege_towers	10
dwf_battering_ram	dwf_battering_ram	0	battering_rams	6
dwf_siege_tower	dwf_siege_tower_15m	0	15m_siege _towers	10
emp_battering_ram	emp_battering_ram	0	battering_rams	6
emp_siege_tower	emp_siege_tower_15m	0	15m_siege _towers	10
grn_battering_ram	grn_battering_ram	0	battering_rams	6
grn_siege_tower	grn_siege_tower_15m	0	15m_siege _towers	10
hef_battering_ram	hef_battering_ram	0	battering_rams	6
hef_siege_tower	hef_siege_tower_15m	0	15m_siege _towers	10
kho_battering_ram	kho_battering_ram	0	battering_rams	6
kho_siege_tower	kho_siege_tower_15m	0	15m_siege _towers	10
ksl_battering_ram	ksl_battering_ram	0	battering_rams	6
ksl_siege_tower	ksl_siege_tower_15m	0	15m_siege _towers	10
lzd_battering_ram	lzd_battering_ram	0	battering_rams	6
lzd_siege_tower	lzd_siege_tower_15m	0	15m_siege _towers	10
nor_battering_ram	nor_battering_ram	0	battering_rams	6
nor_siege_tower	nor_siege_tower_15m	0	15m_siege _towers	10
nur_battering_ram	nur_battering_ram	0	battering_rams	6
nur_siege_tower	nur_siege_tower_15m	0	15m_siege _towers	10
skv_battering_ram	skv_battering_ram	0	battering_rams	6
skv_siege_tower	skv_siege_tower_15m	0	15m_siege _towers	10
sla_battering_ram	sla_battering_ram	0	battering_rams	6
sla_siege_tower	sla_siege_tower_15m	0	15m_siege _towers	10
tmb_battering_ram	tmb_battering_ram	0	battering_rams	6
tmb_siege_tower	tmb_siege_tower_15m	0	15m_siege _towers	10
tze_battering_ram	tze_battering_ram	0	battering_rams	6
tze_siege_tower	tze_siege_tower_15m	0	15m_siege _towers	10
vmp_battering_ram	vmp_battering_ram	0	battering_rams	6
vmp_siege_tower	vmp_siege_tower_15m	0	15m_siege _towers	10
wef_battering_ram	wef_battering_ram	0	battering_rams	6
wef_siege_tower	wef_siege_tower_15m	0	15m_siege _towers	10
