bonus_value_id	diplomacy_manipulation_category	effect
#effect_bonus_value_diplomacy_manipulation_category_junctions_tables;0;db/effect_bonus_value_diplomacy_manipulation_category_junctions_tables/data__		
enable	force_peace	wh3_dlc24_effect_tze_cotw_enable_force_peace
cooldown_mod	break_alliance	wh3_main_effect_tze_cotw_cooldown_mod_all
cooldown_mod	force_peace	wh3_main_effect_tze_cotw_cooldown_mod_all
cooldown_mod	force_war	wh3_main_effect_tze_cotw_cooldown_mod_all
cooldown_mod	give_war_coordination_target	wh3_main_effect_tze_cotw_cooldown_mod_all
cooldown_mod	transfer_settlement	wh3_main_effect_tze_cotw_cooldown_mod_all
percentage_cost_mod	break_alliance	wh3_main_effect_tze_cotw_cost_mod_all
percentage_cost_mod	force_peace	wh3_main_effect_tze_cotw_cost_mod_all
percentage_cost_mod	force_war	wh3_main_effect_tze_cotw_cost_mod_all
percentage_cost_mod	give_war_coordination_target	wh3_main_effect_tze_cotw_cost_mod_all
percentage_cost_mod	transfer_settlement	wh3_main_effect_tze_cotw_cost_mod_all
percentage_cost_mod	break_alliance	wh3_main_effect_tze_cotw_cost_mod_break_alliance
percentage_cost_mod	break_alliance	wh3_main_effect_tze_cotw_diplomatic_manipulation_cost_multiplier_hidden
percentage_cost_mod	force_war	wh3_main_effect_tze_cotw_diplomatic_manipulation_cost_multiplier_hidden
percentage_cost_mod	transfer_settlement	wh3_main_effect_tze_cotw_diplomatic_manipulation_cost_multiplier_hidden
enable	break_alliance	wh3_main_effect_tze_cotw_enable_break_alliance
enable	force_war	wh3_main_effect_tze_cotw_enable_force_war
enable	give_war_coordination_target	wh3_main_effect_tze_cotw_enable_give_war_coordination_target
enable	transfer_settlement	wh3_main_effect_tze_cotw_enable_transfer_settlement_hidden
enable	transfer_settlement	wh3_main_effect_tze_cotw_enable_transfer_settlement
