key	max_per_army	audio_recruit_vo
#recruitment_sources_tables;1;db/recruitment_sources_tables/data__		
allied_recruitment	4	
amethyst_units	5	
blessed_spawning	20	
daemonic_summoning	6	
daemonic_summoning_belakor	20	
dlc27_monstrous_arcanum	20	
faction_recruitment	20	
flesh_lab	20	
grudge_settler	3	
horde_recruitment	20	
hostile_foreign_slot_recruitment	20	
imperial_supply	20	
mercenary_recruitment	20	
monster_pen	20	
nurgle_buildings	20	
ogre_mercenaries	3	
province_recruitment	20	
raise_dead	20	
renown	20	
sea_region_recruitment	20	
setrapy	20	
tamurkhan_chieftains	8	
wh3_dlc27_nor_treacheries	20	
wh3_dlc27_sla_daemonic_attraction	20	campaign_vo_sla_daemonic_attraction_recruit
