chain	effects	max_level	min_level
#campaign_effect_list_chain_items_tables;0;db/campaign_effect_list_chain_items_tables/data__			
wh3_dlc20_rift_azazel	wh3_dlc20_rift_azazel_1	-1	0
wh3_dlc20_rift_festus	wh3_dlc20_rift_festus_1	-1	0
wh3_dlc20_rift_valkia	wh3_dlc20_rift_valkia_1	-1	0
wh3_dlc20_rift_vilitch	wh3_dlc20_rift_vilitch_1	-1	0
wh3_dlc24_chaos_compass_power_basin_effect	wh3_dlc24_chaos_compass_power_basin_effect_1	4	0
wh3_dlc24_chaos_compass_power_basin_effect	wh3_dlc24_chaos_compass_power_basin_effect_2	10	5
wh3_dlc24_chaos_compass_power_basin_effect	wh3_dlc24_chaos_compass_power_basin_effect_3	16	11
wh3_dlc24_chaos_compass_power_basin_effect	wh3_dlc24_chaos_compass_power_basin_effect_4	20	17
wh3_dlc24_chaos_compass_power_broken_effect	wh3_dlc24_chaos_compass_power_broken_effect_1	4	0
wh3_dlc24_chaos_compass_power_broken_effect	wh3_dlc24_chaos_compass_power_broken_effect_2	10	5
wh3_dlc24_chaos_compass_power_broken_effect	wh3_dlc24_chaos_compass_power_broken_effect_3	16	11
wh3_dlc24_chaos_compass_power_broken_effect	wh3_dlc24_chaos_compass_power_broken_effect_4	20	17
wh3_dlc24_chaos_compass_power_dragon_effect	wh3_dlc24_chaos_compass_power_dragon_effect_1	4	0
wh3_dlc24_chaos_compass_power_dragon_effect	wh3_dlc24_chaos_compass_power_dragon_effect_2	10	5
wh3_dlc24_chaos_compass_power_dragon_effect	wh3_dlc24_chaos_compass_power_dragon_effect_3	16	11
wh3_dlc24_chaos_compass_power_dragon_effect	wh3_dlc24_chaos_compass_power_dragon_effect_4	20	17
wh3_main_chaos_compass_power_bastion_effect	wh3_main_chaos_compass_power_bastion_effect_1	4	0
wh3_main_chaos_compass_power_bastion_effect	wh3_main_chaos_compass_power_bastion_effect_2	10	5
wh3_main_chaos_compass_power_bastion_effect	wh3_main_chaos_compass_power_bastion_effect_3	16	11
wh3_main_chaos_compass_power_bastion_effect	wh3_main_chaos_compass_power_bastion_effect_4	20	17
wh3_main_chaos_compass_power_lake_effect	wh3_main_chaos_compass_power_lake_effect_1	4	0
wh3_main_chaos_compass_power_lake_effect	wh3_main_chaos_compass_power_lake_effect_2	10	5
wh3_main_chaos_compass_power_lake_effect	wh3_main_chaos_compass_power_lake_effect_3	16	11
wh3_main_chaos_compass_power_lake_effect	wh3_main_chaos_compass_power_lake_effect_4	20	17
wh3_main_chaos_compass_power_wrath_effect	wh3_main_chaos_compass_power_wrath_effect_1	4	0
wh3_main_chaos_compass_power_wrath_effect	wh3_main_chaos_compass_power_wrath_effect_2	10	5
wh3_main_chaos_compass_power_wrath_effect	wh3_main_chaos_compass_power_wrath_effect_3	16	11
wh3_main_chaos_compass_power_wrath_effect	wh3_main_chaos_compass_power_wrath_effect_4	20	17
wh3_main_gift_of_azazel_character	wh3_main_gift_of_azazel_character	1	0
wh3_main_gift_of_azazel_faction	wh3_main_gift_of_azazel_faction	0	0
wh3_main_gift_of_azazel_faction	wh3_main_gift_of_azazel_faction_upgraded	1	1
wh3_main_gift_of_slaanesh_character	wh3_main_gift_of_slaanesh_character	1	0
wh3_main_gift_of_slaanesh_faction	wh3_main_gift_of_slaanesh_faction	0	0
wh3_main_gift_of_slaanesh_faction	wh3_main_gift_of_slaanesh_faction_upgraded	1	1
wh3_main_rift_kho	wh3_main_rift_kho_1	1	0
wh3_main_rift_kho	wh3_main_rift_kho_10	10	9
wh3_main_rift_kho	wh3_main_rift_kho_11	11	10
wh3_main_rift_kho	wh3_main_rift_kho_12	12	11
wh3_main_rift_kho	wh3_main_rift_kho_13	13	12
wh3_main_rift_kho	wh3_main_rift_kho_14	14	13
wh3_main_rift_kho	wh3_main_rift_kho_15	15	14
wh3_main_rift_kho	wh3_main_rift_kho_16	16	15
wh3_main_rift_kho	wh3_main_rift_kho_17	17	16
wh3_main_rift_kho	wh3_main_rift_kho_18	-1	17
wh3_main_rift_kho	wh3_main_rift_kho_2	2	1
wh3_main_rift_kho	wh3_main_rift_kho_3	3	2
wh3_main_rift_kho	wh3_main_rift_kho_4	4	3
wh3_main_rift_kho	wh3_main_rift_kho_5	5	4
wh3_main_rift_kho	wh3_main_rift_kho_6	6	5
wh3_main_rift_kho	wh3_main_rift_kho_7	7	6
wh3_main_rift_kho	wh3_main_rift_kho_8	8	7
wh3_main_rift_kho	wh3_main_rift_kho_9	9	8
wh3_main_rift_nur	wh3_main_rift_nur_1	1	0
wh3_main_rift_nur	wh3_main_rift_nur_10	10	9
wh3_main_rift_nur	wh3_main_rift_nur_11	11	10
wh3_main_rift_nur	wh3_main_rift_nur_12	12	11
wh3_main_rift_nur	wh3_main_rift_nur_13	13	12
wh3_main_rift_nur	wh3_main_rift_nur_14	14	13
wh3_main_rift_nur	wh3_main_rift_nur_15	15	14
wh3_main_rift_nur	wh3_main_rift_nur_16	16	15
wh3_main_rift_nur	wh3_main_rift_nur_17	17	16
wh3_main_rift_nur	wh3_main_rift_nur_18	-1	17
wh3_main_rift_nur	wh3_main_rift_nur_2	2	1
wh3_main_rift_nur	wh3_main_rift_nur_3	3	2
wh3_main_rift_nur	wh3_main_rift_nur_4	4	3
wh3_main_rift_nur	wh3_main_rift_nur_5	5	4
wh3_main_rift_nur	wh3_main_rift_nur_6	6	5
wh3_main_rift_nur	wh3_main_rift_nur_7	7	6
wh3_main_rift_nur	wh3_main_rift_nur_8	8	7
wh3_main_rift_nur	wh3_main_rift_nur_9	9	8
wh3_main_rift_sla	wh3_main_rift_sla_1	1	0
wh3_main_rift_sla	wh3_main_rift_sla_10	10	9
wh3_main_rift_sla	wh3_main_rift_sla_11	11	10
wh3_main_rift_sla	wh3_main_rift_sla_12	12	11
wh3_main_rift_sla	wh3_main_rift_sla_13	13	12
wh3_main_rift_sla	wh3_main_rift_sla_14	14	13
wh3_main_rift_sla	wh3_main_rift_sla_15	15	14
wh3_main_rift_sla	wh3_main_rift_sla_16	16	15
wh3_main_rift_sla	wh3_main_rift_sla_17	17	16
wh3_main_rift_sla	wh3_main_rift_sla_18	-1	17
wh3_main_rift_sla	wh3_main_rift_sla_2	2	1
wh3_main_rift_sla	wh3_main_rift_sla_3	3	2
wh3_main_rift_sla	wh3_main_rift_sla_4	4	3
wh3_main_rift_sla	wh3_main_rift_sla_5	5	4
wh3_main_rift_sla	wh3_main_rift_sla_6	6	5
wh3_main_rift_sla	wh3_main_rift_sla_7	7	6
wh3_main_rift_sla	wh3_main_rift_sla_8	8	7
wh3_main_rift_sla	wh3_main_rift_sla_9	9	8
wh3_main_rift_tze	wh3_main_rift_tze_1	1	0
wh3_main_rift_tze	wh3_main_rift_tze_10	10	9
wh3_main_rift_tze	wh3_main_rift_tze_11	11	10
wh3_main_rift_tze	wh3_main_rift_tze_12	12	11
wh3_main_rift_tze	wh3_main_rift_tze_13	13	12
wh3_main_rift_tze	wh3_main_rift_tze_14	14	13
wh3_main_rift_tze	wh3_main_rift_tze_15	15	14
wh3_main_rift_tze	wh3_main_rift_tze_16	16	15
wh3_main_rift_tze	wh3_main_rift_tze_17	17	16
wh3_main_rift_tze	wh3_main_rift_tze_18	-1	17
wh3_main_rift_tze	wh3_main_rift_tze_2	2	1
wh3_main_rift_tze	wh3_main_rift_tze_3	3	2
wh3_main_rift_tze	wh3_main_rift_tze_4	4	3
wh3_main_rift_tze	wh3_main_rift_tze_5	5	4
wh3_main_rift_tze	wh3_main_rift_tze_6	6	5
wh3_main_rift_tze	wh3_main_rift_tze_7	7	6
wh3_main_rift_tze	wh3_main_rift_tze_8	8	7
wh3_main_rift_tze	wh3_main_rift_tze_9	9	8
